game_id,hometeam,visteam,predicted_home_1st_inning
CLE202405060,CLE,DET,0.44847367746360656
PIT202405060,PIT,ANA,0.5173383491635037
MIN202405060,MIN,SEA,0.5254126185680345
OAK202405060,OAK,TEX,0.525992261187533
SLN202405060,SLN,NYN,0.49302070682109944
PHI202405060,PHI,SFN,0.781253719914079
LAN202405060,LAN,MIA,0.6906896272975573
CHN202405060,CHN,SDN,0.5561346771672526
KCA202405060,KCA,MIL,0.41926362887120916
