game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi
DET193104230,"""version 7RS(19) of 07/07/92""",SLA,DET,1931/04/23,DET04,0,0:00PM,day,false,"""98""","""Terry Simpkins""","""Terry Simpkins""",1998/05/22 1:21PM,owenb901,ormsr901,(none),nalld901,unknown,none,0,unknown,-1,unknown,unknown,unknown,84,20520,bridt101,stewl101,,
DET193104240,"""version 7RS(19) of 07/07/92""",SLA,DET,1931/04/24,DET04,0,0:00PM,day,false,"""412""","""Comly""","""Comly""",2012/10/03 2:45PM,ormsr901,nalld901,(none),owenb901,park,none,0,unknown,-1,unknown,unknown,unknown,117,5000,white102,grays102,,
DET193104250,"""version 7RS(19) of 07/07/92""",SLA,DET,1931/04/25,DET04,0,0:00PM,day,false,"""412""","""Comly""","""Comly""",2012/10/03 3:15PM,nalld901,owenb901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,103,5000,hoytw101,coffd101,,
DET193104300,"""version 7RS(19) of 07/07/92""",CLE,DET,1931/04/30,DET04,0,0:00PM,day,false,"""39""","""Greg Beston""","""Greg Beston""",2006/06/10 10:11AM,morig101,hildg101,(none),geish901,unknown,none,0,unknown,-1,unknown,unknown,unknown,113,6000,hoytw101,hudlw101,,
DET193105010,"""version 7RS(19) of 07/07/92""",CLE,DET,1931/05/01,DET04,0,0:00PM,day,false,"""39""","""Greg Beston""","""Greg Beston""",2006/06/12 8:02PM,morig101,hildg101,(none),geish901,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,6000,sullc101,hardm101,,
DET193105020,"""version 7RS(19) of 07/07/92""",CLE,DET,1931/05/02,DET04,0,0:00PM,day,false,"""39""","""Greg Beston""","""Greg Beston""",2006/06/13 5:35PM,geish901,morig101,(none),hildg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,12000,browc103,sorrv101,,
DET193105030,"""version 7RS(19) of 07/07/92""",CLE,DET,1931/05/03,DET04,0,0:00PM,day,false,"""39""","""Greg Beston""","""Greg Beston""",2006/06/13 6:23PM,hildg101,geish901,(none),morig101,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,34783,ferrw101,white102,,
DET193105040,"""version 7RS(19) of 07/07/92""",CHA,DET,1931/05/04,DET04,0,0:00PM,day,false,"""277""","""Cliff Blau""","""Cliff Blau""",2011/09/02 7:45PM,hildg101,geish901,(none),morig101,unknown,none,0,unknown,-1,unknown,unknown,unknown,97,6000,hoytw101,mckah101,,
DET193105050,"""version 7RS(19) of 07/07/92""",CHA,DET,1931/05/05,DET04,0,0:00PM,day,false,"""277""","""Cliff Blau""","""Cliff Blau""",2011/09/03 1:18PM,geish901,morig101,(none),hildg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,8000,faber101,sullc101,,
DET193105060,"""version 7RS(19) of 07/07/92""",CHA,DET,1931/05/06,DET04,0,0:00PM,day,false,"""277""","""Cliff Blau""","""Cliff Blau""",2011/08/28 12:22PM,morig101,hildg101,(none),geish901,unknown,none,0,unknown,-1,unknown,unknown,unknown,126,5000,bridt101,carap101,herra101,
