year,team,intercept,beta_home,beta_opp_era,beta_travel,mean_opp_ERA,mean_travel_home,mean_travel_away,mu_home,mu_away,home_advantage
2019,ANA,-0.8267151262088868,0.3069557971382691,0.03338149795664314,0.1878180651063356,6.619963376646896e-17,-0.15399066462579683,0.15208954530942873,0.5777109870629528,0.45016100915683027,0.1275499779061225
2019,ARI,-0.9179999170144834,0.27648045065974547,-0.013788822713151063,0.002203095861714617,-1.7988423690129118e-16,-0.09964646295450286,0.09715530138064019,0.5263762608986808,0.39940238978843423,0.1269738711102466
2019,ATL,-0.9156236871702692,0.5251086733770154,0.22249345096291834,-0.12408080017765341,-2.6254330645223827e-16,-0.18637734129621406,0.17947447680376158,0.6925400808233703,0.3914517465616757,0.30108833426169457
2019,BAL,-0.5333628671655715,0.26540990790899016,0.11718804716818333,0.23789029359348693,0.0,-0.06831292442209262,0.07006453786881298,0.7526131404499184,0.5964885734138953,0.15612456703602318
2019,BOS,-0.2098207673215429,-0.10023911104213253,0.023200985246914274,-0.14595762024084952,2.346131674679576e-16,-0.07329873908963694,0.07238250485101616,0.7412914813851447,0.8022094501076472,-0.06091796872250255
2019,CHA,-0.35257525057697137,-0.18422472519294508,0.06833620146779193,0.042329800774219425,6.70323335622736e-17,-0.24972321010547327,0.24660166997915453,0.5784687750591504,0.710251141537215,-0.13178236647806463
2019,CHN,-0.776773146330631,0.5476851781398239,0.013423529662068721,0.1064568957598802,-7.237009345704724e-16,-0.17934397522039466,0.17934397522039477,0.7802192016164392,0.4687523241817395,0.3114668774346997
2019,CIN,-0.6808169727102793,0.4794434463247694,0.10631277695667399,-0.0020782819515281835,3.4416913763379854e-16,-0.09749811801962016,0.09749811801962013,0.8177726640566995,0.5061007082736986,0.3116719557830009
2019,CLE,-0.9095121112641807,0.029086433856891983,0.4897084109765159,0.27704487369753866,-2.0236976651395258e-16,-0.10148475755632853,0.09647316459058387,0.4031117302243937,0.41362946600577666,-0.01051773578138293
2019,COL,-0.19207563872625716,-0.042354751997415604,0.14490632233747286,-0.13796052975621254,8.094790660558103e-16,-0.21513852541801953,0.22065489786463552,0.8148511945498766,0.8005011536945617,0.014350040855314994
