team,intercept,beta_home,beta_opp_era,beta_travel,mean_opp_ERA,mean_travel_home,mean_travel_away,mu_home,mu_away,home_advantage
ANA,-0.5942137409720818,-0.2299055983987983,0.06128336618530228,0.04101589838537578,-3.0586276704904973e-16,0.2542070158857619,-0.25086218672937016,0.4432183193018553,0.5463458499595606,-0.1031275306577053
ARI,-0.6389757579891983,-0.14883675807396493,0.13589376243300264,0.17358723112173605,-1.5840124682550003e-16,0.10321354113780266,-0.10190704061707112,0.4630612411952363,0.518577642015779,-0.055516400820542766
ATL,-0.7348051498375016,0.5784683004893821,-0.046051900999052556,-0.025610190740651753,1.0449157878825003e-16,0.10307443129188913,-0.10443067380888704,0.8530163148869093,0.4808832987948088,0.37213301609210053
BAL,-0.6294337897619411,-0.2783665145713688,0.22180776828063054,0.03314526451063581,-2.6879083754082737e-16,0.13012608124713576,-0.13012608124713576,0.4051543226189564,0.5305999915814409,-0.1254456689624845
BOS,-0.6488227366877931,0.2019865472422332,-0.042199660931933156,0.18553595232647024,1.2212453270876723e-16,0.16092112458576147,-0.16092112458576133,0.6590344067171646,0.5072864773997918,0.1517479293173728
CHA,-0.39527075258987265,-0.1556050362539365,0.025798701171317683,0.13575875635272294,-2.521280675277775e-16,-0.11455518445678334,0.1130865282457993,0.5675493016649851,0.6839173061190978,-0.11636800445411277
CHN,-1.0228204466169022,0.7698217061505229,0.12610660352439845,0.05757011203539763,-2.5187149215376684e-16,-0.14341690653158842,0.1434169065315889,0.7700843167603526,0.3625605010228757,0.4075238157374769
CIN,-0.8644212074568658,0.22817077009202444,0.33871545061651415,-0.44350639297352024,2.6468893302321615e-16,0.17912714103734875,-0.17677020497106805,0.4888525006992528,0.4556535616363386,0.03319893906291421
CLE,-1.445129455808597,1.0712931226966265,-0.027157827033118462,-0.01658176377223598,-7.261836135912974e-16,-0.009712838876951598,0.009591428390990111,0.6882003499543324,0.23567807395063808,0.4525222760036943
COL,-0.5553777937828851,-0.02580124342857908,-0.17454770035694517,-0.4122945334847445,-1.7988423690129118e-16,-0.05545501627288644,0.05545501627288693,0.5721722267831453,0.5608837614067766,0.011288465376368628
DET,-0.8579776754719687,-0.5679625495418746,0.3954921377205351,-0.18644967366999923,-4.247809833348425e-16,0.029674207495795097,-0.029307859255106365,0.2389566865454097,0.42634208664062745,-0.18738540009521776
HOU,-0.6162984142813493,-0.29254901237290937,0.41293142463892824,-0.13869088248599862,1.200241107702872e-16,0.12757508329845704,-0.13107029106005924,0.3959208634226281,0.5498442844921771,-0.15392342106954904
KCA,-0.6776902450613643,0.33827352984792153,0.3176919053423198,0.33905535579756174,-1.9357734788336063e-16,-0.057915421088452414,0.0609636011457399,0.6983371646639598,0.518393740025957,0.17994342463800284
LAN,-0.6437412905818187,0.25961199351170283,-0.02581774132278895,0.14410576394848987,2.2344111187424534e-16,0.08719216505313232,-0.08610226298996822,0.6896545882193312,0.5188455026085814,0.1708090856107498
MIA,-0.8919403432363814,0.01555447565904263,0.019621122538215456,-0.1499483211218703,-1.2810265668751807e-17,0.055546742524479026,-0.055546742524479,0.4128318101290035,0.4132877479086471,-0.0004559377796435893
