year,team,intercept,beta_home,beta_opp_era,beta_travel,mean_opp_ERA,mean_travel_home,mean_travel_away,mu_home,mu_away,home_advantage,combined_home_advantage
2018,ANA,-0.4061363066810787,-0.3878286345671105,0.4388264498676679,-0.1366205288785298,5.5166361472057464e-18,-0.1723154076340931,0.1701880569225612,0.4628172000684096,0.6509076607326659,-0.1880904606642563,-0.34826396861858677
2018,ARI,-0.8311825896763965,0.6345416140664932,0.2433727869637074,0.1414544925086336,1.2009959763240687e-16,-0.1513926751235246,0.1495002666844806,0.8040802915808709,0.444842449611113,0.3592378419697579,0.6987956400913313
2018,ATL,-0.78400507686217,0.3719840726899685,-0.0857302100746387,-0.2165942149629577,-3.302201816833799e-16,-0.1164093879644159,0.1134623148513927,0.6792218976341583,0.4454900539653386,0.2337318436688196,0.2796778992794409
2018,BAL,-0.4283514102439685,-0.3339859258341758,0.0405907143608134,-0.0064472466673968,-3.798498901862171e-16,-0.1284846806650617,0.1301110690279105,0.4669612675355424,0.6510360458089846,-0.1840747782734421,-0.6139737029996172
2018,BOS,-0.587579156473759,0.3419308496072432,0.3083747174107233,0.1038625681559985,-2.1930331350620378e-17,-0.077106849827437,0.0771068498274369,0.7759580478478896,0.5601388155681225,0.215819232279767,0.1452465228288861
2018,CHA,-0.6269203832621235,0.0208228903446539,-0.0716363074076606,-0.4676998969945914,-2.2066544588822987e-16,-0.1354729366376768,0.1338004312470881,0.5811555590087453,0.5018275063566325,0.0793280526521127,-0.3525682290995517
2018,CHN,-0.4098357400760221,-0.2453370060038039,0.1755182982255861,-0.0013079587712163,4.657520981354315e-16,-0.1584131190865541,0.1584131190865541,0.5194599585827557,0.6636217549969516,-0.1441617964141959,-0.2912061695908992
2018,CIN,-0.4234884607400817,-0.1635559622771956,-0.0281524196740266,-0.2438386741078259,3.072315288270874e-17,-0.1170919932120593,0.1156283432969084,0.5720706011450217,0.6365558478943307,-0.064485246749309,-0.3219212490261244
2018,CLE,-1.0849857675794596,0.8538569068989268,0.0611685191727961,0.0534087743663174,-8.881784197001253e-17,-0.0896344552300314,0.0874212588045984,0.7898469179257485,0.3394879909737375,0.4503589269520109,0.4298052372192483
2018,COL,-0.1359339808066176,-0.0347827002874105,0.2420447137915218,0.0630491356075589,4.364564265557646e-16,-0.1530439415715579,0.1530439415715578,0.8349645840684382,0.88136389330162,-0.0463993092331818,-0.2861191357587583
2018,DET,-0.9288888671530864,0.3382224923665554,0.0250235641314745,-0.3099814017331661,3.394312431975001e-17,-0.0545028291927079,0.0524589730979812,0.5633965701128841,0.3886212060419831,0.174775364070901,0.0794610587302497
2018,HOU,-0.825275033626076,0.1962418462674341,-0.018894636536063,0.1122163946953983,-1.75442650804963e-16,-0.1713477190052568,0.1713477190052567,0.5229542940422705,0.4466200658386574,0.076334228203613,0.018111820814483606
2018,KCA,-0.6134706760428785,0.0486481944526541,0.109661209418222,0.1735486711998552,2.1604339938651696e-16,-0.105052514436563,0.1235911934547798,0.558190930441768,0.5532077949442658,0.0049831354975022,0.07008293500761871
2018,LAN,-1.1983401768804884,0.534866948895016,0.100647827798063,0.0438795372662655,2.8509430755806487e-16,-0.0991424267514235,0.0991424267514234,0.5128234978450341,0.3030098841428922,0.2098136137021419,0.3543277439904962
2018,MIA,-0.9749465393390276,-0.3573947012515936,-0.0456945947545987,-0.4669648454018205,-3.128175566239434e-16,-0.1518345068998634,0.1499365755636149,0.2832458973020434,0.3517053073108748,-0.0684594100088313,-0.2204505343332632
2018,MIL,-0.7692386341689617,0.4998451161964107,0.1254358531874764,-0.1023732570155551,1.544658121217609e-16,-0.1138662872180394,0.1124605305857179,0.7727987177698024,0.4580616096763955,0.3147371080934069,0.3296108058795308
2018,MIN,-0.7933735238954385,0.2355848883341374,0.045110500269784,0.0163437344799909,6.469447748433011e-16,-0.217518322054084,0.2175183220540839,0.5704420472284567,0.4539271927490884,0.1165148544793683,-0.08293857349247971
2018,NYA,-0.9305994212417316,0.8423137338452511,-0.0571342065070615,0.1155344730164968,-2.4424906541753446e-16,-0.2259221717665888,0.2259221717665888,0.8919122849865041,0.4047451690301554,0.4871671159563487,0.43423563178077473
2018,NYN,-0.8539213629563837,0.0598808918866089,0.3302560815427709,-0.0827914521393674,-5.091468647962502e-17,-0.0657573002061859,0.0632914014484539,0.454482291510446,0.423517116055931,0.0309651754545149,-0.03957027159693881
2018,OAK,-0.9045506564295404,0.3310693079937373,0.1904143747015152,-0.1771453135293378,2.569572786553821e-16,-0.1764547751049115,0.1742490904161,0.5814541185801778,0.3924217729601861,0.1890323456199916,0.026139976043831614
2018,PHI,-0.5920801393667546,0.1032530198298864,0.0087264129156374,0.1094769292079415,-1.8822324126095372e-16,-0.0899959524859781,0.1041381735909175,0.6073320517241959,0.5595180941429313,0.0478139575812646,-0.007057021438706498
2018,PIT,-0.8918465066917831,0.2492867082832384,0.1459687397971418,0.0689029791821315,-1.1386902816668273e-17,-0.1371413913245917,0.1443593592890437,0.5209979099547458,0.4139956896170907,0.1070022203376551,-0.2237620344596889
2018,SDN,-0.706136823787946,-0.0236468256155126,0.2301500037695358,0.158839954797531,6.661338147750939e-17,-0.1079239889739113,0.1079239889739111,0.4738207037705563,0.5020808169750528,-0.0282601132044965,-0.1825295055909042
2018,SEA,-0.6586479151420476,0.017780278364826,-0.1495961490840211,-0.065682428972337,6.28428127146315e-17,-0.2001090667064663,0.1976077033726352,0.5338053672766397,0.5108765673743061,0.0229287999023336,0.1253721078953194
