team,intercept,beta_home,beta_opp_era,beta_travel,mean_opp_ERA,mean_travel_home,mean_travel_away,mu_home,mu_away,home_advantage
ANA,-0.7641793259908519,0.28843560438899984,0.007989505129683314,0.11688368687699971,-2.0683607034112504e-16,-0.02106496519509967,0.02165010311718602,0.6198945646640541,0.4668959822904926,0.1529985823735615
ARI,-0.6789464936202598,0.2778217732322927,0.09182209151165302,0.06639854049436474,1.3706457094137734e-16,-0.005467176769089512,0.0054671767690892105,0.6693235302772137,0.5073351334396382,0.1619883968375755
ATL,-0.5114287459431069,-0.13055438047304044,0.23570018208044513,0.2491305156311495,2.519655091347873e-16,0.09679428189101379,-0.09543098214606983,0.5390921720369656,0.5855501093582923,-0.04645793732132675
BAL,-1.0141897103331698,0.7038201561827616,0.1321824160806677,-0.22254527715038167,-5.921189464667501e-16,0.10428640661620135,-0.1042864066162017,0.7163560196783346,0.37121225537043123,0.3451437643079034
BOS,-0.3671992523613021,-0.3982508740953128,0.10717781814086501,-0.05530710772665056,-2.0961010704922954e-16,0.21016430518530507,-0.21355405204313277,0.45974940654308877,0.7009013037287389,-0.24115189718565017
CHA,-0.924427910154123,0.49413611805270324,0.34111757510839275,0.0551081977409134,-6.950961545479241e-16,0.09157211611600682,-0.09157211611600673,0.6536093580617243,0.39476118793005377,0.2588481701316705
CHN,-1.0582722633625625,0.2308337378508021,0.12443571460138522,0.058703626250994886,2.636779683484747e-16,0.13428091281807472,-0.13428091281807444,0.44062736018001075,0.34432991021193493,0.09629744996807582
CIN,-0.8773653316566798,0.6970920422395287,0.1458322271678673,-0.18893259536295642,-1.4418480839287748e-18,0.13143275848360836,-0.1314327584836084,0.8145616024324683,0.42633348962321627,0.38822811280925207
CLE,-0.5022934966907697,-0.4093126769429238,-0.2061026842666794,-0.08060783336717749,-4.359157888098774e-17,0.060555622549179705,-0.05981713934736031,0.3999213280210435,0.6080660508258343,-0.2081447228047908
COL,-0.5021446689682356,-0.17691144644843323,0.23548420896442934,0.20401607449319661,-2.1210230918211945e-16,0.15335368333873664,-0.15335368333873642,0.5232115000133712,0.5865887590841088,-0.06337725907073755
DET,-0.9539338225515513,0.598364805387667,0.014014552888242562,-0.010555386468388876,1.3798486163198374e-16,0.1675410453357273,-0.16754104533572717,0.6995363800033048,0.3859044951321052,0.3136318848711996
HOU,-0.830163615410355,-0.14419076590509897,0.1876108701727146,0.2697367653716344,2.0961010704922954e-16,-0.04076652864657385,0.041424053302163324,0.3733083172814553,0.4408767040565343,-0.06756838677507898
KCA,-0.7152223406732859,0.2918380456253046,0.22699944910353215,-0.0262968534886395,-6.691755216918752e-16,0.12448414323003947,-0.11784498892443732,0.6526868397535437,0.4906013535145661,0.16208548623897762
LAN,-1.0233249723188385,-0.24244132228736842,0.3442872895074411,-0.14217678970670092,-5.50265300697151e-16,0.023582627026055417,-0.023582627026055566,0.2810790881353805,0.36060501168878367,-0.07952592355340315
MIA,-0.9896029372147535,0.6752478227625804,0.11915777587476031,0.25031537795133646,3.618504672852362e-16,-0.17766035256676047,0.17766035256676024,0.6984957164850963,0.3886283389591634,0.30986737752593296
MIL,-0.6245171323044724,0.2800089677869082,0.0977335146954936,0.07798936468690704,1.7653235671058389e-16,0.2453631361461414,-0.248430175347968,0.7222582988618556,0.5252441673454944,0.19701413151636116
MIN,-0.4792386202004328,-0.1953774864438246,0.17306358476148295,-0.0007588329839084278,-6.661338147750939e-18,0.20202037746385978,-0.2020203774638596,0.5092738423725999,0.619349639233274,-0.11007579686067415
NYA,-0.5940777859227943,0.26881442439441505,0.1311226675856015,-0.05742723508512102,6.432244507748923e-17,0.1243344980780719,-0.12834528833865566,0.7171978407094589,0.5561555426556678,0.1610422980537911
NYN,-0.9928690259762253,0.4706617472692052,0.1781746853821742,-0.18861571427934334,4.121910110082204e-16,0.1273504397032303,-0.1273504397032304,0.5791304220194273,0.379519715658037,0.19961070636139033
OAK,-0.6761133468907408,0.00883152119376453,-0.0720876691760467,0.06043912776433154,-1.708035422500241e-17,0.01789086489171865,-0.017890864891719004,0.5136565038219462,0.5080402231242429,0.0056162806977032576
PHI,-0.569537125265776,-0.08951455677746777,-0.14234209441943543,0.13130199890001854,-3.4573388149400847e-16,0.2069716440348743,-0.19880171071770802,0.5315936530938912,0.5512095755378045,-0.019615922443913303
PIT,-0.8577559931570106,0.07985250201231082,0.5565847247984416,0.31978943750838523,5.281060873892637e-16,0.19337009686639672,-0.1882135609499595,0.4886710200056994,0.3993389587936844,0.08933206121201498
SDN,-0.8103201785801222,0.15586667755144967,-0.27449177357653265,-0.07190527597552304,2.140188963132832e-17,0.04130551884774671,-0.04130551884774667,0.5181846745100237,0.44603846162715766,0.07214621288286605
SEA,-0.16295493479931222,-0.28083945523808806,0.2136888666025637,-0.033810640899944275,-1.8149154833692678e-16,-0.12781912894690367,0.12935911845228804,0.6443760830937831,0.8459215539518664,-0.20154547085808328
SFN,-0.7586614379586031,0.275648352066144,0.2272844937943797,-0.03968971521974629,-1.158655572679274e-16,-0.04383885365769112,0.043254335608922,0.6179960987323325,0.46748959358099634,0.15050650515133618
SLN,-0.5276777151217636,-0.035238876367432614,0.19080900112371496,-0.2761915176875069,5.647060322784747e-16,0.15410196534853632,-0.15410196534853643,0.5458133305257152,0.6156257434429028,-0.06981241291718754
TEX,-1.065652892563892,0.5158913080213713,0.22574493921353053,0.2638371815844981,9.227827737144159e-17,0.19440764446334194,-0.19440764446334202,0.6074595930066671,0.3272781501543287,0.28018144285233837
TOR,-0.73984692643152,-0.0008519721059535493,0.0695908890641664,-0.3153076378953648,3.9968028886505636e-16,0.10195843167945882,-0.10195843167945864,0.46169666592644926,0.4927769437025818,-0.031080277776132537
WAS,-1.0365979192592063,0.06399515690100156,-0.05761080905564737,-0.10294384835575146,-1.5117930548087238e-16,0.07639349450682328,-0.07971495078972916,0.37513586848508357,0.3575815770045959,0.01755429148048765
