year,team,intercept,beta_home,beta_opp_era,beta_travel,mean_opp_ERA,mean_travel_home,mean_travel_away,mu_home,mu_away,home_advantage
2019,ANA,-0.3405140161879112,-0.12471354702518367,0.22392322898031788,0.04980734285555261,-6.703233356227361e-16,-0.22218435761694977,0.2249968178399491,0.6210808727292516,0.7194217443232939,-0.09834087159404226
2019,ARI,-0.6315078287990482,0.1876120888560692,0.2326355263774847,-0.35685660927620544,7.645080068304876e-16,-0.14677448665819268,0.15053793503404356,0.6760296828877684,0.5039751660360583,0.17205451685171014
2019,ATL,-0.8316875352371101,0.1346898668504723,0.10290906155815771,0.2624785386577592,-3.75767792950053e-16,-0.13273152100238558,0.12609494495226628,0.4810246109095651,0.4499628215746399,0.031061789334925205
2019,BAL,-0.5727479507489912,0.4018739212107483,0.16037850631977335,-0.030386875505737113,-5.362586684981888e-16,-0.11453587621774175,0.1159856974356878,0.8458665770750489,0.5619893419908218,0.283877235084227
2019,BOS,-0.6426628045901606,-0.014997129189126147,0.16249021139201875,0.21444338146019037,3.9854159858338954e-16,-0.14376785153176172,0.1437678515317617,0.502334022041208,0.5423559599892945,-0.040021937948086506
2019,CHA,-0.7851114679853078,0.47821073578294243,0.11708777160652555,0.082951950213158,-5.958665347355271e-16,-0.10518787821418205,0.10788500329659693,0.7293319711363911,0.46016866366407627,0.26916330747231487
2019,CHN,-0.802071132900412,0.08207216058173171,0.17495817580881473,0.2513567722719426,-4.274358644806853e-16,-0.032502252737189416,0.032502252737189166,0.4827923506259163,0.4520775823277079,0.030714768298208406
2019,CIN,-0.20876037386452215,-0.31968044184481764,-0.017107715881880852,-0.19514935671828582,7.894919286223335e-16,-0.03449238763884747,0.034492387638847474,0.593504995203369,0.8061450893106887,-0.21264009410731977
2019,CLE,-0.5486473166390847,-0.19380592633955715,0.2959419720874502,-0.0379327370070886,-1.236704128696377e-15,-0.09624332968260121,0.09871110736677036,0.47768561596310016,0.5755715688563885,-0.09788595289328833
2019,COL,-0.7200054823201316,-0.12976686388063272,0.466118714427261,0.19852608703539965,6.74565888379842e-16,-0.09630391877474093,0.09630391877474091,0.4194163460783157,0.4961452054589261,-0.07672885938061041
2019,DET,-1.0047410134114982,0.19291780246023266,0.08402015484106024,0.23835740040019207,7.97083197166779e-17,-0.07291631233378607,0.07481024252427407,0.43639680181823143,0.37272684804504347,0.06366995377318796
2019,HOU,-0.4651099021988144,-0.07683528261477815,0.25712123713778023,-0.06086947348635428,4.946816514785507e-16,-0.21074981951721838,0.21615366104330094,0.5891249643438037,0.61985663488469,-0.030731670540886324
2019,KCA,-0.8846100908455088,0.4535855689631211,0.10758359611519974,0.07310669807953941,9.411162063047685e-17,-0.17811191213026478,0.15392387468047553,0.6414361093068546,0.41754739314782197,0.2238887161590326
2019,LAN,-0.6697625107366866,0.17931254767282145,0.42701627482895743,-0.06097135291966098,-4.413308917764597e-17,-0.1508323703884025,0.15271777501825734,0.6180082269617544,0.5070863774925604,0.11092184946919403
2019,MIA,-1.7127744299537988,1.3915621825283404,0.3728028757740676,0.28686364217242993,-1.75442650804963e-16,-0.13850561466073216,0.1385056146607322,0.6970177010368968,0.1876752497303142,0.5093424513065825
