game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gametype,umplf,umprf
FLO200904060,WAS,FLO,MIA01,2009/04/06,0,4:18PM,day,false,davig901,gormb901,buckc901,everm901,park,pitches,jernr701,90,tocf,24,unknown,unknown,cloudy,175,34323,nolar001,lannj001,,,,
FLO200904070,WAS,FLO,MIA01,2009/04/07,0,7:12PM,night,false,gormb901,buckc901,everm901,davig901,park,pitches,jernr701,69,torf,20,unknown,unknown,cloudy,160,11124,johnj009,olses001,,,,
FLO200904080,WAS,FLO,MIA01,2009/04/08,0,12:13PM,day,false,buckc901,everm901,davig901,gormb901,park,pitches,jernr701,65,fromcf,8,unknown,unknown,sunny,181,13308,volsc001,cabrd001,lindm001,,,
FLO200904100,NYN,FLO,MIA01,2009/04/10,0,7:11PM,night,false,carlm901,tscht901,davib902,nelsj901,park,pitches,jernr701,77,fromrf,15,unknown,unknown,cloudy,212,24070,lindm001,felip002,,,,
FLO200904110,NYN,FLO,MIA01,2009/04/11,0,6:26PM,night,false,tscht901,davib902,nelsj901,carlm901,park,pitches,jernr701,82,rtol,14,unknown,unknown,cloudy,197,39412,hernl003,nolar001,,,,
FLO200904120,NYN,FLO,MIA01,2009/04/12,0,1:10PM,day,false,davib902,nelsj901,carlm901,tscht901,park,pitches,jernr701,82,fromcf,13,unknown,unknown,sunny,124,18109,johnj009,santj003,,,,
FLO200904240,PHI,FLO,MIA01,2009/04/24,0,7:10PM,night,false,guccc901,monte901,laynj901,randt901,park,pitches,jernr701,79,fromcf,17,unknown,unknown,cloudy,189,29032,condc001,lindm001,,,,
FLO200904250,PHI,FLO,MIA01,2009/04/25,0,7:10PM,night,false,monte901,laynj901,randt901,guccc901,park,pitches,jernr701,80,fromcf,23,unknown,unknown,cloudy,218,26412,madsr001,kensl001,lidgb001,,,
FLO200904260,PHI,FLO,MIA01,2009/04/26,0,12:10PM,day,false,laynj901,randt901,guccc901,monte901,park,pitches,jernr701,80,fromcf,21,unknown,unknown,cloudy,202,17177,moyej001,taylg001,,,,
FLO200905040,CIN,FLO,MIA01,2009/05/04,0,7:10PM,night,false,meric901,coope901,reilm901,diazl901,park,pitches,clumd701,78,rtol,7,unknown,unknown,sunny,271,10825,badeb001,herrd001,,,,
FLO200905050,CIN,FLO,MIA01,2009/05/05,0,7:11PM,night,false,coope901,reilm901,diazl901,meric901,park,pitches,clumd701,80,fromrf,9,unknown,unknown,sunny,168,11087,volqe001,volsc001,,,,
FLO200905060,ATL,FLO,MIA01,2009/05/06,0,7:11PM,night,false,reilm901,diazl901,meric901,coope901,park,pitches,jernr701,83,fromrf,9,unknown,unknown,sunny,189,12725,lowed001,taylg001,gonzm001,,,
FLO200905070,ATL,FLO,MIA01,2009/05/07,0,12:12PM,day,false,diazl901,meric901,coope901,reilm901,park,pitches,jernr701,85,rtol,11,unknown,unknown,cloudy,166,17759,jurrj001,sanca004,gonzm001,,,
FLO200905150,LAN,FLO,MIA01,2009/05/15,0,7:10PM,night,false,westj901,rapue901,schrp901,nauep901,park,pitches,jernr701,81,fromcf,16,unknown,unknown,sunny,226,20039,weavj002,volsc001,broxj001,,,
FLO200905160,LAN,FLO,MIA01,2009/05/16,0,6:11PM,night,false,rapue901,schrp901,nauep901,westj901,park,pitches,jernr701,83,fromcf,23,unknown,unknown,cloudy,197,25132,milla002,weavj002,lindm001,,,
FLO200905170,LAN,FLO,MIA01,2009/05/17,0,1:12PM,day,false,schrp901,nauep901,westj901,rapue901,park,pitches,jernr701,82,fromcf,18,unknown,unknown,cloudy,192,16332,kersc001,koroj001,,,,
FLO200905190,ARI,FLO,MIA01,2009/05/19,0,7:30PM,night,false,randt901,guccc901,ticht901,laynj901,park,pitches,jernr701,76,fromrf,11,unknown,unknown,unknown,167,10131,garlj001,johnj009,qualc001,,,
FLO200905201,ARI,FLO,MIA01,2009/05/20,1,5:10PM,night,false,guccc901,estam901,laynj901,randt901,park,pitches,clumd701,83,fromrf,15,unknown,unknown,unknown,197,0,volsc001,david002,lindm001,,,
FLO200905202,ARI,FLO,MIA01,2009/05/20,2,8:58PM,night,false,ticht901,laynj901,randt901,estam901,park,pitches,clumd701,78,fromcf,10,unknown,unknown,sunny,290,14426,qualc001,nunel001,raucj001,,,
FLO200905210,ARI,FLO,MIA01,2009/05/21,0,7:11PM,night,false,laynj901,randt901,guccc901,ticht901,park,pitches,jernr701,82,fromcf,16,unknown,unknown,cloudy,162,12045,zavac002,martc005,qualc001,,,
FLO200905220,TBA,FLO,MIA01,2009/05/22,0,7:11PM,night,false,nelsj901,carlm901,tscht901,davib902,park,pitches,jernr701,78,fromcf,23,unknown,unknown,unknown,197,16226,sonna001,nolar001,thayd001,,,
FLO200905230,TBA,FLO,MIA01,2009/05/23,0,7:11PM,night,false,carlm901,tscht901,davib902,nelsj901,park,pitches,jernr701,76,fromrf,4,unknown,unknown,unknown,229,20253,balfg001,nunel001,,,,
FLO200905240,TBA,FLO,MIA01,2009/05/24,0,1:32PM,day,false,tscht901,davib902,nelsj901,carlm901,park,pitches,jernr701,78,fromcf,14,unknown,unknown,unknown,231,12839,sancb001,corml001,,,,
FLO200906010,MIL,FLO,MIA01,2009/06/01,0,7:10PM,night,false,dimum901,scotd901,mealj901,beald901,park,pitches,clumd701,75,rtol,8,unknown,unknown,overcast,195,10509,martc005,julij001,lindm001,,,
FLO200906020,MIL,FLO,MIA01,2009/06/02,0,7:29PM,night,false,scotd901,mealj901,beald901,dimum901,park,pitches,jernr701,81,fromrf,13,unknown,unknown,unknown,171,10831,badeb001,parrm001,,,,
FLO200906030,MIL,FLO,MIA01,2009/06/03,0,7:12PM,night,false,mealj901,beald901,dimum901,scotd901,park,pitches,clumd701,82,rtol,12,unknown,unknown,unknown,200,13012,mccls002,wests001,hofft001,,,
FLO200906040,MIL,FLO,MIA01,2009/06/04,0,7:10PM,night,false,beald901,dimum901,scotd901,mealj901,park,pitches,jernr701,84,fromrf,11,unknown,unknown,cloudy,145,11623,johnj009,bushd001,lindm001,,,
FLO200906050,SFN,FLO,MIA01,2009/06/05,0,8:05PM,night,false,cedeg901,wolfj901,onorb901,culbf901,park,pitches,jernr701,74,fromlf,8,unknown,unknown,unknown,186,12841,zitob001,volsc001,wilsb001,,,
FLO200906060,SFN,FLO,MIA01,2009/06/06,0,7:34PM,night,false,wolfj901,onorb901,culbf901,cedeg901,park,pitches,jernr701,80,tocf,9,unknown,unknown,cloudy,201,16294,milla002,sancj002,nunel001,,,
FLO200906070,SFN,FLO,MIA01,2009/06/07,0,6:43PM,night,false,onorb901,culbf901,cedeg901,wolfj901,park,pitches,jernr701,73,fromrf,12,unknown,unknown,unknown,169,11505,linct001,nolar001,wilsb001,,,
