player_id,last,first,bats,throws,team_id,pos,player_name,year
andrh101,Andrews,Hub,R,R,NY1,P,Hub Andrews,1194
bambh101,Bamberger,Hal,L,R,NY1,OF,Hal Bamberger,1194
beggj101,Beggs,Joe,R,R,NY1,P,Joe Beggs,1194
blatb101,Blattner,Buddy,R,R,NY1,2B,Buddy Blattner,1194
conwj103,Conway,Jack,R,R,NY1,2B,Jack Conway,1194
coopw102,Cooper,Walker,R,R,NY1,C,Walker Cooper,1194
dreic101,Dreisewerd,Clem,L,L,NY1,P,Clem Dreisewerd,1194
ericp101,Erickson,Paul,R,R,NY1,P,Paul Erickson,1194
freyl101,Frey,Lonny,L,R,NY1,2B,Lonny Frey,1194
gords101,Gordon,Sid,R,R,NY1,3B,Sid Gordon,1194
hallj105,Hallett,Jack,R,R,NY1,P,Jack Hallett,1194
hansa101,Hansen,Andy,R,R,NY1,P,Andy Hansen,1194
harsj101,Harshman,Jack,L,L,NY1,1B,Jack Harshman,1194
hartc102,Hartung,Clint,R,R,NY1,P,Clint Hartung,1194
jansl101,Jansen,Larry,R,R,NY1,P,Larry Jansen,1194
jones103,Jones,Sheldon,R,R,NY1,P,Sheldon Jones,1194
kennm101,Kennedy,Monty,R,L,NY1,P,Monty Kennedy,1194
kerrb101,Kerr,Buddy,R,R,NY1,SS,Buddy Kerr,1194
konia101,Konikowski,Alex,R,R,NY1,P,Alex Konikowski,1194
kosld101,Koslo,Dave,L,L,NY1,P,Dave Koslo,1194
lafaj101,Lafata,Joe,L,L,NY1,PH,Joe Lafata,1194
laytl101,Layton,Les,R,R,NY1,OF,Les Layton,1194
lee-t101,Lee,Thornton,L,L,NY1,P,Thornton Lee,1194
livim101,Livingston,Mickey,R,R,NY1,C,Mickey Livingston,1194
lockw101,Lockman,Whitey,L,R,NY1,OF,Whitey Lockman,1194
lohrj101,Lohrke,Jack,R,R,NY1,3B,Jack Lohrke,1194
lombl101,Lombardo,Lou,L,L,NY1,P,Lou Lombardo,1194
marsw101,Marshall,Willard,L,R,NY1,OF,Willard Marshall,1194
mccaj104,McCarthy,Johnny,L,L,NY1,1B,Johnny McCarthy,1194
mcgom101,McGowan,Mickey,L,L,NY1,P,Mickey McGowan,1194
milnp101,Milne,Pete,L,R,NY1,OF,Pete Milne,1194
mizej101,Mize,Johnny,L,R,NY1,1B,Johnny Mize,1194
mueld101,Mueller,Don,L,R,NY1,OF,Don Mueller,1194
newsb101,Newsom,Bobo,R,R,NY1,P,Bobo Newsom,1194
poatr101,Poat,Ray,R,R,NY1,P,Ray Poat,1194
rhawr101,Rhawn,Bobby,R,R,NY1,SS,Bobby Rhawn,1194
rignb101,Rigney,Bill,R,R,NY1,2B,Bill Rigney,1194
thomb105,Thomson,Bobby,R,R,NY1,OF,Bobby Thomson,1194
trink101,Trinkle,Ken,R,R,NY1,P,Ken Trinkle,1194
webbr101,Webb,Red,L,R,NY1,P,Red Webb,1194
westw101,Westrum,Wes,R,R,NY1,C,Wes Westrum,1194
yvars101,Yvars,Sal,R,R,NY1,C,Sal Yvars,1194
behrh101,Behrman,Hank,R,R,NY1,P,Hank Behrman,1194
bowmr101,Bowman,Roger,R,L,NY1,P,Roger Bowman,1194
coopw102,Cooper,Walker,R,R,NY1,C,Walker Cooper,1194
culld101,Culler,Dick,R,R,NY1,SS,Dick Culler,1194
franh101,Franks,Herman,L,R,NY1,C,Herman Franks,1194
galaa101,Galan,Augie,B,R,NY1,1B,Augie Galan,1194
gords101,Gordon,Sid,R,R,NY1,3B,Sid Gordon,1194
haasb102,Haas,Bert,R,R,NY1,1B,Bert Haas,1194
hansa101,Hansen,Andy,R,R,NY1,P,Andy Hansen,1194
hartc102,Hartung,Clint,R,R,NY1,P,Clint Hartung,1194
hausg101,Hausmann,George,R,R,NY1,2B,George Hausmann,1194
higbk101,Higbe,Kirby,R,R,NY1,P,Kirby Higbe,1194
hofmb101,Hofman,Bobby,R,R,NY1,2B,Bobby Hofman,1194
irvim101,Irvin,Monte,R,R,NY1,OF,Monte Irvin,1194
jansl101,Jansen,Larry,R,R,NY1,P,Larry Jansen,1194
jones103,Jones,Sheldon,R,R,NY1,P,Sheldon Jones,1194
kennm101,Kennedy,Monty,R,L,NY1,P,Monty Kennedy,1194
kerrb101,Kerr,Buddy,R,R,NY1,SS,Buddy Kerr,1194
kosld101,Koslo,Dave,L,L,NY1,P,Dave Koslo,1194
lafaj101,Lafata,Joe,L,L,NY1,1B,Joe Lafata,1194
livim101,Livingston,Mickey,R,R,NY1,C,Mickey Livingston,1194
lockw101,Lockman,Whitey,L,R,NY1,OF,Whitey Lockman,1194
lohrj101,Lohrke,Jack,R,R,NY1,2B,Jack Lohrke,1194
marsw101,Marshall,Willard,L,R,NY1,OF,Willard Marshall,1194
milnp101,Milne,Pete,L,R,NY1,OF,Pete Milne,1194
mizej101,Mize,Johnny,L,R,NY1,1B,Johnny Mize,1194
mueld101,Mueller,Don,L,R,NY1,OF,Don Mueller,1194
muelr101,Mueller,Ray,R,R,NY1,C,Ray Mueller,1194
poatr101,Poat,Ray,R,R,NY1,P,Ray Poat,1194
rhawr101,Rhawn,Bobby,R,R,NY1,2B,Bobby Rhawn,1194
rignb101,Rigney,Bill,R,R,NY1,SS,Bill Rigney,1194
rufer101,Rufer,Rudy,R,R,NY1,SS,Rudy Rufer,1194
thomb105,Thomson,Bobby,R,R,NY1,OF,Bobby Thomson,1194
thomh103,Thompson,Hank,L,R,NY1,2B,Hank Thompson,1194
tomaa101,Tomasic,Andy,R,R,NY1,P,Andy Tomasic,1194
webbr101,Webb,Red,L,R,NY1,P,Red Webb,1194
westw101,Westrum,Wes,R,R,NY1,C,Wes Westrum,1194
willd102,Williams,Davey,R,R,NY1,2B,Davey Williams,1194
yvars101,Yvars,Sal,R,R,NY1,C,Sal Yvars,1194
zabaa101,Zabala,Adrian,L,L,NY1,P,Adrian Zabala,1194
calvp101,Calvert,Paul,R,R,WS1,P,Paul Calvert,1194
candm101,Candini,Milo,R,R,WS1,P,Milo Candini,1194
chrim102,Christman,Mark,R,R,WS1,3B,Mark Christman,1194
coang101,Coan,Gil,L,R,WS1,OF,Gil Coan,1194
dents101,Dente,Sam,R,R,WS1,SS,Sam Dente,1194
difaj101,Difani,Jay,R,R,WS1,2B,Jay Difani,1194
dozib101,Dozier,Buzz,R,R,WS1,P,Buzz Dozier,1194
earlj101,Early,Jake,L,R,WS1,C,Jake Early,1194
evana101,Evans,Al,R,R,WS1,C,Al Evans,1194
getta101,Gettel,Al,R,R,WS1,P,Al Gettel,1194
gonzj102,Gonzalez,Julio,R,R,WS1,P,Julio Gonzalez,1194
haefm101,Haefner,Mickey,L,L,WS1,P,Mickey Haefner,1194
harrm101,Harris,Mickey,L,L,WS1,P,Mickey Harris,1194
haynj101,Haynes,Joe,R,R,WS1,P,Joe Haynes,1194
hittl101,Hittle,Lloyd,R,L,WS1,P,Lloyd Hittle,1194
hudss101,Hudson,Sid,R,R,WS1,P,Sid Hudson,1194
kellh103,Keller,Hal,L,R,WS1,PH,Hal Keller,1194
kliee101,Klieman,Ed,R,R,WS1,P,Ed Klieman,1194
kozaa101,Kozar,Al,R,R,WS1,2B,Al Kozar,1194
lewib103,Lewis,Buddy,L,R,WS1,OF,Buddy Lewis,1194
mastw101,Masterson,Walt,R,R,WS1,P,Walt Masterson,1194
meles101,Mele,Sam,R,R,WS1,OF,Sam Mele,1194
ortir101,Ortiz,Roberto,R,R,WS1,OF,Roberto Ortiz,1194
pearj101,Pearce,Jim,R,R,WS1,P,Jim Pearce,1194
reich101,Reich,Herman,R,L,WS1,PH,Herman Reich,1194
robes102,Robertson,Sherry,L,R,WS1,2B,Sherry Robertson,1194
robie101,Robinson,Eddie,L,R,WS1,1B,Eddie Robinson,1194
scarr102,Scarborough,Ray,R,R,WS1,P,Ray Scarborough,1194
simmj102,Simmons,John,R,R,WS1,OF,John Simmons,1194
stewb101,Stewart,Bud,L,R,WS1,OF,Bud Stewart,1194
suthd101,Sutherland,Dizzy,L,L,WS1,P,Dizzy Sutherland,1194
thomf109,Thompson,Forrest,L,L,WS1,P,Forrest Thompson,1194
vollc101,Vollmer,Clyde,R,R,WS1,OF,Clyde Vollmer,1194
weigr101,Weigel,Ralph,R,R,WS1,C,Ralph Weigel,1194
weikd101,Weik,Dick,R,R,WS1,P,Dick Weik,1194
weltd101,Welteroth,Dick,R,R,WS1,P,Dick Welteroth,1194
yoste101,Yost,Eddie,R,R,WS1,3B,Eddie Yost,1194
candm101,Candini,Milo,R,R,WS1,P,Milo Candini,1194
chrim102,Christman,Mark,R,R,WS1,SS,Mark Christman,1194
clarj105,Clark,Jim,R,R,WS1,3B,Jim Clark,1194
coang101,Coan,Gil,L,R,WS1,OF,Gil Coan,1194
coopc102,Cooper,Cal,R,R,WS1,P,Cal Cooper,1194
culbl101,Culberson,Leon,R,R,WS1,OF,Leon Culberson,1194
difaj101,Difani,Jay,R,R,WS1,PH,Jay Difani,1194
drakl102,Drake,Larry,L,R,WS1,OF,Larry Drake,1194
earlj101,Early,Jake,L,R,WS1,C,Jake Early,1194
evana101,Evans,Al,R,R,WS1,C,Al Evans,1194
ferrt101,Ferrick,Tom,R,R,WS1,P,Tom Ferrick,1194
fleia101,Fleitas,Angel,R,R,WS1,SS,Angel Fleitas,1194
garcr101,Garcia,Ramon,R,R,WS1,P,Ramon Garcia,1194
gillc102,Gillenwater,Carden,R,R,WS1,OF,Carden Gillenwater,1194
haefm101,Haefner,Mickey,L,L,WS1,P,Mickey Haefner,1194
harre101,Harrist,Earl,R,R,WS1,P,Earl Harrist,1194
hudss101,Hudson,Sid,R,R,WS1,P,Sid Hudson,1194
kozaa101,Kozar,Al,R,R,WS1,2B,Al Kozar,1194
mastw101,Masterson,Walt,R,R,WS1,P,Walt Masterson,1194
mcbrt101,McBride,Tom,R,R,WS1,OF,Tom McBride,1194
meeks101,Meeks,Sammy,R,R,WS1,SS,Sammy Meeks,1194
okril101,Okrie,Len,R,R,WS1,C,Len Okrie,1194
pierm101,Pieretti,Marino,R,R,WS1,P,Marino Pieretti,1194
robes102,Robertson,Sherry,L,R,WS1,OF,Sherry Robertson,1194
scarr102,Scarborough,Ray,R,R,WS1,P,Ray Scarborough,1194
stewb101,Stewart,Bud,L,R,WS1,OF,Bud Stewart,1194
sullj104,Sullivan,John,R,R,WS1,SS,John Sullivan,1194
thomf109,Thompson,Forrest,L,L,WS1,P,Forrest Thompson,1194
vernm101,Vernon,Mickey,L,L,WS1,1B,Mickey Vernon,1194
vollc101,Vollmer,Clyde,R,R,WS1,OF,Clyde Vollmer,1194
weikd101,Weik,Dick,R,R,WS1,P,Dick Weik,1194
weltd101,Welteroth,Dick,R,R,WS1,P,Dick Welteroth,1194
wootj101,Wooten,Junior,R,L,WS1,OF,Junior Wooten,1194
wynne101,Wynn,Early,B,R,WS1,P,Early Wynn,1194
yoste101,Yost,Eddie,R,R,WS1,3B,Eddie Yost,1194
aderm101,Aderholt,Morrie,L,R,WS1,2B,Morrie Aderholt,1194
ander102,Anderson,Red,R,R,WS1,P,Red Anderson,1194
blooj101,Bloodworth,Jimmy,R,R,WS1,2B,Jimmy Bloodworth,1194
bonuz101,Bonura,Zeke,R,R,WS1,1B,Zeke Bonura,1194
carra101,Carrasquel,Alex,R,R,WS1,P,Alex Carrasquel,1194
caseg101,Case,George,R,R,WS1,OF,George Case,1194
chask101,Chase,Ken,L,L,WS1,P,Ken Chase,1194
earlj101,Early,Jake,L,R,WS1,C,Jake Early,1194
evana101,Evans,Al,R,R,WS1,C,Al Evans,1194
