game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ATL197504150,ATL,HOU,2,1
ATL197504160,ATL,HOU,0,0
ATL197504170,ATL,HOU,0,1
ATL197504180,ATL,SDN,0,0
ATL197504190,ATL,SDN,0,0
ATL197504200,ATL,SDN,1,0
ATL197504210,ATL,LAN,0,0
ATL197504220,ATL,LAN,0,0
ATL197504230,ATL,CIN,0,0
ATL197504240,ATL,CIN,1,0
ATL197505060,ATL,SFN,0,0
ATL197505070,ATL,SFN,0,2
ATL197505080,ATL,SFN,1,0
ATL197505090,ATL,PHI,0,0
ATL197505100,ATL,PHI,1,0
ATL197505110,ATL,PHI,5,2
ATL197505200,ATL,MON,4,1
ATL197505210,ATL,MON,1,0
ATL197505230,ATL,NYN,0,0
ATL197505240,ATL,NYN,0,3
ATL197505250,ATL,NYN,1,0
ATL197506090,ATL,SLN,1,1
ATL197506121,ATL,CHN,3,0
ATL197506122,ATL,CHN,1,0
ATL197506130,ATL,PIT,1,0
ATL197506140,ATL,PIT,0,0
ATL197506150,ATL,PIT,1,0
ATL197506200,ATL,SFN,0,0
ATL197506210,ATL,SFN,0,0
ATL197506221,ATL,SFN,7,0
ATL197506222,ATL,SFN,0,0
ATL197506230,ATL,CIN,0,0
ATL197506240,ATL,CIN,0,0
ATL197506250,ATL,CIN,0,0
ATL197507040,ATL,HOU,0,1
ATL197507051,ATL,HOU,0,0
ATL197507052,ATL,HOU,0,4
ATL197507060,ATL,HOU,0,0
ATL197507070,ATL,NYN,0,0
ATL197507080,ATL,NYN,0,1
ATL197507090,ATL,NYN,1,0
ATL197507110,ATL,MON,0,0
ATL197507121,ATL,MON,2,2
ATL197507122,ATL,MON,0,2
ATL197507130,ATL,MON,2,0
ATL197507251,ATL,SDN,0,0
ATL197507252,ATL,SDN,0,1
ATL197507260,ATL,SDN,0,0
ATL197507270,ATL,SDN,0,1
ATL197507280,ATL,LAN,0,1
ATL197507290,ATL,LAN,0,0
ATL197507300,ATL,LAN,0,2
ATL197507310,ATL,LAN,1,2
ATL197508081,ATL,CHN,1,0
ATL197508082,ATL,CHN,0,0
ATL197508090,ATL,CHN,1,0
ATL197508100,ATL,CHN,0,0
ATL197508110,ATL,PIT,0,1
ATL197508120,ATL,PIT,1,0
ATL197508130,ATL,PIT,1,0
ATL197508140,ATL,SLN,3,1
ATL197508151,ATL,SLN,0,1
ATL197508152,ATL,SLN,0,0
ATL197508160,ATL,SLN,5,0
ATL197508170,ATL,SLN,0,2
ATL197508180,ATL,PHI,1,0
ATL197508190,ATL,PHI,0,1
ATL197508200,ATL,PHI,0,0
ATL197509030,ATL,SDN,0,0
ATL197509040,ATL,SDN,0,0
ATL197509050,ATL,LAN,1,1
ATL197509060,ATL,LAN,0,1
ATL197509070,ATL,LAN,2,0
ATL197509080,ATL,HOU,0,3
ATL197509090,ATL,HOU,3,0
ATL197509180,ATL,CIN,0,0
ATL197509190,ATL,CIN,0,0
ATL197509200,ATL,CIN,0,0
ATL197509210,ATL,CIN,0,2
ATL197509240,ATL,SFN,1,0
BAL197504110,BAL,BOS,0,2
BAL197504120,BAL,BOS,1,1
BAL197504130,BAL,BOS,0,0
BAL197504150,BAL,MIL,1,0
BAL197504160,BAL,MIL,0,0
BAL197504261,BAL,CLE,0,0
BAL197504262,BAL,CLE,0,0
BAL197504270,BAL,CLE,3,0
BAL197504280,BAL,DET,0,0
BAL197504290,BAL,DET,0,0
BAL197505050,BAL,NYA,0,0
BAL197505070,BAL,NYA,1,0
BAL197505090,BAL,MIN,0,0
BAL197505100,BAL,MIN,1,0
BAL197505111,BAL,MIN,0,0
BAL197505112,BAL,MIN,0,0
BAL197505130,BAL,CHA,0,0
BAL197505140,BAL,CHA,0,1
BAL197505161,BAL,CAL,0,0
BAL197505162,BAL,CAL,2,2
BAL197505170,BAL,CAL,0,0
BAL197505180,BAL,CAL,0,0
BAL197506030,BAL,TEX,0,0
BAL197506040,BAL,TEX,0,0
BAL197506060,BAL,KCA,0,1
BAL197506070,BAL,KCA,2,0
BAL197506080,BAL,KCA,0,0
BAL197506090,BAL,OAK,0,0
BAL197506100,BAL,OAK,0,0
BAL197506200,BAL,BOS,0,0
BAL197506210,BAL,BOS,3,0
BAL197506221,BAL,BOS,0,0
BAL197506222,BAL,BOS,0,0
BAL197506230,BAL,NYA,0,0
BAL197506240,BAL,NYA,1,0
BAL197506250,BAL,NYA,1,0
BAL197506260,BAL,DET,0,2
BAL197506270,BAL,DET,0,0
BAL197506280,BAL,DET,3,0
BAL197506290,BAL,DET,0,0
BAL197507170,BAL,MIN,0,0
BAL197507180,BAL,MIN,0,0
BAL197507191,BAL,OAK,0,0
BAL197507192,BAL,OAK,0,0
BAL197507200,BAL,OAK,0,0
BAL197507210,BAL,OAK,0,0
BAL197507220,BAL,CAL,4,0
BAL197507230,BAL,CAL,0,1
BAL197507280,BAL,CLE,0,0
BAL197507290,BAL,CLE,1,0
BAL197507300,BAL,CLE,0,0
BAL197508011,BAL,MIL,0,0
BAL197508012,BAL,MIL,0,1
BAL197508020,BAL,MIL,1,0
BAL197508030,BAL,MIL,0,0
BAL197508110,BAL,KCA,0,0
BAL197508120,BAL,KCA,0,0
BAL197508130,BAL,KCA,0,0
BAL197508151,BAL,TEX,0,0
BAL197508152,BAL,TEX,1,0
BAL197508160,BAL,TEX,0,0
BAL197508170,BAL,TEX,0,0
BAL197508280,BAL,CHA,0,0
BAL197508290,BAL,CHA,0,2
BAL197508300,BAL,CHA,0,0
BAL197509021,BAL,CLE,0,0
BAL197509022,BAL,CLE,0,0
BAL197509030,BAL,BOS,0,0
BAL197509040,BAL,BOS,0,2
BAL197509051,BAL,NYA,1,0
BAL197509052,BAL,NYA,0,0
BAL197509060,BAL,NYA,1,0
BAL197509070,BAL,NYA,0,0
BAL197509190,BAL,MIL,0,0
BAL197509200,BAL,MIL,0,0
BAL197509210,BAL,MIL,0,0
BAL197509240,BAL,DET,0,0
BOS197504080,BOS,MIL,0,0
BOS197504090,BOS,MIL,0,0
BOS197504180,BOS,BAL,0,2
BOS197504200,BOS,BAL,3,0
BOS197504210,BOS,NYA,0,4
BOS197504220,BOS,NYA,0,0
BOS197504230,BOS,NYA,1,0
BOS197504300,BOS,CLE,0,2
BOS197505010,BOS,CLE,3,0
BOS197505030,BOS,DET,6,0
BOS197505150,BOS,KCA,0,0
