rank,team,curr_year,last_3,last_1,home,away,prev_year
1,BOS,0.338,0.271,0.265,0.345,0.331,0.33
2,WAS,0.335,0.373,0.281,0.346,0.323,0.331
3,TBA,0.333,0.41,0.45,0.341,0.327,0.317
4,CHN,0.332,0.292,0.229,0.337,0.328,0.333
5,HOU,0.331,0.316,0.206,0.329,0.333,0.342
6,CLE,0.33,0.196,0.273,0.343,0.317,0.336
7,LAN,0.33,0.254,0.161,0.317,0.341,0.335
8,NYA,0.328,0.269,0.229,0.342,0.315,0.335
9,CIN,0.328,0.316,0.268,0.337,0.318,0.329
10,OAK,0.325,0.266,0.263,0.32,0.33,0.319
11,MIL,0.322,0.296,0.212,0.323,0.322,0.322
12,ATL,0.322,0.23,0.289,0.325,0.319,0.326
13,SLN,0.321,0.325,0.419,0.314,0.328,0.334
14,COL,0.32,0.21,0.206,0.348,0.293,0.338
15,TEX,0.318,0.283,0.138,0.339,0.297,0.32
16,MIN,0.318,0.402,0.273,0.334,0.303,0.334
17,PIT,0.317,0.305,0.317,0.325,0.31,0.318
18,SEA,0.314,0.351,0.25,0.301,0.326,0.325
19,PHI,0.314,0.298,0.286,0.316,0.312,0.315
20,ANA,0.313,0.302,0.25,0.313,0.314,0.315
21,NYN,0.312,0.304,0.207,0.292,0.331,0.32
22,TOR,0.312,0.333,0.316,0.313,0.31,0.312
23,ARI,0.31,0.281,0.2,0.321,0.298,0.329
24,KCA,0.305,0.328,0.206,0.321,0.29,0.311
25,MIA,0.303,0.262,0.161,0.303,0.302,0.331
26,CHA,0.302,0.286,0.297,0.307,0.297,0.314
27,DET,0.3,0.275,0.235,0.307,0.294,0.324
28,SFN,0.3,0.224,0.069,0.307,0.292,0.309
29,BAL,0.298,0.294,0.303,0.31,0.287,0.312
30,SDN,0.297,0.309,0.378,0.303,0.292,0.299
