game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location
ARI201803300,2018-03-30,ARI,COL,5,0,3.93,4.38,1e-06,1e-06,ARI,ARI
TOR201803300,2018-03-30,TOR,NYA,0,0,4.89,3.75,1e-06,1e-06,TOR,TOR
TEX201803300,2018-03-30,TEX,HOU,0,0,4.5,3.74,1e-06,1e-06,TEX,TEX
MIA201803300,2018-03-30,MIA,CHN,0,0,6.69,5.62,1e-06,1e-06,MIA,MIA
ATL201803300,2018-03-30,ATL,PHI,0,0,2.86,6.75,1e-06,1e-06,ATL,ATL
OAK201803300,2018-03-30,OAK,ANA,0,1,3.59,4.02,1e-06,1e-06,OAK,OAK
SDN201803300,2018-03-30,SDN,MIL,0,2,2.75,5.29,1e-06,1e-06,SDN,SDN
LAN201803300,2018-03-30,LAN,SFN,0,0,3.01,2.59,1e-06,1e-06,LAN,LAN
TBA201803300,2018-03-30,TBA,BOS,0,0,3.58,3.58,1e-06,1e-06,TBA,TBA
KCA201803310,2018-03-31,KCA,CHA,2,1,7.76,5.63,1e-06,1e-06,KCA,KCA
LAN201803310,2018-03-31,LAN,SFN,2,0,3.81,3.57,1e-06,1e-06,LAN,LAN
MIA201803310,2018-03-31,MIA,CHN,2,0,3.91,2.26,1e-06,1e-06,MIA,MIA
NYN201803310,2018-03-31,NYN,SLN,2,0,1.7,3.2,1e-06,1e-06,NYN,NYN
TBA201803310,2018-03-31,TBA,BOS,0,0,7.75,4.28,1e-06,1e-06,TBA,TBA
OAK201803310,2018-03-31,OAK,ANA,0,1,4.05,4.94,1e-06,1e-06,OAK,OAK
ARI201803310,2018-03-31,ARI,COL,0,0,4.5,5.93,1e-06,1e-06,ARI,ARI
ATL201803310,2018-03-31,ATL,PHI,1,2,4.92,,1e-06,1e-06,ATL,ATL
BAL201803310,2018-03-31,BAL,MIN,0,1,5.29,3.62,1e-06,1e-06,BAL,BAL
CIN201803310,2018-03-31,CIN,WAS,0,3,4.3,3.74,1e-06,1e-06,CIN,CIN
SDN201803310,2018-03-31,SDN,MIL,0,1,7.05,4.44,1e-06,1e-06,SDN,SDN
SEA201803310,2018-03-31,SEA,CLE,0,4,3.76,3.38,1e-06,1e-06,SEA,SEA
TOR201803310,2018-03-31,TOR,NYA,1,0,3.62,2.7,1e-06,1e-06,TOR,TOR
TEX201803310,2018-03-31,TEX,HOU,0,0,6.79,3.86,1e-06,1e-06,TEX,TEX
TEX201804010,2018-04-01,TEX,HOU,1,0,4.18,2.88,1e-06,1e-06,TEX,TEX
MIA201804010,2018-04-01,MIA,CHN,0,0,7.16,4.03,1e-06,1e-06,MIA,MIA
BAL201804010,2018-04-01,BAL,MIN,0,4,3.92,3.84,1e-06,1e-06,BAL,BAL
TOR201804010,2018-04-01,TOR,NYA,0,0,3.67,3.23,1e-06,1e-06,TOR,TOR
NYN201804010,2018-04-01,NYN,SLN,0,0,3.97,4.95,1e-06,1e-06,NYN,NYN
OAK201804010,2018-04-01,OAK,ANA,0,0,5.18,3.31,1e-06,1e-06,OAK,OAK
DET201804012,2018-04-01,DET,PIT,2,0,4.15,4.55,1e-06,1e-06,DET,DET
DET201804011,2018-04-01,DET,PIT,0,1,4.69,3.11,1e-06,1e-06,DET,DET
CIN201804010,2018-04-01,CIN,WAS,0,2,5.31,4.21,1e-06,1e-06,CIN,CIN
SEA201804010,2018-04-01,SEA,CLE,0,0,4.36,5.22,1e-06,1e-06,SEA,SEA
LAN201804010,2018-04-01,LAN,SFN,0,0,3.66,5.09,1e-06,1e-06,LAN,LAN
TBA201804010,2018-04-01,TBA,BOS,0,0,2.39,3.18,1e-06,1e-06,TBA,TBA
ARI201804020,2018-04-02,ARI,LAN,1,3,4.5,5.93,1e-06,574.8341159449532,ARI,LAN
