last_name,first_name,player_id,year,p_era,Player,Player-additional
Porcello,Rick,519144,2018,4.28,Rick Porcello,porcr001
Taillon,Jameson,592791,2018,3.2,Jameson Taillon,tailj001
López,Reynaldo,625643,2018,3.91,Reynaldo López,loper003
Gibson,Kyle,502043,2018,3.62,Kyle Gibson,gibsk002
Gausman,Kevin,592332,2018,3.92,Kevin Gausman,gausk001
Kluber,Corey,446372,2018,2.89,Corey Kluber,klubc001
Greinke,Zack,425844,2018,3.21,Zack Greinke,greiz001
Hendricks,Kyle,543294,2018,3.44,Kyle Hendricks,hendk001
Leake,Mike,502190,2018,4.36,Mike Leake,leakm001
Keuchel,Dallas,572971,2018,3.74,Dallas Keuchel,keucd001
