game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer
SDN200104100,SFN,SDN,SAN01,2001/04/10,0,3:08PM,day,false,younl901,scotd901,culbf901,fleta901,park,pitches,63,tocf,5,unknown,unknown,cloudy,169,61277,ortir001,jarvk001,,
SDN200104110,SFN,SDN,SAN01,2001/04/11,0,7:08PM,night,false,scotd901,culbf901,fleta901,younl901,park,pitches,63,torf,7,unknown,unknown,cloudy,172,50149,fulta001,hofft001,nen-r001,
SDN200104120,SFN,SDN,SAN01,2001/04/12,0,2:07PM,day,false,culbf901,fleta901,younl901,scotd901,park,pitches,66,tocf,10,unknown,unknown,cloudy,174,25730,eatoa001,hernl003,,
SDN200104130,LAN,SDN,SAN01,2001/04/13,0,7:05PM,night,false,relic901,danlk901,gibsg901,demud901,park,pitches,64,torf,5,unknown,unknown,sunny,212,29883,hofft001,hergm001,,
SDN200104140,LAN,SDN,SAN01,2001/04/14,0,7:06PM,night,false,danlk901,gibsg901,demud901,relic901,park,pitches,63,torf,5,unknown,unknown,sunny,164,50750,hofft001,olsog001,,
SDN200104150,LAN,SDN,SAN01,2001/04/15,0,2:14PM,day,false,gibsg901,demud901,relic901,danlk901,park,pitches,68,torf,5,unknown,unknown,sunny,192,23852,browk001,myerr002,shawj001,
SDN200104170,COL,SDN,SAN01,2001/04/17,0,7:07PM,night,false,barrt901,marqa901,ripps901,wintm901,park,pitches,70,torf,7,unknown,unknown,sunny,211,16615,astap001,joneb003,jimej001,
SDN200104180,COL,SDN,SAN01,2001/04/18,0,7:07PM,night,false,marqa901,ripps901,wintm901,barrt901,park,pitches,66,torf,5,unknown,unknown,cloudy,164,17040,hampm001,eatoa001,,
SDN200104190,COL,SDN,SAN01,2001/04/19,0,2:05PM,day,false,ripps901,wintm901,barrt901,marqa901,park,pitches,69,tocf,5,unknown,unknown,cloudy,167,15896,neagd001,willw001,,
SDN200104230,PHI,SDN,SAN01,2001/04/23,0,7:07PM,night,false,diazl901,iassd901,clara901,wegnm901,park,pitches,71,tolf,4,unknown,unknown,sunny,178,42932,chenb001,eatoa001,bottr001,
