game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,scorer,oscorer
CLE197304070,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1973/04/07,0,0:00PM,day,true,ricej901,goetr901,malog901,evanj901,"""David Horwich""","""David Horwich""",1998/08/09 12:53PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,74420,perrg101,lolim101,,,,
CLE197304080,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1973/04/08,0,0:00PM,day,true,goetr901,malog901,evanj901,ricej901,"""David Horwich""","""David Horwich""",1998/08/23 5:07PM,unknown,none,41,unknown,-1,unknown,unknown,unknown,147,10798,colej102,tidrd001,lagrl101,,,
CLE197304170,"""version 7RS(19) of 07/07/92""",MIL,CLE,CLE07,1973/04/17,0,0:00PM,day,true,denkd901,anthm901,deegb901,umonf901,"""David Horwich""","""David Horwich""",1998/09/03 1:09AM,unknown,none,61,unknown,-1,unknown,unknown,unknown,138,3224,tidrd001,parsb101,lambr101,,,
CLE197304180,"""version 7RS(19) of 07/07/92""",MIL,CLE,CLE07,1973/04/18,0,0:00PM,day,true,anthm901,deegb901,umonf901,denkd901,"""David Horwich""","""David Horwich""",1998/09/09 5:33PM,unknown,none,63,unknown,-1,unknown,unknown,unknown,155,3539,locks101,strob101,colbj101,,,
CLE197304190,"""version 7RS(19) of 07/07/92""",MIL,CLE,CLE07,1973/04/19,0,0:00PM,night,true,deegb901,umonf901,denkd901,anthm901,"""David Horwich""","""David Horwich""",1998/09/09 1:39AM,unknown,none,75,unknown,-1,unknown,unknown,unknown,186,3296,newmr101,farme101,,,,
CLE197304200,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1973/04/20,0,8:05PM,night,true,goetr901,malog901,evanj901,ricej901,"""David Horwich""","""David Horwich""",1998/09/13 5:01PM,unknown,none,77,unknown,-1,unknown,unknown,unknown,152,12185,perrg101,pattm101,,,,
CLE197304210,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1973/04/21,0,6:05PM,night,true,malog901,evanj901,ricej901,goetr901,"""David Horwich""","""David Horwich""",1998/09/11 11:14AM,unknown,none,77,unknown,-1,unknown,unknown,unknown,170,9202,mcgll101,tidrd001,lee-b101,,,
CLE197304221,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1973/04/22,1,1:05PM,day,true,evanj901,ricej901,goetr901,malog901,"""David Horwich""","""David Horwich""",1998/09/12 2:03PM,unknown,none,68,unknown,-1,unknown,unknown,unknown,186,0,johnj104,siebs101,,,,
CLE197304222,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1973/04/22,2,4:42PM,day,true,ricej901,goetr901,malog901,evanj901,"""David Horwich""","""David Horwich""",1998/09/13 5:14PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,168,8145,morer101,dunns101,vealb101,,,
CLE197305040,"""version 7RS(19) of 07/07/92""",OAK,CLE,CLE07,1973/05/04,0,0:00PM,night,true,lucir901,phild901,hallb901,brinj901,"""David Horwich""","""David Horwich""",1998/10/24 11:38AM,unknown,none,46,unknown,-1,unknown,unknown,night,185,11624,huntj101,perrg101,,,,
CLE197305050,"""version 7RS(19) of 07/07/92""",OAK,CLE,CLE07,1973/05/05,0,0:00PM,night,true,phild901,hallb901,brinj901,lucir901,"""David Horwich""","""David Horwich""",1998/10/10 11:37AM,unknown,none,58,unknown,-1,unknown,unknown,night,172,4918,johnj104,knowd101,farme101,,,
CLE197305061,"""version 7RS(19) of 07/07/92""",OAK,CLE,CLE07,1973/05/06,1,1:00PM,day,true,hallb901,brinj901,lucir901,phild901,"""David Horwich""","""David Horwich""",1998/10/27 9:20AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,0,holtk101,tidrd001,,,,
CLE197305062,"""version 7RS(19) of 07/07/92""",OAK,CLE,CLE07,1973/05/06,2,4:10PM,day,true,brinj901,lucir901,phild901,hallb901,"""David Horwich""","""David Horwich""",1998/10/27 9:29AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,141,18062,bluev001,strob101,,,,
CLE197305080,"""version 7RS(19) of 07/07/92""",CAL,CLE,CLE07,1973/05/08,0,0:00PM,night,true,honoj901,dimul901,odomj901,frana901,"""David Horwich""","""David Horwich""",1998/10/29 1:46PM,unknown,none,0,unknown,-1,unknown,unknown,night,123,1437,perrg101,wrigc102,,,,
CLE197305090,"""version 7RS(19) of 07/07/92""",CAL,CLE,CLE07,1973/05/09,0,0:00PM,day,true,dimul901,odomj901,frana901,honoj901,"""David Horwich""","""David Horwich""",1998/10/29 2:56PM,unknown,none,65,unknown,-1,unknown,unknown,unknown,155,2536,wilcm001,may-r101,johnj104,,,
CLE197305170,"""version 7RS(19) of 07/07/92""",BAL,CLE,CLE07,1973/05/17,0,0:00PM,day,true,frana901,honoj901,dimul901,odomj901,"""Wayne Townsend""","""Wayne Townsend""",1997/02/16 12:13AM,park,none,0,unknown,-1,unknown,unknown,unknown,130,3196,palmj001,perrg101,,,"""Orioles""",
CLE197305180,"""version 7RS(19) of 07/07/92""",BAL,CLE,CLE07,1973/05/18,0,8:00PM,night,true,honoj901,dimul901,odomj901,frana901,"""Wayne Townsend""","""Wayne Townsend""",1997/02/16 12:55AM,park,none,0,unknown,-1,unknown,unknown,unknown,195,6064,penao101,tidrd001,,,"""Orioles""",
CLE197305190,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1973/05/19,0,6:18PM,night,true,barnl901,flahr901,sprim901,kunkb101,"""David Horwich""","""David Horwich""",1998/11/11 1:17PM,unknown,none,54,unknown,-1,unknown,unknown,night,141,6337,wilcm001,petef101,lambr101,,,
CLE197305201,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1973/05/20,1,1:05PM,day,true,flahr901,sprim901,kunkb101,barnl901,"""David Horwich""","""David Horwich""",1998/12/11 12:24AM,unknown,none,50,unknown,-1,unknown,unknown,unknown,143,0,beenf101,bosmd101,lyles101,,,
CLE197305202,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1973/05/20,2,4:04PM,day,true,sprim901,kunkb101,barnl901,flahr901,"""David Horwich""","""David Horwich""",1998/11/12 10:37AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,160,31482,kekim101,strob101,lyles101,,,
CLE197305210,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1973/05/21,0,6:04PM,night,true,kunkb101,barnl901,flahr901,sprim901,"""David Horwich""","""David Horwich""",1998/11/12 10:57AM,unknown,none,68,unknown,-1,unknown,unknown,night,135,4168,perrg101,magnj101,,,,
CLE197306061,"""version 7RS(19) of 07/07/92""",MIN,CLE,CLE07,1973/06/06,1,0:00PM,day,true,hallb901,lucir901,phild901,nappl901,"""David Horwich""","""David Horwich""",1998/11/19 11:21AM,unknown,none,69,unknown,-1,unknown,unknown,unknown,254,0,corbr101,johnj104,,,,
CLE197306062,"""version 7RS(19) of 07/07/92""",MIN,CLE,CLE07,1973/06/06,2,0:00PM,night,true,lucir901,nappl901,(none),hallb901,"""David Horwich""","""David Horwich""",1998/11/19 11:33AM,unknown,none,0,unknown,-1,unknown,unknown,night,184,2033,deckj101,lambr101,goltd101,,,
