game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
PHA195304160,"""version 7RS(19) of 07/07/92""",BOS,PHA,1953/04/16,PHI11,0,0:00PM,day,false,romme101,berrc103,hurle901,soarh901,"""115""","""115""","""Tim Cashion""",1999/04/13 12:34AM,park,none,0,unknown,-1,unknown,unknown,unknown,162,5599,holck101,byrdh101,,,,
PHA195304170,"""version 7RS(19) of 07/07/92""",BOS,PHA,1953/04/17,PHI11,0,0:00PM,day,false,berrc103,hurle901,soarh901,romme101,"""115""","""115""","""Tim Cashion""",1999/04/14 12:05AM,park,none,0,unknown,-1,unknown,unknown,unknown,133,2400,bishc101,mcdem102,,,,
PHA195304191,"""version 7RS(19) of 07/07/92""",NYA,PHA,1953/04/19,PHI11,1,0:00PM,day,false,hurle901,soarh901,romme101,berrc103,"""Bruce Foster""","""Bob Kapla""","""Bob Kapla""",1999/08/29 3:10PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,132,0,blace102,shanb102,sainj101,,,
PHA195304192,"""version 7RS(19) of 07/07/92""",NYA,PHA,1953/04/19,PHI11,2,0:00PM,day,false,soarh901,romme101,berrc103,hurle901,"""Bruce Foster""","""Bob Kapla""","""Bob Kapla""",1999/08/29 3:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,107,24730,kella103,mcdoj104,,,,
PHA195305080,"""version 7RS(19) of 07/07/92""",WS1,PHA,1953/05/08,PHI11,0,0:00PM,night,false,froeg901,summb901,stevj901,robbs901,"""Senators""","""M. Pankin""","""M. Pankin""",2000/01/30 10:28PM,park,none,0,unknown,-1,unknown,unknown,night,168,5599,morej102,shanb102,,,,
PHA195305090,"""version 7RS(19) of 07/07/92""",WS1,PHA,1953/05/09,PHI11,0,0:00PM,day,false,summb901,stevj901,robbs901,froeg901,"""Senators""","""M. Pankin""","""M. Pankin""",2000/01/30 10:45PM,park,none,0,unknown,-1,unknown,unknown,unknown,130,2990,mastw101,kella103,,,,
PHA195305101,"""version 7RS(19) of 07/07/92""",WS1,PHA,1953/05/10,PHI11,1,0:00PM,day,false,stevj901,robbs901,froeg901,summb901,"""Senators""","""M. Pankin""","""M. Pankin""",2000/02/01 9:20PM,park,none,0,unknown,-1,unknown,unknown,unknown,115,0,portb102,byrdh101,,,,
PHA195305102,"""version 7RS(19) of 07/07/92""",WS1,PHA,1953/05/10,PHI11,2,0:00PM,day,false,robbs901,froeg901,summb901,stevj901,"""Senators""","""M. Pankin""","""M. Pankin""",2000/02/01 9:42PM,park,none,0,unknown,-1,unknown,unknown,unknown,134,8937,stobc101,martm101,,,,
PHA195305120,"""version 7RS(19) of 07/07/92""",SLA,PHA,1953/05/12,PHI11,0,0:00PM,night,false,honoj901,mcgob901,papaj901,mckib901,"""150""","""Bob Kapla""","""Bob Kapla""",2001/04/20 5:30PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,7483,larsd102,shanb102,,,,
PHA195305130,"""version 7RS(19) of 07/07/92""",SLA,PHA,1953/05/13,PHI11,0,0:00PM,night,false,mcgob901,papaj901,mckib901,honoj901,"""150""","""Bob Kapla""","""Bob Kapla""",2001/04/20 8:01PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,3108,kella103,paigs101,,,,
PHA195305140,"""version 7RS(19) of 07/07/92""",DET,PHA,1953/05/14,PHI11,0,0:00PM,night,false,papaj901,mckib901,honoj901,mcgob901,"""Middlesworth""",,"""R. Elliott""",1996/06/22 8:20PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,121,2746,byrdh101,grayt101,,,,
PHA195305150,"""version 7RS(19) of 07/07/92""",DET,PHA,1953/05/15,PHI11,0,0:00PM,night,false,mckib901,honoj901,mcgob901,papaj901,"""Middlesworth""",,"""R. Elliott""",1996/06/22 8:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,1699,houta101,martm101,,,,
PHA195305160,"""version 7RS(19) of 07/07/92""",DET,PHA,1953/05/16,PHI11,0,0:00PM,day,false,honoj901,mcgob901,papaj901,mckib901,"""MIDDLESWORTH""",,"""R. ELLIOTT""",1996/06/22 9:15PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,141,1980,hoefb101,bishc101,erich102,,,
PHA195305171,"""version 7RS(19) of 07/07/92""",CLE,PHA,1953/05/17,PHI11,1,0:00PM,day,false,duffj901,grieb901,passa901,nappl901,"""Indians""","""Doug Burks""","""Doug Burks""",1999/12/04 6:28PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,146,0,wynne101,shanb102,,,,
PHA195305172,"""version 7RS(19) of 07/07/92""",CLE,PHA,1953/05/17,PHI11,2,0:00PM,day,false,grieb901,passa901,nappl901,duffj901,"""Indians""","""Doug Burks""","""Doug Burks""",1999/12/22 7:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,155,16221,garcm101,kella103,,,,
PHA195305190,"""version 7RS(19) of 07/07/92""",CHA,PHA,1953/05/19,PHI11,0,0:00PM,night,false,passa901,nappl901,duffj901,grieb901,"""White Sox""","""Doug Burks""","""Doug Burks""",2000/01/17 8:34PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,113,5291,byrdh101,fornm101,,,,
PHA195305200,"""version 7RS(19) of 07/07/92""",CHA,PHA,1953/05/20,PHI11,0,0:00PM,night,false,nappl901,duffj901,grieb901,passa901,"""White Sox""","""Doug Burks""","""Doug Burks""",2000/02/07 10:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,136,5938,martm101,pierb101,,,,
PHA195305270,"""version 7RS(19) of 07/07/92""",BOS,PHA,1953/05/27,PHI11,0,0:00PM,night,false,stevj901,robbs901,(none),froeg901,"""115""","""115""","""Tim Cashion""",1999/04/27 11:54PM,park,none,0,unknown,-1,unknown,unknown,unknown,155,4734,kella103,grism101,,,,
PHA195305280,"""version 7RS(19) of 07/07/92""",BOS,PHA,1953/05/28,PHI11,0,0:00PM,day,false,stevj901,robbs901,froeg901,summb901,"""115""","""115""","""Tim Cashion""",1999/05/01 10:21AM,park,none,0,unknown,-1,dry,none,sunny,141,1262,fricm101,parnm101,,,,
PHA195305290,"""version 7RS(19) of 07/07/92""",NYA,PHA,1953/05/29,PHI11,0,0:00PM,day,false,robbs901,froeg901,summb901,stevj901,"""253""","""D Lamoureaux""","""D Lamoureaux""",2007/01/19 8:40PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,151,3594,scarr102,byrdh101,,,,
PHA195306160,"""version 7RS(19) of 07/07/92""",CLE,PHA,1953/06/16,PHI11,0,0:00PM,night,false,papaj901,mckib901,honoj901,mcgob901,,"""John W.McCarthy""","""John W.McCarthy""",1999/09/04 3:00PM,park,none,0,unknown,-1,unknown,unknown,unknown,180,24143,fricm101,hoopb101,martm101,,,
PHA195306170,"""version 7RS(19) of 07/07/92""",CLE,PHA,1953/06/17,PHI11,0,0:00PM,night,false,mckib901,honoj901,mcgob901,papaj901,,"""John W.McCarthy""","""John W.McCarthy""",1999/09/03 7:10PM,park,none,0,unknown,-1,unknown,unknown,unknown,182,7121,wighb101,byrdh101,houta101,,,
