game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save
BOS200504110,NYA,BOS,BOS07,2005/04/11,0,3:18PM,day,true,relic901,herna901,gibsg901,rungb901,park,pitches,scogc701,46,torf,13,unknown,unknown,sunny,169,33702,waket001,mussm001,
BOS200504130,NYA,BOS,BOS07,2005/04/13,0,7:10PM,night,true,herna901,gibsg901,rungb901,relic901,park,pitches,shalm701,46,tolf,14,unknown,unknown,sunny,188,35115,wrigj002,schic002,rivem002
BOS200504140,NYA,BOS,BOS07,2005/04/14,0,7:09PM,night,true,gibsg901,rungb901,relic901,herna901,park,pitches,scogc701,45,fromcf,13,unknown,unknown,cloudy,193,35251,foulk001,gordt001,
BOS200504150,TBA,BOS,BOS07,2005/04/15,0,7:07PM,night,true,poncl901,wegnm901,nauep901,darlg901,park,pitches,scogc701,43,fromlf,8,unknown,unknown,sunny,168,35023,welld001,nomoh001,
BOS200504160,TBA,BOS,BOS07,2005/04/16,0,7:06PM,night,true,wegnm901,nauep901,darlg901,poncl901,park,pitches,scogc701,46,fromlf,9,unknown,unknown,sunny,168,35106,clemm001,brazd001,
BOS200504170,TBA,BOS,BOS07,2005/04/17,0,2:05PM,day,true,nauep901,darlg901,poncl901,wegnm901,park,pitches,giulj701,67,tocf,4,unknown,unknown,sunny,155,35232,waket001,kazms001,foulk001
BOS200504180,TOR,BOS,BOS07,2005/04/18,0,11:08AM,day,true,fostm901,joycj901,diazl901,davib902,park,pitches,scogc701,60,fromcf,11,unknown,unknown,sunny,221,35243,schic002,bushd001,
BOS200504190,TOR,BOS,BOS07,2005/04/19,0,7:07PM,night,true,joycj901,diazl901,davib902,fostm901,park,pitches,scogc701,65,tolf,10,unknown,unknown,sunny,149,35598,hallr001,foulk001,batim001
BOS200504250,BAL,BOS,BOS07,2005/04/25,0,7:06PM,night,true,coope901,hicke901,hudsm901,younl901,park,pitches,scogc701,49,tolf,13,unknown,unknown,unknown,198,35003,chenb001,welld001,
BOS200504260,BAL,BOS,BOS07,2005/04/26,0,7:07PM,night,true,hicke901,hudsm901,younl901,coope901,park,pitches,scogc701,59,tolf,20,unknown,unknown,sunny,243,35670,julij001,foulk001,ryanb001
BOS200505060,SEA,BOS,BOS07,2005/05/06,0,7:06PM,night,true,tscht901,kulpr901,scotd901,hicke901,park,pitches,scogc701,48,fromlf,9,unknown,unknown,unknown,185,35229,clemm001,moyej001,
BOS200505081,SEA,BOS,BOS07,2005/05/08,1,12:05PM,day,true,kulpr901,hicke901,tscht901,hoyej901,park,pitches,scogc701,46,fromcf,18,wet,drizzle,unknown,153,34848,gonzj003,pinej001,foulk001
BOS200505082,SEA,BOS,BOS07,2005/05/08,2,5:07PM,night,true,scotd901,tscht901,hoyej901,hicke901,park,pitches,scogc701,48,ltor,16,wet,drizzle,unknown,184,34671,franr001,halaj001,guare001
BOS200505090,OAK,BOS,BOS07,2005/05/09,0,7:06PM,night,true,carlm901,westj901,gormb901,dimum901,park,pitches,shalm701,49,rtol,6,unknown,unknown,unknown,183,35000,waket001,hared001,
BOS200505100,OAK,BOS,BOS07,2005/05/10,0,7:06PM,night,true,westj901,gormb901,dimum901,carlm901,park,pitches,scogc701,57,fromlf,5,unknown,unknown,sunny,163,35644,mantm001,doteo001,
BOS200505110,OAK,BOS,BOS07,2005/05/11,0,1:06PM,day,true,gormb901,dimum901,carlm901,westj901,park,pitches,carpe701,72,tolf,6,unknown,unknown,cloudy,189,35375,foulk001,doteo001,
BOS200505200,ATL,BOS,BOS07,2005/05/20,0,7:08PM,night,true,reilm901,fleta901,davib902,drakr901,park,pitches,giulj701,61,rtol,6,unknown,unknown,unknown,157,35332,millw001,hudst001,foulk001
BOS200505210,ATL,BOS,BOS07,2005/05/21,0,7:35PM,night,true,fleta901,davib902,drakr901,reilm901,park,pitches,shalm701,48,fromcf,14,wet,rain,unknown,187,35008,davik002,waket001,
BOS200505220,ATL,BOS,BOS07,2005/05/22,0,2:06PM,day,true,davib902,drakr901,reilm901,fleta901,park,pitches,giulj701,53,fromlf,6,unknown,unknown,unknown,166,34844,clemm001,color001,
BOS200505300,BAL,BOS,BOS07,2005/05/30,0,7:08PM,night,true,hirsj901,danlk901,reynj901,bellw901,park,pitches,scogc701,63,ltor,2,unknown,unknown,unknown,181,35483,loper001,arrob001,
