game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,away_pitcher,wp,lp,winner
ASW194308010,ASW,ASE,0,0,,,paigs101,barnd101,
BCG194310241,BCG,PIR,0,0,,,kimbn101,mcdab101,
BCG194310242,BCG,PIR,0,1,,,mcdab101,kresr101,
BCG194310311,BCG,PIR,0,0,,,paigs101,kresr101,
BCG194310312,BCG,PIR,1,0,,,,,
BCG194311071,BCG,PIR,1,2,,,paigs101,newsb101,
BCG194311072,BCG,PIR,0,2,,,thomf105,markj101,
BIR194305021,BIR,KCM,0,0,,,mckig101,paigs101,
BIR194305022,BIR,KCM,0,0,,,markj101,mcdab101,
BIR194305301,BIR,MEM,3,0,,,mckig101,mossp101,
BIR194306200,BIR,NY6,1,0,,,markj101,barnd101,
BIR194306250,BIR,NY6,0,0,,,sayla101,cruem101,
BIR194307010,BIR,KCM,0,2,,,sayla101,walkg103,
BIR194308050,BIR,CI2,0,0,,,hubej101,henrp101,
BIR194308060,BIR,CI2,0,0,,,sneas101,sayla101,
BIR194308100,BIR,CI2,0,0,,,locke101,newbj101,
BIR194308130,BIR,CI2,0,0,,,hubej101,sneas101,
BIR194309170,BIR,CAG,0,0,,,sayla101,jessg101,
BIR194309190,BIR,CAG,0,0,,,hubej101,jessg101,
BIR194309260,BIR,HOM,0,0,,,wrigj105,mckig101,
BIR194309290,BIR,HOM,0,0,,,wrigj105,mckig101,
BIR194310030,BIR,HOM,0,0,,,markj101,partr102,
BIR194310050,BIR,HOM,0,1,,,browr103,sayla101,
BLG194305091,BLG,CI2,0,0,,,davir103,harvb101,
BLG194305092,BLG,CI2,0,0,,,wilsf104,glovt101,
BLG194305190,BLG,HOM,0,2,,,,,
BLG194305301,BLG,HOM,2,3,,,byrdb101,westo102,
BLG194305302,BLG,HOM,0,0,,,harvb101,walke103,
BLG194306040,BLG,NY6,0,1,,,byrdb101,barnd101,
BLG194306062,BLG,NY6,0,0,,,cruem101,harvb101,
BLG194306110,BLG,NW2,1,1,,,day-l101,byrdb101,
BLG194306180,BLG,KCM,0,0,,,mcdab101,harvb101,
BLG194306272,BLG,PH5,1,0,,,byrdb101,evanb105,
