game_id,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,umphome,ump1b,ump2b,ump3b,umplf,umprf,inputtime,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
CHA202104080,KCA,CHA,CHI12,2021/04/08,0,3:10PM,day,9,2,true,randt901,ticht901,whitc901,reynj901,(none),(none),2021/04/09 07:54:26,unknown,pitches,frisd701,58,fromrf,2,unknown,none,overcast,168,8207,lynnl001,kellb003,,
CHA202104110,KCA,CHA,CHI12,2021/04/11,0,1:10PM,day,9,2,true,ticht901,whitc901,reynj901,randt901,(none),(none),2021/04/12 05:41:50,unknown,pitches,lissr701,53,ltor,6,unknown,none,sunny,234,7695,hollg001,crocg001,zimmk001,
CHA202104120,CLE,CHA,CHI12,2021/04/12,0,7:10PM,night,9,2,true,morag901,millb901,eddid901,knigb901,(none),(none),2021/04/13 06:43:09,unknown,pitches,speaa701,60,tolf,16,unknown,none,sunny,185,7393,heuec001,clase001,,
CHA202104130,CLE,CHA,CHI12,2021/04/13,0,7:10PM,night,9,2,true,millb901,eddid901,knigb901,morag901,(none),(none),2021/04/14 06:56:47,unknown,pitches,frisd701,54,unknown,5,unknown,none,cloudy,182,7102,biebs001,crocg001,karij001,
CHA202104140,CLE,CHA,CHI12,2021/04/14,0,7:10PM,night,9,2,true,eddid901,knigb901,morag901,millb901,(none),(none),2021/04/15 07:29:48,unknown,pitches,seipb701,45,torf,9,unknown,none,cloudy,160,7148,rodoc001,plesz001,,
CHA202104150,CLE,CHA,CHI12,2021/04/15,0,1:10PM,day,9,2,true,knigb901,morag901,millb901,eddid901,(none),(none),2021/04/16 07:02:09,unknown,pitches,lissr701,49,torf,6,unknown,none,cloudy,197,7049,civaa001,lynnl001,clase001,
CHA202104230,TEX,CHA,CHI12,2021/04/23,0,7:10PM,night,9,2,true,carlm901,segac901,millb903,bakej902,(none),(none),2021/04/24 08:28:15,unknown,pitches,seipb701,59,fromrf,13,unknown,none,cloudy,224,8969,heuec001,codyk001,hendl001,
CHA202104240,TEX,CHA,CHI12,2021/04/24,0,6:10PM,night,9,2,true,segac901,millb903,bakej902,carlm901,(none),(none),2021/04/25 07:33:44,unknown,pitches,seipb701,57,fromcf,4,unknown,none,cloudy,178,8556,hendl001,kingj002,,
CHA202104250,TEX,CHA,CHI12,2021/04/25,0,1:10PM,day,9,2,true,millb903,bakej902,carlm901,segac901,(none),(none),2021/04/26 07:05:47,unknown,pitches,lissr701,43,ltor,14,unknown,none,cloudy,212,9285,kopem001,arihk001,,
CHA202104270,DET,CHA,CHI12,2021/04/27,0,7:10PM,night,9,2,true,may-b901,gibsh902,conrc901,welkb901,(none),(none),2021/04/28 08:21:01,unknown,pitches,seipb701,84,rtol,18,unknown,none,sunny,190,9445,urenj001,gioll001,sotog003,
CHA202104291,DET,CHA,CHI12,2021/04/29,1,4:10PM,day,7,2,true,gibsh902,tosia901,welkb901,may-b901,(none),(none),2021/04/30 06:43:03,unknown,pitches,frisd701,59,ltor,4,unknown,none,cloudy,110,0,rodoc001,mizec001,hendl001,
CHA202104292,DET,CHA,CHI12,2021/04/29,2,10:33PM,night,7,2,true,conrc901,welkb901,may-b901,tosia901,(none),(none),2021/04/30 06:43:03,unknown,pitches,frisd701,58,ltor,4,unknown,none,cloudy,162,7628,ceasd001,boydm001,,
CHA202104300,CLE,CHA,CHI12,2021/04/30,0,7:10PM,night,9,2,true,welkb901,may-b901,gibsh902,conrc901,(none),(none),2021/05/01 07:18:40,unknown,pitches,seipb701,48,fromlf,7,unknown,none,sunny,175,9405,biebs001,keucd001,clase001,
CHA202105010,CLE,CHA,CHI12,2021/05/01,0,3:05PM,day,9,2,true,may-b901,gibsh902,conrc901,welkb901,(none),(none),2021/05/02 07:38:42,unknown,pitches,seipb701,75,fromrf,24,unknown,none,sunny,182,9451,lynnl001,mcket001,,
CHA202105020,CLE,CHA,CHI12,2021/05/02,0,1:10PM,day,9,2,true,gibsh902,conrc901,welkb901,may-b901,(none),(none),2021/05/03 08:46:46,unknown,pitches,speaa701,79,tolf,19,unknown,none,sunny,199,9471,plesz001,gioll001,,
CHA202105110,MIN,CHA,CHI12,2021/05/11,0,7:10PM,night,9,2,true,segac901,barbs901,carlm901,hoyej901,(none),(none),2021/05/12 06:46:56,unknown,pitches,frisd701,48,torf,5,unknown,none,cloudy,203,7962,crocg001,alcaj001,,
CHA202105120,MIN,CHA,CHI12,2021/05/12,0,7:10PM,night,9,2,true,barbs901,carlm901,hoyej901,segac901,(none),(none),2021/05/13 07:03:46,unknown,pitches,speaa701,57,torf,9,unknown,none,sunny,225,8393,keucd001,happj001,,
CHA202105130,MIN,CHA,CHI12,2021/05/13,0,1:10PM,day,9,2,true,carlm901,hoyej901,segac901,barbs901,(none),(none),2021/05/14 07:30:32,unknown,pitches,seipb701,63,fromcf,4,unknown,none,sunny,211,8188,lynnl001,pinem001,hendl001,
CHA202105141,KCA,CHA,CHI12,2021/05/14,1,2:10PM,day,7,2,true,belld901,barbs901,vanol901,mosce901,(none),(none),2021/05/15 08:26:40,unknown,pitches,frisd701,66,fromlf,10,unknown,none,sunny,148,8574,kellb003,gioll001,,
CHA202105142,KCA,CHA,CHI12,2021/05/14,2,7:10PM,night,7,2,true,rackd901,vanol901,mosce901,barbs901,(none),(none),2021/05/15 08:26:40,unknown,pitches,speaa701,66,ltor,10,unknown,none,sunny,150,9823,heuec001,junij001,hendl001,
CHA202105150,KCA,CHA,CHI12,2021/05/15,0,6:10PM,night,9,2,true,vanol901,mosce901,belld901,rackd901,(none),(none),2021/05/16 06:47:27,unknown,pitches,speaa701,59,rtol,9,unknown,none,cloudy,201,9886,minom001,rodoc001,,
CHA202105160,KCA,CHA,CHI12,2021/05/16,0,1:10PM,day,9,2,true,mosce901,belld901,rackd901,vanol901,(none),(none),2021/05/17 07:38:47,unknown,pitches,seipb701,70,fromlf,8,unknown,none,cloudy,201,9928,fostm001,daviw001,,
CHA202105240,SLN,CHA,CHI12,2021/05/24,0,7:10PM,night,9,2,true,belld901,westj901,lentn901,drecb901,(none),(none),2021/05/25 06:49:22,unknown,pitches,lissr701,85,tolf,10,unknown,none,cloudy,194,14629,lynnl001,kim-k001,,
CHA202105250,SLN,CHA,CHI12,2021/05/25,0,7:10PM,night,9,2,true,westj901,lentn901,drecb901,belld901,(none),(none),2021/05/26 07:41:40,unknown,pitches,frisd701,81,rtol,14,unknown,none,cloudy,203,16380,gioll001,flahj002,hendl001,
CHA202105260,SLN,CHA,CHI12,2021/05/26,0,1:10PM,day,9,2,true,lentn901,drecb901,belld901,westj901,(none),(none),2021/05/27 08:04:33,unknown,pitches,seipb701,77,tocf,11,unknown,none,cloudy,199,14791,gantj002,rodoc001,,
CHA202105270,BAL,CHA,CHI12,2021/05/27,0,7:10PM,night,9,2,true,barrt901,herna901,mosce901,sches901,(none),(none),2021/05/28 06:53:15,unknown,pitches,speaa701,54,torf,17,unknown,rain,overcast,198,9671,ceasd001,tated001,,
