rank,team,curr_year,last_3,last_1,home,away,prev_year
1,HOU,0.339,0.316,0.188,0.341,0.336,0.319
2,WAS,0.337,0.325,0.333,0.34,0.334,0.336
3,CHA,0.336,0.39,0.306,0.348,0.325,0.325
4,TOR,0.33,0.393,0.439,0.336,0.325,0.322
5,BOS,0.329,0.208,0.129,0.349,0.308,0.33
6,LAN,0.329,0.296,0.206,0.334,0.324,0.34
7,CIN,0.328,0.325,0.366,0.346,0.31,0.309
8,SFN,0.326,0.188,0.176,0.336,0.316,0.335
9,NYA,0.322,0.206,0.188,0.323,0.32,0.343
10,SDN,0.321,0.291,0.278,0.331,0.312,0.332
11,TBA,0.32,0.256,0.206,0.328,0.312,0.319
12,ATL,0.319,0.296,0.27,0.325,0.312,0.344
13,PHI,0.318,0.294,0.297,0.324,0.311,0.342
14,COL,0.317,0.316,0.297,0.341,0.291,0.311
15,OAK,0.316,0.305,0.25,0.313,0.319,0.32
16,MIL,0.316,0.264,0.316,0.314,0.318,0.311
17,NYN,0.314,0.286,0.138,0.323,0.307,0.348
18,MIN,0.314,0.31,0.278,0.318,0.31,0.313
19,SLN,0.313,0.324,0.289,0.31,0.316,0.324
20,CHN,0.311,0.34,0.25,0.318,0.305,0.316
21,ANA,0.309,0.313,0.405,0.318,0.301,0.332
22,ARI,0.309,0.367,0.342,0.322,0.296,0.312
23,PIT,0.309,0.42,0.278,0.322,0.297,0.284
24,DET,0.307,0.297,0.3,0.311,0.304,0.303
25,KCA,0.306,0.354,0.316,0.322,0.291,0.309
26,BAL,0.304,0.297,0.386,0.317,0.291,0.321
27,CLE,0.304,0.289,0.282,0.306,0.302,0.318
28,SEA,0.302,0.327,0.308,0.295,0.309,0.309
29,MIA,0.298,0.303,0.281,0.303,0.294,0.314
30,TEX,0.294,0.292,0.156,0.301,0.288,0.285
