Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1.0,Corbin Burnes,26.0,MIL,NL,5.3,11.0,5.0,0.688,2.43,28.0,28.0,0.0,0.0,0.0,0.0,167.0,123.0,47.0,45.0,7.0,34.0,0.0,234.0,6.0,0.0,5.0,657.0,170,1.63,0.94,6.6,0.4,1.8,12.6,6.88,ASCYA-1MVP-15,burnc002
2.0,Max Scherzer,36.0,2TM,NL,6.1,15.0,4.0,0.789,2.46,30.0,30.0,0.0,1.0,0.0,0.0,179.1,119.0,53.0,49.0,23.0,36.0,0.0,236.0,10.0,0.0,2.0,693.0,167,2.97,0.864,6.0,1.2,1.8,11.8,6.56,ASCYA-3MVP-14,schem001
3.0,Walker Buehler,26.0,LAD,NL,7.1,16.0,4.0,0.8,2.47,33.0,33.0,0.0,0.0,0.0,0.0,207.2,149.0,61.0,57.0,19.0,52.0,2.0,212.0,6.0,0.0,5.0,815.0,171,3.16,0.968,6.5,0.8,2.3,9.2,4.08,ASCYA-4,buehw001
4.0,Brandon Woodruff,28.0,MIL,NL,5.3,9.0,10.0,0.474,2.56,30.0,30.0,0.0,0.0,0.0,0.0,179.1,130.0,54.0,51.0,18.0,43.0,0.0,211.0,7.0,0.0,2.0,708.0,161,2.96,0.965,6.5,0.9,2.2,10.6,4.91,ASCYA-5,woodb005
5.0,Zack Wheeler,31.0,PHI,NL,7.5,14.0,10.0,0.583,2.78,32.0,32.0,0.0,3.0,2.0,0.0,213.1,169.0,72.0,66.0,16.0,46.0,1.0,247.0,8.0,0.0,6.0,849.0,150,2.59,1.008,7.1,0.7,1.9,10.4,5.37,ASCYA-2MVP-19,wheez001
6.0,Kevin Gausman,30.0,SFG,NL,5.2,14.0,6.0,0.7,2.81,33.0,33.0,0.0,0.0,0.0,0.0,192.0,150.0,66.0,60.0,20.0,50.0,1.0,227.0,4.0,0.0,7.0,775.0,147,3.0,1.042,7.0,0.9,2.3,10.6,4.54,ASCYA-6MVP-21,gausk001
7.0,Robbie Ray,29.0,TOR,AL,6.9,13.0,7.0,0.65,2.84,32.0,32.0,0.0,0.0,0.0,0.0,193.1,150.0,62.0,61.0,33.0,52.0,0.0,248.0,4.0,0.0,5.0,773.0,157,3.69,1.045,7.0,1.5,2.4,11.5,4.77,CYA-1MVP-15,ray-r002
8.0,Julio Urías,24.0,LAD,NL,4.8,20.0,3.0,0.87,2.96,32.0,32.0,0.0,0.0,0.0,0.0,185.2,151.0,67.0,61.0,19.0,38.0,3.0,195.0,7.0,1.0,2.0,745.0,143,3.13,1.018,7.3,0.9,1.8,9.5,5.13,CYA-7,uriaj001
9.0,Marcus Stroman,30.0,NYM,NL,3.4,10.0,13.0,0.435,3.02,33.0,33.0,0.0,0.0,0.0,0.0,179.0,161.0,70.0,60.0,17.0,44.0,2.0,158.0,7.0,0.0,7.0,730.0,133,3.49,1.145,8.1,0.9,2.2,7.9,3.59,,strom001
10.0,Max Fried,27.0,ATL,NL,4.2,14.0,7.0,0.667,3.04,28.0,28.0,0.0,2.0,2.0,0.0,165.2,139.0,61.0,56.0,15.0,41.0,0.0,158.0,7.0,0.0,7.0,667.0,143,3.31,1.087,7.6,0.8,2.2,8.6,3.85,GGSS,friem001
11.0,Adam Wainwright,39.0,STL,NL,3.7,17.0,7.0,0.708,3.05,32.0,32.0,0.0,3.0,1.0,0.0,206.1,168.0,72.0,70.0,21.0,50.0,3.0,174.0,9.0,1.0,4.0,828.0,128,3.66,1.057,7.3,0.9,2.2,7.6,3.48,CYA-7MVP-20,waina001
12.0,Lance McCullers Jr.,27.0,HOU,AL,3.3,13.0,5.0,0.722,3.16,28.0,28.0,0.0,0.0,0.0,0.0,162.1,122.0,59.0,57.0,13.0,76.0,0.0,185.0,10.0,0.0,7.0,684.0,136,3.52,1.22,6.8,0.7,4.2,10.3,2.43,CYA-7,mccul002
