Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Corbin Burnes,26,MIL,NL,5.3,11,5,.688,2.43,28,28,0,0,0,0,167.0,123,47,45,7,34,0,234,6,0,5,657,170,1.63,0.940,6.6,0.4,1.8,12.6,6.88,ASCYA-1MVP-15,burneco01
2,Max Scherzer,36,2TM,NL,6.1,15,4,.789,2.46,30,30,0,1,0,0,179.1,119,53,49,23,36,0,236,10,0,2,693,167,2.97,0.864,6.0,1.2,1.8,11.8,6.56,ASCYA-3MVP-14,scherma01
3,Walker Buehler,26,LAD,NL,7.1,16,4,.800,2.47,33,33,0,0,0,0,207.2,149,61,57,19,52,2,212,6,0,5,815,171,3.16,0.968,6.5,0.8,2.3,9.2,4.08,ASCYA-4,buehlwa01
4,Brandon Woodruff,28,MIL,NL,5.3,9,10,.474,2.56,30,30,0,0,0,0,179.1,130,54,51,18,43,0,211,7,0,2,708,161,2.96,0.965,6.5,0.9,2.2,10.6,4.91,ASCYA-5,woodrbr01
5,Zack Wheeler,31,PHI,NL,7.5,14,10,.583,2.78,32,32,0,3,2,0,213.1,169,72,66,16,46,1,247,8,0,6,849,150,2.59,1.008,7.1,0.7,1.9,10.4,5.37,ASCYA-2MVP-19,wheelza01
6,Kevin Gausman,30,SFG,NL,5.2,14,6,.700,2.81,33,33,0,0,0,0,192.0,150,66,60,20,50,1,227,4,0,7,775,147,3.00,1.042,7.0,0.9,2.3,10.6,4.54,ASCYA-6MVP-21,gausmke01
7,Robbie Ray,29,TOR,AL,6.9,13,7,.650,2.84,32,32,0,0,0,0,193.1,150,62,61,33,52,0,248,4,0,5,773,157,3.69,1.045,7.0,1.5,2.4,11.5,4.77,CYA-1MVP-15,rayro02
8,Julio Urías,24,LAD,NL,4.8,20,3,.870,2.96,32,32,0,0,0,0,185.2,151,67,61,19,38,3,195,7,1,2,745,143,3.13,1.018,7.3,0.9,1.8,9.5,5.13,CYA-7,uriasju01
9,Marcus Stroman,30,NYM,NL,3.4,10,13,.435,3.02,33,33,0,0,0,0,179.0,161,70,60,17,44,2,158,7,0,7,730,133,3.49,1.145,8.1,0.9,2.2,7.9,3.59,,stromma01
10,Max Fried,27,ATL,NL,4.2,14,7,.667,3.04,28,28,0,2,2,0,165.2,139,61,56,15,41,0,158,7,0,7,667,143,3.31,1.087,7.6,0.8,2.2,8.6,3.85,GGSS,friedma01
11,Adam Wainwright,39,STL,NL,3.7,17,7,.708,3.05,32,32,0,3,1,0,206.1,168,72,70,21,50,3,174,9,1,4,828,128,3.66,1.057,7.3,0.9,2.2,7.6,3.48,CYA-7MVP-20,wainwad01
12,Lance McCullers Jr.,27,HOU,AL,3.3,13,5,.722,3.16,28,28,0,0,0,0,162.1,122,59,57,13,76,0,185,10,0,7,684,136,3.52,1.220,6.8,0.7,4.2,10.3,2.43,CYA-7,mcculla02
13,Anthony DeSclafani,31,SFG,NL,4.2,13,7,.650,3.17,31,31,0,2,2,0,167.2,141,61,59,19,42,1,152,2,0,7,676,130,3.62,1.091,7.6,1.0,2.3,8.2,3.62,,desclan01
14,Joe Musgrove,28,SDP,NL,3.7,11,9,.550,3.18,32,31,1,2,2,0,181.1,142,68,64,22,54,3,203,18,0,3,748,122,3.70,1.081,7.0,1.1,2.7,10.1,3.76,,musgrjo01
