game_id,mgm_pred,nrfi_odds
PIT202409140,0,100
SFN202409140,0,-105
CLE202409140,0,105
SEA202409140,0,130
TOR202409140,0,105
COL202409140,0,-150
DET202409140,0,100
ATL202409140,0,110
ANA202409140,0,-105
MIN202409140,0,-105
NYA202409140,1,-105
WAS202409140,0,-115
ARI202409140,1,-105
PHI202409140,0,-105
CHA202409140,0,-105
