player_id,last,first,bats,throws,team_id,pos,player_name,year
almam101,Almada,Mel,L,L,WS1,OF,Mel Almada,1193
applp101,Appleton,Pete,R,R,WS1,P,Pete Appleton,1193
blueo102,Bluege,Ossie,R,R,WS1,2B,Ossie Bluege,1193
bonuz101,Bonura,Zeke,R,R,WS1,1B,Zeke Bonura,1193
caseg101,Case,George,R,R,WS1,OF,George Case,1193
chask101,Chase,Ken,L,L,WS1,P,Ken Chase,1193
deshj101,DeShong,Jimmie,R,R,WS1,P,Jimmie DeShong,1193
ferrr101,Ferrell,Rick,R,R,WS1,C,Rick Ferrell,1193
ferrw101,Ferrell,Wes,R,R,WS1,P,Wes Ferrell,1193
giult101,Giuliani,Tony,R,R,WS1,C,Tony Giuliani,1193
goslg101,Goslin,Goose,L,R,WS1,OF,Goose Goslin,1193
hogsc101,Hogsett,Chief,L,L,WS1,P,Chief Hogsett,1193
kellh101,Kelley,Harry,R,R,WS1,P,Harry Kelley,1193
kohlj101,Kohlman,Joe,R,R,WS1,P,Joe Kohlman,1193
krakj101,Krakauskas,Joe,L,L,WS1,P,Joe Krakauskas,1193
leond103,Leonard,Dutch,R,R,WS1,P,Dutch Leonard,1193
lewib103,Lewis,Buddy,L,R,WS1,3B,Buddy Lewis,1193
livim101,Livingston,Mickey,R,R,WS1,C,Mickey Livingston,1193
montr101,Monteagudo,Rene,L,L,WS1,P,Rene Monteagudo,1193
myerb103,Myer,Buddy,L,R,WS1,2B,Buddy Myer,1193
phebb101,Phebus,Bill,R,R,WS1,P,Bill Phebus,1193
simma101,Simmons,Al,R,R,WS1,OF,Al Simmons,1193
stonj102,Stone,John,L,R,WS1,OF,John Stone,1193
travc101,Travis,Cecil,L,R,WS1,SS,Cecil Travis,1193
wasdj101,Wasdell,Jimmy,L,L,WS1,1B,Jimmy Wasdell,1193
weavm101,Weaver,Monte,L,R,WS1,P,Monte Weaver,1193
wests101,West,Sam,L,L,WS1,OF,Sam West,1193
wrigt102,Wright,Taffy,L,R,WS1,OF,Taffy Wright,1193
aderm101,Aderholt,Morrie,L,R,WS1,2B,Morrie Aderholt,1193
applp101,Appleton,Pete,R,R,WS1,P,Pete Appleton,1193
bassd102,Bass,Dick,R,R,WS1,P,Dick Bass,1193
blooj101,Bloodworth,Jimmy,R,R,WS1,2B,Jimmy Bloodworth,1193
