rank,team,curr_year,last_3,last_1,home,away,prev_year
1,TOR,0.338,0.306,0.289,0.347,0.329,0.323
2,DET,0.328,0.306,0.357,0.332,0.324,0.33
3,SFN,0.326,0.333,0.41,0.326,0.327,0.312
4,BOS,0.325,0.245,0.27,0.349,0.302,0.316
5,LAN,0.325,0.306,0.286,0.32,0.33,0.333
6,CLE,0.325,0.37,0.333,0.344,0.305,0.317
7,ARI,0.324,0.322,0.359,0.331,0.317,0.302
8,TEX,0.323,0.248,0.278,0.341,0.306,0.314
9,PIT,0.323,0.275,0.219,0.323,0.322,0.329
10,NYA,0.322,0.282,0.156,0.325,0.319,0.307
11,KCA,0.322,0.309,0.297,0.333,0.311,0.314
12,WAS,0.321,0.184,0.129,0.328,0.314,0.318
13,SLN,0.32,0.264,0.316,0.329,0.311,0.319
14,CHN,0.319,0.214,0.27,0.322,0.317,0.3
15,COL,0.315,0.273,0.282,0.352,0.277,0.327
16,HOU,0.315,0.276,0.069,0.322,0.308,0.309
17,ATL,0.314,0.34,0.355,0.317,0.312,0.305
18,TBA,0.314,0.302,0.368,0.312,0.316,0.317
19,CIN,0.312,0.277,0.265,0.322,0.303,0.296
20,OAK,0.312,0.326,0.265,0.316,0.308,0.32
21,SEA,0.311,0.288,0.324,0.313,0.309,0.3
22,NYN,0.31,0.257,0.226,0.303,0.316,0.308
23,MIA,0.31,0.331,0.25,0.312,0.308,0.317
24,BAL,0.307,0.415,0.439,0.327,0.289,0.311
25,MIL,0.307,0.141,0.167,0.31,0.304,0.311
26,ANA,0.307,0.304,0.182,0.311,0.302,0.321
27,CHA,0.306,0.248,0.156,0.307,0.306,0.31
28,MIN,0.305,0.284,0.325,0.322,0.289,0.324
29,PHI,0.303,0.342,0.395,0.304,0.301,0.302
30,SDN,0.3,0.23,0.25,0.306,0.295,0.292
