year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA
2015,ANA201504100,ANA,KCA,0,1,santh001,vargj001,3.59,3.98
2015,ANA201504110,ANA,KCA,1,0,weavj003,guthj001,4.64,5.95
2015,ANA201504120,ANA,KCA,1,0,wilsc004,venty001,3.89,4.08
2015,ANA201504200,ANA,OAK,2,1,shoem001,oterd001,4.46,6.75
2015,ANA201504210,ANA,OAK,0,0,santh001,pomed001,3.59,3.66
2015,ANA201504220,ANA,OAK,0,1,salaf001,grays001,4.24,2.73
2015,ANA201504230,ANA,OAK,0,0,tropn001,chavj001,3.82,4.18
2015,ANA201504240,ANA,TEX,0,0,richg002,kelak001,3.65,2.39
2015,ANA201504250,ANA,TEX,0,0,pestv001,lewic001,5.4,4.66
2015,ANA201504260,ANA,TEX,0,0,alvaj003,felin001,3.49,6.38
2015,ANA201505040,ANA,SEA,0,0,shoem001,hernf002,4.46,3.53
2015,ANA201505050,ANA,SEA,2,0,streh001,leond003,3.18,8.4
2015,ANA201505060,ANA,SEA,0,0,streh001,smitc004,3.18,2.31
2015,ANA201505070,ANA,HOU,1,0,streh001,neshp001,3.18,3.62
2015,ANA201505080,ANA,HOU,0,0,weavj003,carmf001,4.64,
2015,ANA201505090,ANA,HOU,2,1,shoem001,keucd001,4.46,2.48
2015,ANA201505100,ANA,HOU,0,0,richg002,felds001,3.65,3.9
2015,ANA201505120,ANA,COL,0,0,wilsc004,betar001,3.89,6.18
2015,ANA201505130,ANA,COL,0,0,ramoc001,friec001,2.75,5.25
2015,ANA201505250,ANA,SDN,0,0,smitj002,quack001,3.58,4.01
2015,ANA201505260,ANA,SDN,0,0,smitj002,thayd001,3.58,4.06
2015,ANA201505270,ANA,SDN,0,0,richg002,casha001,3.65,4.34
2015,ANA201505280,ANA,DET,2,0,wilsc004,farmb001,3.89,7.36
2015,ANA201505290,ANA,DET,0,0,santh001,sanca004,3.59,4.99
2015,ANA201505300,ANA,DET,2,0,weavj003,grees005,4.64,6.88
2015,ANA201505310,ANA,DET,0,0,smitj002,pricd001,3.58,2.45
2015,ANA201506010,ANA,TBA,0,0,richg002,coloa001,3.65,3.94
2015,ANA201506020,ANA,TBA,0,2,wilsc004,archc001,3.89,3.23
2015,ANA201506030,ANA,TBA,1,0,streh001,boxbb001,3.18,3.71
2015,ANA201506120,ANA,OAK,0,0,alvaj003,scrie001,3.49,4.35
2015,ANA201506130,ANA,OAK,1,0,wilsc004,gravk001,3.89,4.05
2015,ANA201506140,ANA,OAK,0,0,shoem001,grays001,4.46,2.73
2015,ANA201506150,ANA,ARI,0,0,weavj003,ray-r002,4.64,3.52
2015,ANA201506160,ANA,ARI,0,0,richg002,hellj001,3.65,4.62
2015,ANA201506220,ANA,HOU,0,0,streh001,qualc001,3.18,4.38
2015,ANA201506230,ANA,HOU,0,1,wilsc004,mchuc001,3.89,3.89
2015,ANA201506240,ANA,HOU,0,0,alvaj003,thatj001,3.49,3.18
2015,ANA201506260,ANA,SEA,1,0,shoem001,walkt004,4.46,4.56
2015,ANA201506270,ANA,SEA,2,0,richg002,happj001,3.65,3.61
2015,ANA201506280,ANA,SEA,0,0,gottt001,wilht001,3.02,3.19
2015,ANA201506290,ANA,NYA,1,0,wilsc004,sabac001,3.89,4.73
2015,ANA201506300,ANA,NYA,0,0,heana001,novai001,3.49,5.07
2015,ANA201507010,ANA,NYA,0,0,shoem001,eovan001,4.46,4.2
2015,ANA201507170,ANA,BOS,0,0,smitj002,uehak001,3.58,2.23
2015,ANA201507180,ANA,BOS,0,0,richg002,porcr001,3.65,4.92
2015,ANA201507201,ANA,BOS,0,0,santh001,rodre004,3.59,3.85
2015,ANA201507202,ANA,BOS,0,0,heana001,wrigs001,3.49,4.09
2015,ANA201507210,ANA,MIN,0,0,shoem001,gibsk002,4.46,3.84
2015,ANA201507220,ANA,MIN,0,0,wilsc004,pelfm001,3.89,4.26
2015,ANA201507230,ANA,MIN,0,0,richg002,sante001,3.65,4.0
2015,ANA201507240,ANA,TEX,0,0,tropn001,lewic001,3.82,4.66
2015,ANA201507250,ANA,TEX,1,1,smitj002,patts002,3.58,9.0
2015,ANA201507260,ANA,TEX,1,0,heana001,martn002,3.49,3.96
2015,ANA201508030,ANA,CLE,0,3,richg002,klubc001,3.65,3.49
2015,ANA201508040,ANA,CLE,0,0,alvaj003,mcalz001,3.49,3.0
2015,ANA201508050,ANA,CLE,0,0,bedrc001,allec002,5.4,2.99
2015,ANA201508070,ANA,BAL,1,0,salaf001,gausk001,4.24,4.25
2015,ANA201508080,ANA,BAL,0,0,richg002,jimeu001,3.65,4.11
2015,ANA201508090,ANA,BAL,1,2,gottt001,roe-c001,3.02,4.14
2015,ANA201508170,ANA,CHA,0,0,salaf001,rodoc001,4.24,3.75
2015,ANA201508180,ANA,CHA,3,0,richg002,dankj001,3.65,4.71
2015,ANA201508190,ANA,CHA,0,0,weavj003,samaj001,4.64,4.96
2015,ANA201508200,ANA,CHA,1,1,tropn001,quinj001,3.82,3.36
2015,ANA201508210,ANA,TOR,0,3,santh001,pricd001,3.59,2.45
2015,ANA201508220,ANA,TOR,0,0,heana001,estrm001,3.49,3.13
2015,ANA201508230,ANA,TOR,5,1,richg002,dickr001,3.65,3.91
2015,ANA201509040,ANA,TEX,0,0,richg002,perem004,3.65,4.46
2015,ANA201509050,ANA,TEX,1,1,smitj002,holld003,3.58,4.91
2015,ANA201509060,ANA,TEX,1,0,santh001,lewic001,3.59,4.66
2015,ANA201509070,ANA,LAN,0,0,salaf001,greiz001,4.24,1.66
2015,ANA201509080,ANA,LAN,1,1,heana001,kersc001,3.49,2.13
2015,ANA201509090,ANA,LAN,0,1,alvaj003,avill001,3.49,4.05
2015,ANA201509110,ANA,HOU,0,0,weavj003,keucd001,4.64,2.48
2015,ANA201509120,ANA,HOU,0,0,smitj002,harrw002,3.58,1.9
2015,ANA201509130,ANA,HOU,1,0,streh001,qualc001,3.18,4.38
2015,ANA201509250,ANA,SEA,4,1,richg002,nunov001,3.65,3.74
2015,ANA201509260,ANA,SEA,1,0,salaf001,farqd001,4.24,5.12
2015,ANA201509270,ANA,SEA,0,0,salaf001,iwakh001,4.24,3.54
2015,ANA201509280,ANA,OAK,0,0,gottt001,mujie001,3.02,4.75
2015,ANA201509290,ANA,OAK,2,0,tropn001,bassc001,3.82,3.56
2015,ANA201509300,ANA,OAK,0,0,morim002,dullr001,6.37,4.24
2015,ARI201504060,ARI,SFN,0,0,collj001,bumgm001,3.79,2.93
2015,ARI201504070,ARI,SFN,0,2,delar003,voger001,4.67,4.67
2015,ARI201504080,ARI,SFN,1,0,hellj001,hestc001,4.62,3.95
2015,ARI201504100,ARI,LAN,0,0,pereo002,howej003,4.17,1.43
2015,ARI201504110,ARI,LAN,1,0,brada001,kersc001,5.8,2.13
2015,ARI201504120,ARI,LAN,0,0,collj001,greiz001,3.79,1.66
2015,ARI201504210,ARI,TEX,0,1,hudsd001,tolls002,3.86,2.99
2015,ARI201504220,ARI,TEX,2,1,brada001,gally001,5.8,3.42
2015,ARI201504240,ARI,PIT,0,1,collj001,coleg001,3.79,2.6
2015,ARI201504250,ARI,PIT,0,0,reeda001,watst001,3.38,1.91
2015,ARI201504260,ARI,PIT,0,2,hellj001,lirif001,4.62,3.38
2015,ARI201504270,ARI,COL,0,3,andec001,matzt001,4.3,4.09
2015,ARI201504280,ARI,COL,3,0,chafa001,kendk001,2.76,6.32
2015,ARI201504290,ARI,COL,2,1,collj001,lylej001,3.79,5.14
2015,ARI201505070,ARI,SDN,4,0,delar003,despo001,4.67,5.8
2015,ARI201505080,ARI,SDN,0,0,burge002,shiej002,4.67,3.91
2015,ARI201505090,ARI,SDN,0,1,delgr001,quack001,3.25,4.01
2015,ARI201505100,ARI,SDN,0,0,ramij002,casha001,5.32,4.34
