game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
NYA201504060,TOR,NYA,NYC21,2015/04/06,0,1:13PM,day,true,culbf901,reynj901,mealj901,schrp901,park,pitches,sprej701,54,rtol,5,unknown,unknown,cloudy,179,48469,hutcd001,tanam001,,
NYA201504080,TOR,NYA,NYC21,2015/04/08,0,7:10PM,night,true,reynj901,mealj901,schrp901,culbf901,park,pitches,sprej701,44,ltor,17,unknown,unknown,unknown,176,31020,betad001,loupa001,milla002,
NYA201504090,TOR,NYA,NYC21,2015/04/09,0,7:08PM,night,true,mealj901,schrp901,culbf901,reynj901,park,pitches,sprej701,42,ltor,7,unknown,unknown,overcast,172,32152,norrd002,sabac001,castm002,
NYA201504100,BOS,NYA,NYC21,2015/04/10,0,7:08PM,night,true,fostm901,muchm901,wintm901,wegnm901,park,pitches,karph701,55,rtol,11,unknown,unknown,unknown,409,41292,wrigs001,rogee002,,
NYA201504110,BOS,NYA,NYC21,2015/04/11,0,1:08PM,day,true,muchm901,wintm901,wegnm901,fostm901,park,pitches,karph701,55,ltor,21,unknown,unknown,cloudy,193,46678,kellj001,warra001,,
NYA201504120,BOS,NYA,NYC21,2015/04/12,0,8:08PM,night,true,wintm901,wegnm901,fostm901,muchm901,park,pitches,karph701,54,tolf,12,unknown,unknown,sunny,204,43019,tanam001,buchc001,,
NYA201504240,NYN,NYA,NYC21,2015/04/24,0,7:11PM,night,true,eddid901,johna901,wolfj901,hamaa901,park,pitches,sprej701,46,ltor,11,unknown,unknown,cloudy,153,45310,pinem001,degrj001,,
NYA201504250,NYN,NYA,NYC21,2015/04/25,0,4:07PM,day,true,johna901,wolfj901,hamaa901,eddid901,park,pitches,sprej701,57,unknown,12,unknown,unknown,sunny,165,47909,harvm001,sabac001,,
NYA201504260,NYN,NYA,NYC21,2015/04/26,0,8:08PM,night,true,wolfj901,hamaa901,eddid901,johna901,park,pitches,sprej701,56,rtol,5,unknown,unknown,unknown,165,47510,shrec001,niesj001,milla002,
NYA201504270,TBA,NYA,NYC21,2015/04/27,0,7:08PM,night,true,gibsg901,hudsm901,fairc901,joycj901,park,pitches,sprej701,58,torf,5,unknown,unknown,unknown,179,34590,wilsj004,gomeb001,milla002,
NYA201504280,TBA,NYA,NYC21,2015/04/28,0,7:09PM,night,true,hudsm901,fairc901,joycj901,gibsg901,park,pitches,karph701,66,torf,7,unknown,unknown,cloudy,178,36934,whitc001,odorj001,martc007,
NYA201504290,TBA,NYA,NYC21,2015/04/29,0,1:09PM,day,true,fairc901,joycj901,gibsg901,hudsm901,park,pitches,karph701,70,fromlf,14,unknown,unknown,sunny,238,30055,gomeb001,shrec001,friee001,
