game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,away_pitcher,wp,lp,winner
ATL197704150,ATL,HOU,2,0,,N,ruthd001,lemom101,ATL
ATL197704160,ATL,HOU,0,0,,N,messa101,sambj001,ATL
ATL197704170,ATL,HOU,0,0,,D,marsm101,forsk001,ATL
ATL197704180,ATL,SDN,1,0,,N,sawyr101,lacof001,SDN
ATL197704190,ATL,SDN,0,0,,N,ruthd001,freid101,ATL
ATL197704200,ATL,SDN,0,0,,N,messa101,joner101,ATL
ATL197704220,ATL,LAN,3,1,,N,campr001,walls101,ATL
ATL197704230,ATL,LAN,0,0,,N,hougc001,ruthd001,LAN
ATL197704240,ATL,LAN,2,1,,D,walls101,lacof001,LAN
ATL197704250,ATL,CIN,4,6,,N,billj101,niekp001,CIN
ATL197704260,ATL,CIN,0,0,,N,normf101,lacof001,CIN
ATL197704270,ATL,CIN,0,2,,N,zachp001,ruthd001,CIN
ATL197705020,ATL,PIT,0,1,,N,kisob001,caprb101,PIT
ATL197705030,ATL,PIT,1,2,,N,tekuk001,niekp001,PIT
ATL197705040,ATL,PIT,0,2,,N,demel101,lacof001,PIT
ATL197705130,ATL,SLN,0,0,,N,forsb001,colld101,SLN
ATL197705140,ATL,SLN,1,1,,N,carrc103,caprb101,SLN
ATL197705150,ATL,SLN,0,0,,D,campr001,hraba101,ATL
ATL197705170,ATL,MON,0,0,,N,niekp001,atkib101,ATL
ATL197705180,ATL,MON,0,0,,N,eastj001,roges001,ATL
ATL197705190,ATL,CHN,0,0,,N,niekp001,reusr001,ATL
ATL197705200,ATL,CHN,0,0,,N,burrr001,colld101,CHN
ATL197705210,ATL,CHN,0,0,,N,moord001,leonm101,CHN
ATL197705220,ATL,CHN,2,0,,D,messa101,bonhb101,ATL
ATL197706031,ATL,SFN,0,0,,N,colld101,mcgll101,ATL
ATL197706032,ATL,SFN,0,1,,N,campr001,laveg001,ATL
ATL197706040,ATL,SFN,4,0,,N,niekp001,curtj001,ATL
ATL197706050,ATL,SFN,0,2,,D,halie101,eastj001,SFN
ATL197706090,ATL,PHI,0,0,,N,niekp001,kaatj101,ATL
ATL197706100,ATL,PHI,2,1,,N,reedr001,campd102,PHI
ATL197706110,ATL,PHI,0,5,,N,brusw001,caprb101,PHI
ATL197706120,ATL,PHI,0,0,,D,campr001,garbg001,ATL
ATL197706130,ATL,NYN,0,0,,N,koosj001,niekp001,NYN
ATL197706140,ATL,NYN,0,0,,N,leonm101,toddj101,ATL
ATL197706150,ATL,NYN,0,1,,N,apodb101,caprb101,NYN
ATL197706240,ATL,SDN,0,2,,N,campr001,wehrd001,ATL
ATL197706250,ATL,SDN,4,0,,N,messa101,shirb001,ATL
ATL197706260,ATL,SDN,0,0,,D,niekp001,freid101,ATL
ATL197706270,ATL,LAN,0,0,,N,hootb001,colld101,LAN
ATL197706280,ATL,LAN,0,1,,N,garmm101,leonm101,LAN
ATL197706290,ATL,LAN,2,0,,N,suttd001,messa101,LAN
ATL197706300,ATL,LAN,0,0,,N,niekp001,hougc001,ATL
ATL197707040,ATL,CIN,0,1,,N,niekp001,seavt001,ATL
ATL197707050,ATL,CIN,0,0,,N,frymw101,colld101,CIN
ATL197707060,ATL,CIN,0,0,,N,borbp101,campd102,CIN
ATL197707150,ATL,SFN,0,0,,N,soloe101,montj001,ATL
ATL197707160,ATL,SFN,0,0,,N,knepb001,niekp001,SFN
ATL197707170,ATL,SFN,3,0,,D,leonm101,mcgll101,ATL
ATL197707290,ATL,PIT,0,1,,N,niekp001,kisob001,ATL
ATL197707300,ATL,PIT,3,0,,N,forst001,colld101,PIT
ATL197707310,ATL,PIT,1,0,,D,soloe101,candj001,ATL
ATL197708010,ATL,SLN,2,2,,N,undet001,leonm101,SLN
ATL197708020,ATL,SLN,0,0,,N,metzb101,niekp001,SLN
ATL197708030,ATL,SLN,0,0,,N,rasme101,ruthd001,SLN
ATL197708040,ATL,MON,0,0,,N,soloe101,bahns101,ATL
ATL197708050,ATL,MON,0,0,,N,stand101,campd102,MON
ATL197708060,ATL,MON,0,0,,N,niekp001,roges001,ATL
ATL197708070,ATL,MON,0,0,,D,ruthd001,browj109,ATL
ATL197708150,ATL,HOU,0,6,,N,richj101,caprb101,HOU
ATL197708160,ATL,HOU,0,1,,N,lemom101,ruthd001,HOU
ATL197708170,ATL,HOU,0,2,,N,colld101,sambj001,ATL
ATL197708220,ATL,PHI,0,1,,N,lonbj101,hannp101,PHI
ATL197708230,ATL,PHI,0,2,,N,lercr001,niekp001,PHI
ATL197708240,ATL,CHN,1,0,,N,colld101,hernw001,ATL
ATL197708250,ATL,CHN,5,1,,N,ruthd001,bonhb101,ATL
ATL197708260,ATL,NYN,0,0,,N,hannp101,koosj001,ATL
ATL197708270,ATL,NYN,0,0,,N,niekp001,locks101,ATL
ATL197708280,ATL,NYN,1,0,,D,soloe101,espin101,ATL
ATL197709050,ATL,SFN,3,0,,N,ruthd001,barrj101,ATL
ATL197709060,ATL,SFN,0,1,,N,knepb001,soloe101,SFN
ATL197709070,ATL,LAN,0,1,,N,lewad101,caprb101,LAN
ATL197709080,ATL,LAN,0,0,,N,rautl101,campd102,LAN
ATL197709090,ATL,SDN,0,0,,N,hannp101,sawyr101,ATL
ATL197709100,ATL,SDN,2,0,,N,ruthd001,owchb001,ATL
ATL197709110,ATL,SDN,0,0,,D,soloe101,joner101,ATL
ATL197709230,ATL,CIN,0,0,,N,moskp101,mahlm001,CIN
ATL197709240,ATL,CIN,0,1,,N,humet001,ruthd001,CIN
ATL197709250,ATL,CIN,0,0,,D,seavt001,niekp001,CIN
ATL197709260,ATL,HOU,0,3,,N,caprb101,larsd101,ATL
ATL197709270,ATL,HOU,0,0,,N,richj101,mahlm001,HOU
ATL197709280,ATL,HOU,0,0,,N,lemom101,ruthd001,HOU
BAL197704070,BAL,TEX,0,0,,D,blylb001,palmj001,TEX
BAL197704090,BAL,TEX,0,0,,D,perrg101,may-r101,TEX
BAL197704100,BAL,TEX,0,1,,D,alexd001,grimr101,TEX
BAL197704180,BAL,CLE,0,1,,N,may-r101,dobsp101,BAL
BAL197704190,BAL,CLE,0,0,,N,milld101,larod101,BAL
BAL197704200,BAL,CLE,2,0,,N,mcgrs001,garlw101,BAL
BAL197704250,BAL,NYA,0,2,,N,tidrd001,martd001,NYA
BAL197704260,BAL,NYA,4,1,,N,may-r101,holtk101,BAL
BAL197704270,BAL,NYA,0,1,,N,lyles101,martd001,NYA
BAL197704290,BAL,CAL,0,0,,N,tanaf001,milld101,CAL
BAL197704300,BAL,CAL,3,0,,N,martd001,ryann001,BAL
BAL197705010,BAL,CAL,0,1,,D,grimr101,hartp001,BAL
BAL197705020,BAL,OAK,0,2,,N,langr001,may-r101,OAK
BAL197705040,BAL,OAK,5,0,,N,palmj001,ellid101,BAL
BAL197705060,BAL,SEA,0,1,,N,grimr101,abbog001,BAL
BAL197705070,BAL,SEA,0,0,,N,may-r101,joner102,BAL
BAL197705080,BAL,SEA,4,0,,D,palmj001,poled101,BAL
BAL197705230,BAL,MIL,0,0,,N,milld101,slatj001,BAL
BAL197705240,BAL,MIL,0,0,,N,palmj001,auguj001,BAL
BAL197705251,BAL,KCA,0,2,,N,splip001,grimr101,KCA
BAL197705252,BAL,KCA,0,0,,N,martd001,colbj101,BAL
BAL197705270,BAL,MIN,2,0,,N,may-r101,zahng001,BAL
BAL197705280,BAL,MIN,0,0,,N,palmj001,hollj102,BAL
BAL197705290,BAL,MIN,0,0,,D,goltd101,flanm001,MIN
BAL197706100,BAL,CHA,1,0,,N,flanm001,stons101,BAL
BAL197706110,BAL,CHA,2,0,,N,may-r101,bretk101,BAL
BAL197706120,BAL,CHA,3,0,,D,lagrl101,martd001,CHA
