game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
CIN196504120,"""version 7RS(19) of 07/07/92""",MLN,CIN,CIN07,1965/04/12,0,2:30PM,day,false,jackb901,varge901,pelec901,pryop901,"""22""","""David W. Smith""","""David W. Smith""",2002/08/14 2:26AM,park,none,60,unknown,-1,unknown,unknown,unknown,148,28467,clont101,otooj101,,,
CIN196504130,"""version 7RS(19) of 07/07/92""",MLN,CIN,CIN07,1965/04/13,0,8:05PM,night,false,varge901,pelec901,pryop901,jackb901,"""22""","""David W. Smith""","""David W. Smith""",2002/08/14 6:18PM,park,none,51,unknown,-1,unknown,unknown,unknown,160,4236,ellis101,lemad102,,,
CIN196504230,"""version 7RS(19) of 07/07/92""",SLN,CIN,CIN07,1965/04/23,0,0:00PM,night,false,craws901,venzt901,forma901,harvd901,,"""Steve Hamilton""","""Steve Hamilton""",1995/09/19 3:44PM,park,none,0,unknown,-1,unknown,unknown,unknown,175,11389,gibsb101,tsitj101,,,
CIN196504240,"""version 7RS(19) of 07/07/92""",SLN,CIN,CIN07,1965/04/24,0,2:17PM,day,false,venzt901,forma901,harvd901,craws901,,"""Steve Hamilton""","""Steve Hamilton""",1995/09/19 4:25PM,park,none,0,unknown,-1,unknown,unknown,unknown,192,3908,ellis101,stalt101,mccob105,,
CIN196504270,"""version 7RS(19) of 07/07/92""",CHN,CIN,CIN07,1965/04/27,0,0:00PM,night,false,forma901,harvd901,craws901,venzt901,"""Cubs""","""Fischthal""","""Fischthal""",1999/01/15 12:42AM,park,count,0,unknown,-1,unknown,unknown,cloudy,210,3795,maloj102,ellsd101,crair101,,
CIN196504280,"""version 7RS(19) of 07/07/92""",CHN,CIN,CIN07,1965/04/28,0,0:00PM,night,false,harvd901,craws901,venzt901,forma901,"""Cubs""","""Fischthal""","""Fischthal""",1999/01/15 2:25PM,park,count,0,torf,-1,unknown,unknown,cloudy,234,3561,henrb101,broge101,,,
CIN196504290,"""version 7RS(19) of 07/07/92""",CHN,CIN,CIN07,1965/04/29,0,0:00PM,night,false,craws901,venzt901,forma901,harvd901,"""Cubs""","""Fischthal""","""Fischthal""",1999/01/15 3:30PM,park,count,0,unknown,-1,unknown,none,night,190,4216,koonc101,otooj101,,,
CIN196504300,"""version 7RS(19) of 07/07/92""",NYN,CIN,CIN07,1965/04/30,0,0:00PM,night,false,weyel901,kiblj901,secof101,burkk101,"""Rosenthal/Mets""","""Fischthal""","""Fischthal""",1996/02/12 8:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,163,5216,tsitj101,spahw101,,,
CIN196505010,"""version 7RS(19) of 07/07/92""",NYN,CIN,CIN07,1965/05/01,0,2:10PM,day,false,kiblj901,secof101,burkk101,weyel901,"""Mets/Rosenthal""","""Fischthal""","""Fischthal""",1996/02/12 8:48PM,park,none,0,unknown,-1,unknown,unknown,sunny,170,3961,ellis101,krolg101,,,
CIN196505021,"""version 7RS(19) of 07/07/92""",NYN,CIN,CIN07,1965/05/02,1,0:00PM,day,false,secof101,burkk101,weyel901,kiblj901,"""Rosenthal/Mets""","""Fischthal""","""Fischthal""",1996/02/17 5:34PM,park,none,0,unknown,-1,unknown,unknown,unknown,160,0,maloj102,fishj101,,,
CIN196505022,"""version 7RS(19) of 07/07/92""",NYN,CIN,CIN07,1965/05/02,2,0:00PM,day,false,burkk101,weyel901,kiblj901,secof101,"""Rosenthal/Mets""","""Fischthal""","""Fischthal""",1996/02/17 5:48PM,park,none,0,unknown,-1,unknown,unknown,unknown,188,17242,henrb101,fishj101,mccob105,,
CIN196505040,"""version 7RS(19) of 07/07/92""",LAN,CIN,CIN07,1965/05/04,0,0:00PM,night,false,smitv101,willb901,sudoe901,gormt101,"""40""","""David W. Smith""","""David W. Smith""",1999/05/01 1:35PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,9676,brewj102,jay-j101,,,
CIN196505050,"""version 7RS(19) of 07/07/92""",LAN,CIN,CIN07,1965/05/05,0,0:00PM,night,false,willb901,sudoe901,gormt101,smitv101,"""Patterson""","""David W. Smith""","""David W. Smith""",1993/07/25 5:27PM,park,none,0,unknown,-1,unknown,unknown,unknown,158,9753,koufs101,otooj101,,,
CIN196505060,"""version 7RS(19) of 07/07/92""",LAN,CIN,CIN07,1965/05/06,0,0:00PM,night,false,sudoe901,gormt101,smitv101,willb901,"""40""","""David W. Smith""","""David W. Smith""",1999/05/01 2:02PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,7821,podrj101,tsitj101,millb106,,
CIN196505190,"""version 7RS(19) of 07/07/92""",PIT,CIN,CIN07,1965/05/19,0,8:05PM,night,false,willb901,smitv101,(none),sudoe901,"""22""","""David W. Smith""","""David W. Smith""",2002/08/14 11:14PM,park,none,71,unknown,-1,unknown,unknown,unknown,133,6743,mccob105,gibbj102,,,
CIN196505200,"""version 7RS(19) of 07/07/92""",PIT,CIN,CIN07,1965/05/20,0,8:05PM,night,false,smitv101,sudoe901,(none),willb901,"""22""","""David W. Smith""","""David W. Smith""",2002/08/14 11:34PM,park,none,0,unknown,-1,unknown,unknown,unknown,162,5209,ellis101,frieb102,,,
CIN196505210,"""version 7RS(19) of 07/07/92""",PHI,CIN,CIN07,1965/05/21,0,0:00PM,night,false,varge901,pelec901,pryop901,jackb901,"""28""","""Comly""","""Comly""",1999/02/05 10:04PM,park,none,0,unknown,-1,unknown,unknown,night,174,14263,jay-j101,mahaa102,,,
CIN196505220,"""version 7RS(19) of 07/07/92""",PHI,CIN,CIN07,1965/05/22,0,0:00PM,night,false,pelec901,pryop901,jackb901,varge901,"""28""","""Comly""","""Comly""",1999/02/06 10:16PM,park,none,0,unknown,-1,unknown,unknown,night,164,21296,nuxhj101,belib101,arrig101,,
CIN196505230,"""version 7RS(19) of 07/07/92""",PHI,CIN,CIN07,1965/05/23,0,0:00PM,day,false,pryop901,jackb901,varge901,pelec901,"""28""","""Comly""","""Comly""",1999/02/06 10:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,193,14942,roebe101,arrig101,,,
