player_id,last,first,bats,throws,team_id,pos,player_name,year,team_name
cares101,Carey,Scoops,R,R,WS1,1B,Scoops Carey,1903,"A,Washington,Senators"
clarb103,Clarke,Boileryard,R,R,WS1,1B,Boileryard Clarke,1903,"A,Washington,Senators"
cougb101,Coughlin,Bill,R,R,WS1,3B,Bill Coughlin,1903,"A,Washington,Senators"
delae101,Delahanty,Ed,R,R,WS1,OF,Ed Delahanty,1903,"A,Washington,Senators"
demog101,DeMontreville,Gene,R,R,WS1,2B,Gene DeMontreville,1903,"A,Washington,Senators"
drill101,Drill,Lew,R,R,WS1,C,Lew Drill,1903,"A,Washington,Senators"
dunkd101,Dunkle,Davey,B,R,WS1,P,Davey Dunkle,1903,"A,Washington,Senators"
hendj101,Hendricks,Jack,L,L,WS1,OF,Jack Hendricks,1903,"A,Washington,Senators"
holmd101,Holmes,Ducky,L,R,WS1,OF,Ducky Holmes,1903,"A,Washington,Senators"
kittm101,Kittridge,Malachi,R,R,WS1,C,Malachi Kittridge,1903,"A,Washington,Senators"
lee-w101,Lee,Watty,L,L,WS1,OF,Watty Lee,1903,"A,Washington,Senators"
martj108,Martin,Joe,L,R,WS1,2B,Joe Martin,1903,"A,Washington,Senators"
mccob104,McCormick,Barry,R,R,WS1,2B,Barry McCormick,1903,"A,Washington,Senators"
morac101,Moran,Charles,?,R,WS1,SS,Charles Moran,1903,"A,Washington,Senators"
ortha101,Orth,Al,L,R,WS1,P,Al Orth,1903,"A,Washington,Senators"
ostec101,Osteen,Champ,L,R,WS1,SS,Champ Osteen,1903,"A,Washington,Senators"
pattc101,Patten,Casey,B,L,WS1,P,Casey Patten,1903,"A,Washington,Senators"
robir101,Robinson,Rabbit,R,R,WS1,2B,Rabbit Robinson,1903,"A,Washington,Senators"
ryanj105,Ryan,Jimmy,R,L,WS1,OF,Jimmy Ryan,1903,"A,Washington,Senators"
selbk101,Selbach,Kip,R,R,WS1,OF,Kip Selbach,1903,"A,Washington,Senators"
townh101,Townsend,Happy,R,R,WS1,P,Happy Townsend,1903,"A,Washington,Senators"
wilsh101,Wilson,Highball,?,R,WS1,P,Highball Wilson,1903,"A,Washington,Senators"
altrn101,Altrock,Nick,B,L,BOS,P,Nick Altrock,1903,"A,Boston,Americans"
collj103,Collins,Jimmy,R,R,BOS,3B,Jimmy Collins,1903,"A,Boston,Americans"
crigl101,Criger,Lou,R,R,BOS,C,Lou Criger,1903,"A,Boston,Americans"
dinnb101,Dinneen,Bill,R,R,BOS,P,Bill Dinneen,1903,"A,Boston,Americans"
dougp102,Dougherty,Patsy,L,R,BOS,OF,Patsy Dougherty,1903,"A,Boston,Americans"
farrd102,Farrell,Duke,B,R,BOS,C,Duke Farrell,1903,"A,Boston,Americans"
ferrh101,Ferris,Hobe,R,R,BOS,2B,Hobe Ferris,1903,"A,Boston,Americans"
freeb102,Freeman,Buck,L,L,BOS,OF,Buck Freeman,1903,"A,Boston,Americans"
gibsn101,Gibson,Norwood,R,R,BOS,P,Norwood Gibson,1903,"A,Boston,Americans"
gleah101,Gleason,Harry,R,R,BOS,3B,Harry Gleason,1903,"A,Boston,Americans"
hught103,Hughes,Tom,R,R,BOS,P,Tom Hughes,1903,"A,Boston,Americans"
lachc101,LaChance,Candy,B,R,BOS,1B,Candy LaChance,1903,"A,Boston,Americans"
obrij103,O'Brien,Jack,L,R,BOS,OF,Jack O'Brien,1903,"A,Boston,Americans"
paref101,Parent,Freddy,R,R,BOS,SS,Freddy Parent,1903,"A,Boston,Americans"
smita105,Smith,Aleck,?,R,BOS,C,Aleck Smith,1903,"A,Boston,Americans"
stahc101,Stahl,Chick,L,L,BOS,OF,Chick Stahl,1903,"A,Boston,Americans"
stahj101,Stahl,Jake,R,R,BOS,C,Jake Stahl,1903,"A,Boston,Americans"
stong101,Stone,George,L,L,BOS,PH,George Stone,1903,"A,Boston,Americans"
wintg101,Winter,George,R,R,BOS,P,George Winter,1903,"A,Boston,Americans"
younc102,Young,Cy,R,R,BOS,P,Cy Young,1903,"A,Boston,Americans"
beckj103,Beckley,Jake,L,L,CIN,1B,Jake Beckley,1903,"N,Cincinnati,Reds"
bergb102,Bergen,Bill,R,R,CIN,C,Bill Bergen,1903,"N,Cincinnati,Reds"
corct101,Corcoran,Tommy,R,R,CIN,SS,Tommy Corcoran,1903,"N,Cincinnati,Reds"
cregp101,Cregan,Pete,R,R,CIN,OF,Pete Cregan,1903,"N,Cincinnati,Reds"
dalyt101,Daly,Tom,B,R,CIN,2B,Tom Daly,1903,"N,Cincinnati,Reds"
dearc101,DeArmond,Charlie,R,R,CIN,3B,Charlie DeArmond,1903,"N,Cincinnati,Reds"
deisp101,Deisel,Pat,R,R,CIN,C,Pat Deisel,1903,"N,Cincinnati,Reds"
dolac101,Dolan,Cozy,L,L,CIN,OF,Cozy Dolan,1903,"N,Cincinnati,Reds"
donlm101,Donlin,Mike,L,L,CIN,OF,Mike Donlin,1903,"N,Cincinnati,Reds"
ewinb102,Ewing,Bob,R,R,CIN,P,Bob Ewing,1903,"N,Cincinnati,Reds"
fohll101,Fohl,Lee,L,R,CIN,C,Lee Fohl,1903,"N,Cincinnati,Reds"
habee101,Haberer,Emil,R,R,CIN,C,Emil Haberer,1903,"N,Cincinnati,Reds"
hahnn101,Hahn,Noodles,L,L,CIN,P,Noodles Hahn,1903,"N,Cincinnati,Reds"
harpj102,Harper,Jack,R,R,CIN,P,Jack Harper,1903,"N,Cincinnati,Reds"
hookb101,Hooker,Buck,?,R,CIN,P,Buck Hooker,1903,"N,Cincinnati,Reds"
kellj106,Kelley,Joe,R,R,CIN,OF,Joe Kelley,1903,"N,Cincinnati,Reds"
kerwd101,Kerwin,Dan,L,L,CIN,OF,Dan Kerwin,1903,"N,Cincinnati,Reds"
magog101,Magoon,George,R,R,CIN,2B,George Magoon,1903,"N,Cincinnati,Reds"
morrj104,Morrissey,Jack,B,R,CIN,2B,Jack Morrissey,1903,"N,Cincinnati,Reds"
peith101,Peitz,Heinie,R,R,CIN,C,Heinie Peitz,1903,"N,Cincinnati,Reds"
philb101,Phillips,Bill,R,R,CIN,P,Bill Phillips,1903,"N,Cincinnati,Reds"
poole101,Poole,Ed,R,R,CIN,P,Ed Poole,1903,"N,Cincinnati,Reds"
reagr101,Ragan,Rip,R,R,CIN,P,Rip Ragan,1903,"N,Cincinnati,Reds"
seymc101,Seymour,Cy,L,L,CIN,OF,Cy Seymour,1903,"N,Cincinnati,Reds"
steih101,Steinfeldt,Harry,R,R,CIN,3B,Harry Steinfeldt,1903,"N,Cincinnati,Reds"
suttj102,Sutthoff,Jack,L,R,CIN,P,Jack Sutthoff,1903,"N,Cincinnati,Reds"
wiggj101,Wiggs,Jimmy,B,L,CIN,P,Jimmy Wiggs,1903,"N,Cincinnati,Reds"
woodh102,Wood,Harry,L,R,CIN,OF,Harry Wood,1903,"N,Cincinnati,Reds"
cased101,Casey,Doc,B,R,CHN,3B,Doc Casey,1903,"N,Chicago,Cubs"
chanf101,Chance,Frank,R,R,CHN,1B,Frank Chance,1903,"N,Chicago,Cubs"
cookj101,Cook,Jim,R,R,CHN,OF,Jim Cook,1903,"N,Chicago,Cubs"
currc101,Currie,Clarence,R,R,CHN,P,Clarence Currie,1903,"N,Chicago,Cubs"
dobbj101,Dobbs,John,L,R,CHN,OF,John Dobbs,1903,"N,Chicago,Cubs"
doscj101,Doscher,Jack,L,L,CHN,P,Jack Doscher,1903,"N,Chicago,Cubs"
everj102,Evers,Johnny,L,R,CHN,2B,Johnny Evers,1903,"N,Chicago,Cubs"
grahp101,Graham,Peaches,R,R,CHN,P,Peaches Graham,1903,"N,Chicago,Cubs"
hanlb101,Hanlon,Bill,R,?,CHN,1B,Bill Hanlon,1903,"N,Chicago,Cubs"
harda101,Hardy,Alex,R,L,CHN,P,Alex Hardy,1903,"N,Chicago,Cubs"
harld101,Harley,Dick,L,R,CHN,OF,Dick Harley,1903,"N,Chicago,Cubs"
joned104,Jones,Davy,L,R,CHN,OF,Davy Jones,1903,"N,Chicago,Cubs"
klinj101,Kling,Johnny,R,R,CHN,C,Johnny Kling,1903,"N,Chicago,Cubs"
loweb101,Lowe,Bobby,R,R,CHN,2B,Bobby Lowe,1903,"N,Chicago,Cubs"
lundc101,Lundgren,Carl,R,R,CHN,P,Carl Lundgren,1903,"N,Chicago,Cubs"
mccaj105,McCarthy,Jack,L,L,CHN,OF,Jack McCarthy,1903,"N,Chicago,Cubs"
mclel101,McLean,Larry,R,R,CHN,C,Larry McLean,1903,"N,Chicago,Cubs"
menej101,Menefee,Jock,R,R,CHN,P,Jock Menefee,1903,"N,Chicago,Cubs"
morig101,Moriarty,George,R,R,CHN,3B,George Moriarty,1903,"N,Chicago,Cubs"
raubt101,Raub,Tommy,R,R,CHN,C,Tommy Raub,1903,"N,Chicago,Cubs"
slagj102,Slagle,Jimmy,L,R,CHN,OF,Jimmy Slagle,1903,"N,Chicago,Cubs"
taylj101,Taylor,Jack,R,R,CHN,P,Jack Taylor,1903,"N,Chicago,Cubs"
tinkj101,Tinker,Joe,R,R,CHN,SS,Joe Tinker,1903,"N,Chicago,Cubs"
weimj101,Weimer,Jake,R,L,CHN,P,Jake Weimer,1903,"N,Chicago,Cubs"
wickb101,Wicker,Bob,R,R,CHN,P,Bob Wicker,1903,"N,Chicago,Cubs"
willo101,Williams,Otto,R,R,CHN,SS,Otto Williams,1903,"N,Chicago,Cubs"
willp101,Williams,Pop,L,L,CHN,P,Pop Williams,1903,"N,Chicago,Cubs"
barcg101,Barclay,George,R,R,SLN,OF,George Barclay,1903,"N,St.Louis,Cardinals"
