game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save
SEA200604030,ANA,SEA,SEA03,2006/04/03,0,2:09PM,day,true,relic901,vanol901,gibsg901,nauep901,park,pitches,radoe701,53,torf,15,dry,none,dome,188,45515,shies002,sherg001,rodrf003
SEA200604040,ANA,SEA,SEA03,2006/04/04,0,7:07PM,night,true,vanol901,gibsg901,nauep901,relic901,park,pitches,radoe701,54,fromlf,11,unknown,unknown,cloudy,181,20051,pinej001,lackj001,
SEA200604050,ANA,SEA,SEA03,2006/04/05,0,3:36PM,day,true,gibsg901,nauep901,relic901,vanol901,park,pitches,padud701,60,tocf,6,unknown,unknown,unknown,162,21394,washj001,weavj002,sherg001
SEA200604060,OAK,SEA,SEA03,2006/04/06,0,7:08PM,night,true,mealj901,fleta901,reilm901,kellj901,park,pitches,padud701,57,ltor,3,unknown,unknown,sunny,168,22701,mechg001,loaie001,putzj001
SEA200604070,OAK,SEA,SEA03,2006/04/07,0,7:06PM,night,true,fleta901,reilm901,kellj901,mealj901,park,pitches,radoe701,57,fromlf,12,unknown,unknown,unknown,156,30612,blanj001,hernf002,
SEA200604080,OAK,SEA,SEA03,2006/04/08,0,6:14PM,night,true,reilm901,kellj901,mealj901,fleta901,park,pitches,radoe701,52,tolf,3,dry,none,dome,153,37904,zitob001,moyej001,streh001
SEA200604090,OAK,SEA,SEA03,2006/04/09,0,1:07PM,day,true,kellj901,mealj901,fleta901,reilm901,park,pitches,peted701,53,fromlf,4,unknown,unknown,unknown,157,27139,hardr001,pinej001,streh001
SEA200604180,TEX,SEA,SEA03,2006/04/18,0,7:09PM,night,true,joycj901,eddid901,davib902,barkl901,park,pitches,radoe701,58,fromlf,2,unknown,unknown,cloudy,181,17927,koroj001,hernf002,cordf002
SEA200604190,TEX,SEA,SEA03,2006/04/19,0,7:07PM,night,true,eddid901,davib902,barkl901,joycj901,park,pitches,radoe701,60,tocf,3,unknown,unknown,unknown,174,17613,putzj001,cordf002,
SEA200604200,TEX,SEA,SEA03,2006/04/20,0,7:07PM,night,true,davib902,barkl901,joycj901,eddid901,park,pitches,peted701,55,fromlf,3,unknown,unknown,unknown,186,17917,bauer001,guare001,cordf002
SEA200604210,DET,SEA,SEA03,2006/04/21,0,7:07PM,night,true,wegnm901,dowda901,monte901,laynj901,park,pitches,peted701,53,fromcf,6,unknown,unknown,cloudy,153,35237,marom001,washj001,jonet003
SEA200604220,DET,SEA,SEA03,2006/04/22,0,6:06PM,night,true,dowda901,monte901,laynj901,wegnm901,park,pitches,radoe701,57,fromlf,12,unknown,unknown,sunny,154,27893,roben001,mechg001,rodnf001
