Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Shane Bieber,25,CLE,AL,3.2,8,1,.889,1.63,12,12,0,0,0,0,77.1,46,15,14,7,21,0,122,1,0,5,297,273,2.07,0.866,5.4,0.8,2.4,14.2,5.81,CYA-1MVP-4,biebesh01
2,Trevor Bauer,29,CIN,NL,3.0,5,4,.556,1.73,11,11,0,2,2,0,73.0,41,17,14,9,17,1,100,3,0,3,278,284,2.88,0.795,5.1,1.1,2.1,12.3,5.88,CYA-1MVP-10,bauertr01
3,Dallas Keuchel,32,CHW,AL,2.1,6,2,.750,1.99,11,11,0,0,0,0,63.1,52,15,14,2,17,0,42,0,0,0,257,224,3.08,1.089,7.4,0.3,2.4,6.0,2.47,CYA-5MVP-17,keuchda01
4,Yu Darvish,33,CHC,NL,2.8,8,3,.727,2.01,12,12,0,0,0,0,76.0,59,18,17,5,14,1,93,2,0,3,297,224,2.23,0.961,7.0,0.6,1.7,11.0,6.64,CYA-2MVP-14,darviyu01
5,Dinelson Lamet,27,SDP,NL,2.3,3,1,.750,2.09,12,12,0,0,0,0,69.0,39,18,16,5,20,0,93,4,0,1,267,201,2.48,0.855,5.1,0.7,2.6,12.1,4.65,CYA-4,lametdi01
6,Chris Bassitt,31,OAK,AL,2.1,5,2,.714,2.29,11,11,0,0,0,0,63.0,56,18,16,6,17,0,55,2,0,2,261,183,3.59,1.159,8.0,0.9,2.4,7.9,3.24,CYA-8,bassich01
7,Jacob deGrom,32,NYM,NL,2.6,4,2,.667,2.38,12,12,0,0,0,0,68.0,47,21,18,7,18,0,104,0,0,4,268,180,2.26,0.956,6.2,0.9,2.4,13.8,5.78,CYA-3,degroja01
8,Hyun Jin Ryu,33,TOR,AL,2.9,5,2,.714,2.69,12,12,0,0,0,0,67.0,60,22,20,6,17,0,72,1,0,1,275,164,3.01,1.149,8.1,0.8,2.3,9.7,4.24,CYA-3MVP-13,ryuhy01
9,Kenta Maeda,32,MIN,AL,1.6,6,1,.857,2.70,11,11,0,0,0,0,66.2,40,20,20,9,10,0,80,0,0,0,248,160,3.00,0.750,5.4,1.2,1.4,10.8,8.00,CYA-2,maedake01
10,Zach Davies,27,SDP,NL,1.7,7,4,.636,2.73,12,12,0,0,0,0,69.1,55,26,21,9,19,0,63,0,0,2,276,154,3.88,1.067,7.1,1.2,2.5,8.2,3.32,,davieza02
11,Zac Gallen,24,ARI,NL,2.5,3,2,.600,2.75,12,12,0,0,0,0,72.0,55,24,22,9,25,0,82,2,0,4,291,164,3.66,1.111,6.9,1.1,3.1,10.3,3.28,CYA-9,galleza01
12,Gerrit Cole,29,NYY,AL,2.2,7,3,.700,2.84,12,12,0,2,1,0,73.0,53,27,23,14,17,0,94,2,0,2,288,151,3.89,0.959,6.5,1.7,2.1,11.6,5.53,CYA-4,colege01
13,Kyle Hendricks,30,CHC,NL,2.0,6,5,.545,2.88,12,12,0,1,1,0,81.1,73,26,26,10,8,1,64,1,0,1,315,156,3.55,0.996,8.1,1.1,0.9,7.1,8.00,CYA-9,hendrky01
14,Carlos Carrasco,33,CLE,AL,1.5,3,4,.429,2.91,12,12,0,0,0,0,68.0,55,22,22,8,27,0,82,2,0,6,280,153,3.59,1.206,7.3,1.1,3.6,10.9,3.04,,carraca01
15,Zack Wheeler,30,PHI,NL,2.8,4,2,.667,2.92,11,11,0,0,0,0,71.0,67,26,23,3,16,2,53,7,0,0,288,154,3.22,1.169,8.5,0.4,2.0,6.7,3.31,CYA-12,wheelza01
16,Brandon Woodruff,27,MIL,NL,2.1,3,5,.375,3.05,13,13,0,1,0,0,73.2,55,26,25,9,18,0,91,4,0,1,293,149,3.20,0.991,6.7,1.1,2.2,11.1,5.06,,woodrbr01
17,Marco Gonzales,28,SEA,AL,1.5,7,2,.778,3.10,11,11,0,1,0,0,69.2,59,27,24,8,7,0,64,4,0,0,277,138,3.32,0.947,7.6,1.0,0.9,8.3,9.14,,gonzama02
18,Adam Wainwright,38,STL,NL,0.5,5,3,.625,3.15,10,10,0,2,0,0,65.2,54,25,23,9,15,0,54,2,0,0,262,133,4.10,1.051,7.4,1.2,2.1,7.4,3.60,,wainwad01
19,Luis Castillo,27,CIN,NL,1.1,4,6,.400,3.21,12,12,0,1,0,0,70.0,62,31,25,5,24,0,89,1,0,1,292,153,2.65,1.229,8.0,0.6,3.1,11.4,3.71,,castilu02
20,Aaron Nola,27,PHI,NL,2.2,5,5,.500,3.28,12,12,0,2,1,0,71.1,54,31,26,9,23,2,96,2,0,1,289,137,3.19,1.079,6.8,1.1,2.9,12.1,4.17,CYA-7,nolaaa01
21,Dylan Bundy,27,LAA,AL,1.7,6,3,.667,3.29,11,11,0,1,0,0,65.2,51,27,24,5,17,1,72,4,0,2,267,138,2.95,1.036,7.0,0.7,2.3,9.9,4.24,CYA-9,bundydy01
22,Lance Lynn,33,TEX,AL,2.2,6,3,.667,3.32,13,13,0,1,0,0,84.0,64,34,31,13,25,0,89,6,0,2,344,135,4.19,1.060,6.9,1.4,2.7,9.5,3.56,CYA-6,lynnla01
23,Antonio Senzatela,25,COL,NL,2.5,5,3,.625,3.44,12,12,0,1,0,0,73.1,71,29,28,9,18,0,41,4,0,0,303,151,4.57,1.214,8.7,1.1,2.2,5.0,2.28,,senzaan01
24,Lucas Giolito,25,CHW,AL,0.8,4,3,.571,3.48,12,12,0,1,1,0,72.1,47,31,28,8,28,0,97,2,0,3,288,128,3.19,1.037,5.8,1.0,3.5,12.1,3.46,CYA-7,giolilu01
25,Framber Valdez,26,HOU,AL,1.2,5,3,.625,3.57,11,10,0,0,0,0,70.2,63,32,28,5,16,0,76,5,1,6,288,125,2.85,1.118,8.0,0.6,2.0,9.7,4.75,CYA-11,valdefr01
26,Max Scherzer,35,WSN,NL,2.2,5,4,.556,3.74,12,12,0,1,0,0,67.1,70,30,28,10,23,1,92,1,0,6,295,119,3.46,1.381,9.4,1.3,3.1,12.3,4.00,,scherma01
27,Germán Márquez,25,COL,NL,1.4,4,6,.400,3.75,13,13,0,0,0,0,81.2,78,41,34,6,25,0,73,0,0,4,344,138,3.28,1.261,8.6,0.7,2.8,8.0,2.92,,marquge01
28,José Berríos,26,MIN,AL,0.7,5,4,.556,4.00,12,12,0,0,0,0,63.0,57,28,28,8,26,0,68,3,0,5,271,108,4.06,1.317,8.1,1.1,3.7,9.7,2.62,,berrijo01
29,Zack Greinke,36,HOU,AL,1.1,3,3,.500,4.03,12,12,0,0,0,0,67.0,67,30,30,6,9,0,67,1,0,3,273,110,2.80,1.134,9.0,0.8,1.2,9.0,7.44,,greinza01
30,Brady Singer,23,KCR,AL,1.1,4,5,.444,4.06,12,12,0,0,0,0,64.1,52,29,29,8,23,0,61,2,1,5,263,115,4.08,1.166,7.3,1.1,3.2,8.5,2.65,ROY-8,singebr01
31,Kyle Freeland,27,COL,NL,1.9,2,3,.400,4.33,13,13,0,0,0,0,70.2,77,34,34,9,23,0,46,3,0,0,304,120,4.65,1.415,9.8,1.1,2.9,5.9,2.00,,freelky01
,League Average,,,,,,,.500,4.45,,,,,,,,,,,,,,,,,,,100,4.45,1.327,8.4,1.3,3.5,9.1,2.56,,-9999
32,Andrew Heaney,29,LAA,AL,1.2,4,3,.571,4.46,12,12,0,0,0,0,66.2,63,35,33,9,19,1,70,2,0,2,279,102,3.79,1.230,8.5,1.2,2.6,9.5,3.68,,heanean01
33,Alec Mills,28,CHC,NL,0.2,5,5,.500,4.48,11,11,0,1,1,0,62.1,53,31,31,13,19,0,46,2,1,0,252,101,5.44,1.155,7.7,1.9,2.7,6.6,2.42,,millsal02
34,Martín Pérez,29,BOS,AL,1.2,3,5,.375,4.50,12,12,0,0,0,0,62.0,55,33,31,8,28,0,46,3,0,2,262,107,4.88,1.339,8.0,1.2,4.1,6.7,1.64,,perezma02
35,Patrick Corbin,30,WSN,NL,1.7,2,7,.222,4.66,11,11,0,0,0,0,65.2,85,35,34,10,18,1,60,0,1,1,295,96,4.17,1.569,11.6,1.4,2.5,8.2,3.33,,corbipa01
36,Aaron Civale,25,CLE,AL,0.2,4,6,.400,4.74,12,12,0,1,0,0,74.0,82,39,39,11,16,0,69,3,1,0,312,94,4.03,1.324,10.0,1.3,1.9,8.4,4.31,,civalaa01
37,Jon Lester,36,CHC,NL,-0.2,3,3,.500,5.16,12,12,0,0,0,0,61.0,64,35,35,11,17,0,42,3,0,2,265,87,5.14,1.328,9.4,1.6,2.5,6.2,2.47,,lestejo01
38,Kyle Gibson,32,TEX,AL,-0.1,2,6,.250,5.35,12,12,0,1,1,0,67.1,73,44,40,12,30,1,58,6,0,1,301,84,5.39,1.530,9.8,1.6,4.0,7.8,1.93,,gibsoky01
39,Johnny Cueto,34,SFG,NL,0.1,2,3,.400,5.40,12,12,0,0,0,0,63.1,61,41,38,9,26,0,56,3,2,1,277,79,4.64,1.374,8.7,1.3,3.7,8.0,2.15,,cuetojo01
40,Matthew Boyd,29,DET,AL,-0.6,3,7,.300,6.71,12,12,0,1,0,0,60.1,67,46,45,15,22,0,60,5,0,5,271,68,5.78,1.475,10.0,2.2,3.3,9.0,2.73,,boydma01
