rank,team,curr_year,last_3,last_1,home,away,prev_year
1,NYN,0.348,0.313,0.35,0.333,0.361,0.328
2,ATL,0.343,0.267,0.265,0.362,0.329,0.335
3,NYA,0.343,0.282,0.212,0.365,0.324,0.338
4,PHI,0.342,0.28,0.212,0.347,0.336,0.319
5,LAN,0.341,0.33,0.226,0.346,0.338,0.337
6,WAS,0.336,0.425,0.489,0.322,0.349,0.339
7,SFN,0.335,0.275,0.297,0.354,0.311,0.302
8,SDN,0.332,0.264,0.27,0.344,0.32,0.308
9,ANA,0.332,0.284,0.194,0.356,0.308,0.324
10,BOS,0.33,0.356,0.426,0.342,0.318,0.34
11,CHA,0.325,0.319,0.372,0.333,0.318,0.314
12,SLN,0.324,0.341,0.222,0.341,0.311,0.319
13,TOR,0.322,0.243,0.229,0.345,0.305,0.305
14,BAL,0.322,0.295,0.35,0.318,0.326,0.31
15,OAK,0.32,0.342,0.35,0.321,0.319,0.327
16,HOU,0.319,0.351,0.278,0.321,0.318,0.348
17,TBA,0.319,0.299,0.206,0.331,0.311,0.324
18,CLE,0.318,0.359,0.409,0.32,0.315,0.323
19,CHN,0.316,0.298,0.278,0.31,0.323,0.331
20,MIA,0.315,0.224,0.229,0.313,0.316,0.298
21,MIN,0.313,0.243,0.235,0.312,0.314,0.337
22,ARI,0.312,0.415,0.5,0.341,0.284,0.323
23,COL,0.311,0.312,0.2,0.322,0.3,0.326
24,MIL,0.311,0.248,0.161,0.309,0.312,0.329
25,KCA,0.309,0.284,0.226,0.327,0.291,0.309
26,SEA,0.309,0.317,0.2,0.295,0.317,0.316
27,CIN,0.309,0.258,0.129,0.325,0.294,0.315
28,DET,0.303,0.253,0.133,0.306,0.301,0.294
29,TEX,0.285,0.359,0.45,0.307,0.263,0.319
30,PIT,0.284,0.316,0.325,0.299,0.266,0.321
