game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gametype,umplf,umprf
OAK200803250,BOS,OAK,TOK01,2008/03/25,0,7:10PM,night,true,reedr901,wendh902,timmt901,nauep901,park,pitches,feldd701,68,unknown,0,unknown,unknown,unknown,219,44628,okajh001,streh001,papej001,,,
OAK200803260,BOS,OAK,TOK01,2008/03/26,0,7:09PM,night,true,wendh902,timmt901,nauep901,reedr901,park,pitches,feldd701,68,unknown,0,unknown,unknown,unknown,171,44735,hardr001,lestj001,,,,
OAK200804010,BOS,OAK,OAK01,2008/04/01,0,7:09PM,night,true,bellw901,schrp901,drakr901,knigb901,park,pitches,dybdc701,56,torf,12,unknown,unknown,sunny,159,36067,matsd001,blanj001,papej001,,,
OAK200804020,BOS,OAK,OAK01,2008/04/02,0,12:37PM,day,true,schrp901,drakr901,knigb901,bellw901,park,pitches,feldd701,55,tocf,3,unknown,unknown,overcast,180,21625,lestj001,embra001,,,,
OAK200804040,CLE,OAK,OAK01,2008/04/04,0,7:08PM,night,true,timmt901,cedeg901,culbf901,reynj901,park,pitches,dybdc701,53,torf,19,unknown,unknown,cloudy,169,13916,duchj001,byrdp001,,,,
OAK200804050,CLE,OAK,OAK01,2008/04/05,0,1:06PM,day,true,cedeg901,culbf901,reynj901,timmt901,park,pitches,feldd701,56,torf,10,unknown,unknown,cloudy,176,16279,eveld001,sabac001,,,,
OAK200804060,CLE,OAK,OAK01,2008/04/06,0,1:07PM,day,true,culbf901,reynj901,timmt901,cedeg901,park,pitches,bushd701,53,torf,14,unknown,unknown,cloudy,157,16384,lee-c003,blanj001,boroj001,,,
OAK200804160,SEA,OAK,OAK01,2008/04/16,0,7:08PM,night,true,hicke901,buckc901,westj901,rapue901,park,pitches,bushd701,63,torf,11,unknown,unknown,sunny,129,21126,hernf002,blanj001,,,,
OAK200804170,SEA,OAK,OAK01,2008/04/17,0,7:08PM,night,true,buckc901,westj901,rapue901,hicke901,park,pitches,bushd701,71,ltor,13,unknown,unknown,sunny,142,10164,silvc001,dinal001,,,,
OAK200804180,KCA,OAK,OAK01,2008/04/18,0,7:07PM,night,true,timmt901,cedeg901,culbf901,reynj901,park,pitches,bushd701,52,torf,14,unknown,unknown,cloudy,158,12528,gaudc001,bannb001,,,,
OAK200804190,KCA,OAK,OAK01,2008/04/19,0,1:07PM,day,true,cedeg901,culbf901,reynj901,timmt901,park,pitches,feldd701,57,tolf,14,unknown,unknown,sunny,196,20390,devij001,peraj002,streh001,,,
OAK200804200,KCA,OAK,OAK01,2008/04/20,0,1:07PM,day,true,culbf901,reynj901,timmt901,cedeg901,park,pitches,feldd701,58,tolf,10,unknown,unknown,sunny,171,18645,eveld001,hochl001,,,,
OAK200804220,MIN,OAK,OAK01,2008/04/22,0,7:07PM,night,true,welkt901,meric901,welkb901,guccc901,park,pitches,feldd701,55,tocf,15,unknown,unknown,overcast,164,10267,rincj001,blanj001,nathj001,,,
