game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,scorer,oscorer
NYA195605280,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/05/28,NYC16,0,0:00PM,night,false,berrc103,honoj901,nappl901,umonf901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/14 6:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,109,35454,fordw101,sullf101,,berry101,,
NYA195605290,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/05/29,NYC16,0,0:00PM,day,false,honoj901,nappl901,umonf901,berrc103,"""Luke Kraemer""","""Luke Kraemer""",1994/07/14 6:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,139,10708,nixow101,larsd102,,vernm101,,
NYA195605301,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/05/30,NYC16,1,0:00PM,day,false,summb901,mckib901,flahr901,ricej901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/14 6:47PM,park,none,0,unknown,-1,unknown,unknown,unknown,156,0,kuckj101,ramop101,morgt101,,,
NYA195605302,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/05/30,NYC16,2,0:00PM,day,false,mckib901,flahr901,ricej901,summb901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/14 6:55PM,park,none,0,unknown,-1,unknown,unknown,unknown,190,29825,turlb101,pascc102,sturt101,,,
NYA195605310,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/05/31,NYC16,0,0:00PM,day,false,flahr901,ricej901,summb901,mckib901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/14 7:11PM,park,none,0,unknown,-1,unknown,unknown,unknown,163,5558,morgt101,stobc101,,carea101,,
NYA195606010,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/06/01,NYC16,0,0:00PM,night,false,runge901,romme101,tabaf901,stevj901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 2:20PM,park,none,0,unknown,-1,unknown,unknown,unknown,152,21763,laryf101,byrnt101,,tuttb101,,
NYA195606031,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/06/03,NYC16,1,0:00PM,day,false,romme101,tabaf901,stevj901,runge901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 2:28PM,park,none,0,unknown,-1,unknown,unknown,unknown,188,0,hoefb101,fordw101,,philj101,,
NYA195606032,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/06/03,NYC16,2,0:00PM,day,false,tabaf901,stevj901,runge901,romme101,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 2:35PM,park,none,0,unknown,-1,unknown,unknown,unknown,164,40911,abera101,morgt101,,tuttb101,,
NYA195606050,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/06/05,NYC16,0,0:00PM,night,false,stevj901,runge901,romme101,tabaf901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 2:44PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,15053,kretl101,kuckj101,shanb102,,,
NYA195606060,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/06/06,NYC16,0,0:00PM,day,false,runge901,romme101,tabaf901,stevj901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 2:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,161,8044,grimb102,lasot101,byrnt101,,,
NYA195606070,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/06/07,NYC16,0,0:00PM,day,false,romme101,tabaf901,stevj901,runge901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 6:25PM,park,none,0,unknown,-1,unknown,unknown,unknown,162,8001,turlb101,kella103,,berry101,,
NYA195606080,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/06/08,NYC16,0,0:00PM,night,false,umonf901,berrc103,honoj901,nappl901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 6:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,177,50812,wynne101,fordw101,,rosea101,,
NYA195606090,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/06/09,NYC16,0,0:00PM,day,false,berrc103,honoj901,nappl901,umonf901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 6:43PM,park,none,0,unknown,-1,unknown,unknown,unknown,227,31419,daleb102,morgt101,narlr101,,,
NYA195606100,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/06/10,NYC16,0,0:00PM,day,false,honoj901,nappl901,umonf901,berrc103,"""Luke Kraemer""","""Luke Kraemer""",1994/07/16 6:50PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,47465,kuckj101,lemob101,,collj101,,
NYA195606120,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/06/12,NYC16,0,8:23PM,night,false,nappl901,umonf901,berrc103,honoj901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/16 5:59PM,unknown,none,84,unknown,-1,unknown,unknown,unknown,131,34662,fordw101,donod101,,,"""CHA/NYA""",
NYA195606130,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/06/13,NYC16,0,0:00PM,day,false,umonf901,berrc103,honoj901,nappl901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/16 6:18PM,unknown,none,91,unknown,-1,unknown,none,unknown,195,11822,pollh101,coler101,howed101,,"""CHA/NYA""",
NYA195606140,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/06/14,NYC16,0,0:00PM,day,false,berrc103,honoj901,nappl901,umonf901,"""Wayne Townsend,D Lamoureaux""","""Wayne Townsend,D Lamoureaux""",2003/03/16 6:30PM,unknown,pitches,95,unknown,-1,unknown,none,sunny,139,9315,grimb102,wilsj104,,,"""CHA/NYA,602""",
NYA195606290,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/06/29,NYC16,0,0:00PM,night,false,chyln901,soarh901,papaj901,hurle901,"""Luke Kraemer""","""Luke Kraemer""",2003/01/31 5:18PM,park,none,74,unknown,-1,unknown,unknown,unknown,147,20528,grimb102,ramop101,coler101,baueh101,"""NYA & WS1""",
NYA195606300,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/06/30,NYC16,0,0:00PM,day,false,soarh901,papaj901,hurle901,chyln901,"""Luke Kraemer""","""Luke Kraemer""",2003/01/31 6:12PM,park,none,83,unknown,-1,unknown,unknown,unknown,151,13535,stobc101,kuckj101,,sievr101,"""NYA & WS1""",
NYA195607011,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/07/01,NYC16,1,0:00PM,day,false,papaj901,hurle901,chyln901,soarh901,"""Luke Kraemer""","""Luke Kraemer""",2003/01/31 7:41PM,park,none,83,unknown,-1,unknown,unknown,unknown,171,0,morgt101,pascc102,,collj101,"""NYA & WS1""",
NYA195607012,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/07/01,NYC16,2,0:00PM,day,false,hurle901,chyln901,soarh901,papaj901,"""Luke Kraemer""","""Luke Kraemer""",2003/01/31 10:14PM,park,none,82,unknown,-1,unknown,unknown,unknown,180,25702,sturt101,byerb103,,mantm101,"""NYA & WS1""",
NYA195607030,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/07/03,NYC16,0,0:00PM,day,false,romme101,tabaf901,stevj901,runge901,"""Luke Kraemer""","""Luke Kraemer""",1998/01/03 8:55PM,park,none,0,unknown,-1,unknown,unknown,unknown,259,11608,sturt101,zuveg101,,,,
NYA195607120,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/07/12,NYC16,0,0:00PM,day,false,hurle901,chyln901,soarh901,papaj901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/23 3:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,193,24329,kuckj101,lemob101,morgt101,,"""CLE/NYA""",
NYA195607130,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/07/13,NYC16,0,0:00PM,night,false,chyln901,soarh901,papaj901,hurle901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/23 6:09PM,unknown,none,78,unknown,-1,unknown,rain,unknown,145,40664,sturt101,wynne101,,,"""CLE/NYA""",
NYA195607140,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/07/14,NYC16,0,0:00PM,day,false,soarh901,papaj901,hurle901,chyln901,"""Luke Kraemer""","""Luke Kraemer""",2001/06/06 8:40AM,park,none,80,unknown,-1,unknown,unknown,overcast,211,27358,byrnt101,mossd101,,martb105,"""NYA""",
NYA195607151,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/07/15,NYC16,1,0:00PM,day,false,papaj901,hurle901,chyln901,soarh901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/23 6:18PM,unknown,none,85,unknown,-1,unknown,unknown,unknown,127,0,fordw101,pierb101,,,"""CHA/NYA""",
NYA195607152,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/07/15,NYC16,2,0:00PM,day,false,hurle901,chyln901,soarh901,papaj901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/23 6:27PM,unknown,none,86,unknown,-1,unknown,unknown,unknown,215,61351,kuckj101,wilsj104,,,"""CHA/NYA""",
NYA195607170,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/07/17,NYC16,0,0:00PM,night,false,summb901,mckib901,flahr901,ricej901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/30 6:33PM,unknown,none,80,unknown,-1,unknown,unknown,unknown,136,26266,kuckj101,hoefb101,,,"""DET/NYA""",
NYA195607181,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/07/18,NYC16,1,0:00PM,day,false,mckib901,flahr901,ricej901,summb901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/30 6:39PM,unknown,none,78,unknown,-1,unknown,unknown,unknown,160,0,foytp101,sturt101,,,"""DET/NYA""",
NYA195607182,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/07/18,NYC16,2,0:00PM,day,false,flahr901,ricej901,summb901,mckib901,"""D Lamoureaux""","""D Lamouraeux""",2003/03/30 6:45PM,unknown,none,79,unknown,-1,unknown,unknown,unknown,155,23169,laryf101,mcdem102,,,"""DET/NYA""",
NYA195607190,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/07/19,NYC16,0,0:00PM,day,false,ricej901,summb901,mckib901,flahr901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/30 6:55PM,unknown,none,82,unknown,-1,unknown,unknown,overcast,172,11099,byrnt101,maasd101,morgt101,,"""DET/NYA""",
NYA195607200,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/07/20,NYC16,0,0:00PM,night,false,summb901,mckib901,flahr901,ricej901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/31 3:59PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,16103,fordw101,mcmaj102,,,"""NYA""",
NYA195607221,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/07/22,NYC16,1,0:00PM,day,false,mckib901,flahr901,ricej901,summb901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/31 5:22PM,unknown,none,81,unknown,-1,unknown,unknown,unknown,180,0,ditma101,kuckj101,,,"""NYA""",
NYA195607222,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/07/22,NYC16,2,0:00PM,day,false,flahr901,ricej901,summb901,mckib901,"""D Lamoureaux""","""D Lamoureaux""",2003/03/31 5:31PM,unknown,none,82,unknown,-1,unknown,unknown,unknown,160,26923,coler101,gormt102,morgt101,,"""NYA""",
NYA195608100,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/08/10,NYC16,0,0:00PM,night,false,honoj901,nappl901,umonf901,berrc103,"""Luke Kraemer""","""Luke Kraemer""",1998/01/03 9:02PM,park,none,0,unknown,-1,unknown,unknown,unknown,165,18868,sturt101,loesb101,,,,
