game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
PHA192205200,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/05/20,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/28 7:23PM,dinnb101,walse101,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,103,25000,harrs101,ehmkh101,,,,
PHA192205220,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/05/22,PHI11,0,0:00PM,day,false,"""56,266,349""","""Jim Herdman""","""Jim Herdman""",2022/04/18 1:34PM,dinnb101,walse101,(none),evanb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,10000,,,,,,
PHA192205230,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/05/23,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/29 3:40PM,walse101,dinnb101,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,145,0,olseo101,harrs101,daush101,,,
PHA192205240,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/05/24,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/29 7:49PM,evanb901,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,130,0,ehmkh101,heimf101,olseo101,,,
PHA192206271,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/06/27,PHI11,1,0:00,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/30 1:13PM,dinnb101,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,98,0,romme101,pennh101,,,,
PHA192206272,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/06/27,PHI11,2,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/30 4:05PM,dinnb101,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,4000,romme101,ferga101,,,,
PHA192206280,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/06/28,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/30 7:51PM,dinnb101,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,118,0,karrb101,hastb101,,,,
PHA192206290,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/06/29,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/01 1:21PM,hildg101,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,108,0,naylr101,collr104,,,,
PHA192206300,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/06/30,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/01 3:33PM,dinnb101,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,111,0,pierb103,moorr102,,,,
PHA192207011,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/07/01,PHI11,1,0:00PM,day,false,"""98,137,266""","""DWV,Wayne Townsend""","""DWV,Wayne Townsend""",1997/12/18 12:23PM,dinnb101,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,overcast,90,0,bushj102,romme101,,,,
PHA192207012,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/07/01,PHI11,2,0:00PM,day,false,"""98,137,266""","""DWV,Wayne Townsend""","""DWV,Wayne Townsend""",1997/12/18 1:49PM,hildg101,dinnb101,(none),(none),park,none,0,unknown,-1,soaked,unknown,unknown,117,22000,shawb102,heimf101,,,,
PHA192207030,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/07/03,PHI11,0,0:00PM,day,false,"""98,137,266""","""DWV,Wayne Townsend""","""DWV,Wayne Townsend""",1997/12/18 4:06PM,hildg101,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,100,13000,maysc101,sullj108,,,,
PHA192207041,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/07/04,PHI11,1,0:00,day,false,"""451,137""","""Cliff Blau""","""Cliff Blau""",2014/10/02 1:14PM,hildg101,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,94,5000,hastb101,murrg101,,,,
PHA192207042,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/07/04,PHI11,2,0:00PM,day,false,"""451,137""","""Cliff Blau""","""Cliff Blau""",2014/10/02 3:57PM,dinnb101,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,overcast,104,12000,jones104,naylr101,,,,
PHA192207060,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/07/06,PHI11,0,0:00PM,day,false,"""109""","""D Lamoureaux""","""D Lamoureaux""",2001/02/13 7:26PM,morig101,nalld901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,124,0,schuf102,heimf101,hodgs101,,,
PHA192207070,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/07/07,PHI11,0,0:00PM,day,false,"""109""","""D Lamoureaux""","""D Lamoureaux""",2001/02/13 7:32PM,nalld901,morig101,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,90,0,romme101,blant101,,,,
