year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA,date,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP,away_OBP
2017,HOU201704040,HOU,SEA,0,0,mccul002,iwakh001,4.25,4.35,2017-04-04,1e-06,1e-06,HOU,HOU,0.0,0.0,0.342,0.317
2017,TEX201704040,TEX,CLE,0,1,perem004,carrc003,4.82,3.29,2017-04-04,1e-06,1e-06,TEX,TEX,0.0,1.0,0.347,0.333
2017,TBA201704040,TBA,NYA,0,0,odorj001,sabac001,4.14,3.69,2017-04-04,1e-06,1e-06,TBA,TBA,0.0,0.0,0.322,0.327
2017,LAN201704040,LAN,SDN,0,2,maedk001,richc002,4.22,4.79,2017-04-04,1e-06,1e-06,LAN,LAN,0.0,2.0,0.334,0.293
2017,OAK201704040,OAK,ANA,1,0,dullr001,baila001,5.14,0.0,2017-04-04,1e-06,1e-06,OAK,OAK,1.0,0.0,0.327,0.312
2017,MIL201704040,MIL,COL,0,0,daviz001,andet002,3.9,4.81,2017-04-04,1e-06,1e-06,MIL,MIL,0.0,0.0,0.318,0.313
2017,ARI201704040,ARI,SFN,0,0,corbp001,cuetj001,4.03,4.52,2017-04-04,1e-06,1e-06,ARI,ARI,0.0,0.0,0.35,0.309
2017,SLN201704040,SLN,CHN,0,0,waina001,arrij001,5.11,3.53,2017-04-04,1e-06,1e-06,SLN,SLN,0.0,0.0,0.339,0.324
2017,OAK201704050,OAK,ANA,0,0,cottj001,ramij002,5.58,4.15,2017-04-05,1e-06,1e-06,OAK,OAK,1.0,0.0,0.327,0.312
2017,MIN201704050,MIN,KCA,0,0,santh001,kenni001,5.63,5.38,2017-04-05,1e-06,1e-06,MIN,MIN,0.0,0.0,0.347,0.308
2017,MIL201704050,MIL,COL,0,0,peraw001,chatt001,7.85,4.69,2017-04-05,1e-06,1e-06,MIL,MIL,0.0,0.0,0.318,0.313
