game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP,away_OBP
ARI201803300,2018-03-30,ARI,COL,5,0,3.93,4.38,1e-06,1e-06,ARI,ARI,5.0,0.0,0.321,0.293
TOR201803300,2018-03-30,TOR,NYA,0,0,4.89,3.75,1e-06,1e-06,TOR,TOR,0.0,0.0,0.313,0.315
TEX201803300,2018-03-30,TEX,HOU,0,0,4.5,3.74,1e-06,1e-06,TEX,TEX,0.0,0.0,0.339,0.333
MIA201803300,2018-03-30,MIA,CHN,0,0,6.69,5.62,1e-06,1e-06,MIA,MIA,0.0,0.0,0.303,0.328
ATL201803300,2018-03-30,ATL,PHI,0,0,2.86,6.75,1e-06,1e-06,ATL,ATL,0.0,0.0,0.325,0.312
OAK201803300,2018-03-30,OAK,ANA,0,1,3.59,4.02,1e-06,1e-06,OAK,OAK,0.0,1.0,0.32,0.314
SDN201803300,2018-03-30,SDN,MIL,0,2,2.75,5.29,1e-06,1e-06,SDN,SDN,0.0,2.0,0.303,0.322
LAN201803300,2018-03-30,LAN,SFN,0,0,3.01,2.59,1e-06,1e-06,LAN,LAN,0.0,0.0,0.317,0.292
TBA201803300,2018-03-30,TBA,BOS,0,0,3.58,3.58,1e-06,1e-06,TBA,TBA,0.0,0.0,0.341,0.331
TEX201803310,2018-03-31,TEX,HOU,0,0,6.79,3.86,1e-06,1e-06,TEX,TEX,0.0,0.0,0.339,0.333
TOR201803310,2018-03-31,TOR,NYA,1,0,3.62,2.7,1e-06,1e-06,TOR,TOR,0.0,0.0,0.313,0.315
SDN201803310,2018-03-31,SDN,MIL,0,1,7.05,4.44,1e-06,1e-06,SDN,SDN,0.0,2.0,0.303,0.322
CIN201803310,2018-03-31,CIN,WAS,0,3,4.3,3.74,1e-06,1e-06,CIN,CIN,0.0,3.0,0.337,0.323
BAL201803310,2018-03-31,BAL,MIN,0,1,5.29,3.62,1e-06,1e-06,BAL,BAL,0.0,1.0,0.31,0.303
ATL201803310,2018-03-31,ATL,PHI,1,2,4.92,,1e-06,1e-06,ATL,ATL,0.0,0.0,0.325,0.312
SEA201803310,2018-03-31,SEA,CLE,0,4,3.76,3.38,1e-06,1e-06,SEA,SEA,0.0,4.0,0.301,0.317
OAK201803310,2018-03-31,OAK,ANA,0,1,4.05,4.94,1e-06,1e-06,OAK,OAK,0.0,1.0,0.32,0.314
TBA201803310,2018-03-31,TBA,BOS,0,0,7.75,4.28,1e-06,1e-06,TBA,TBA,0.0,0.0,0.341,0.331
NYN201803310,2018-03-31,NYN,SLN,2,0,1.7,3.2,1e-06,1e-06,NYN,NYN,2.0,0.0,0.292,0.328
MIA201803310,2018-03-31,MIA,CHN,2,0,3.91,2.26,1e-06,1e-06,MIA,MIA,0.0,0.0,0.303,0.328
LAN201803310,2018-03-31,LAN,SFN,2,0,3.81,3.57,1e-06,1e-06,LAN,LAN,0.0,0.0,0.317,0.292
KCA201803310,2018-03-31,KCA,CHA,2,1,7.76,5.63,1e-06,1e-06,KCA,KCA,2.0,1.0,0.321,0.297
ARI201803310,2018-03-31,ARI,COL,0,0,4.5,5.93,1e-06,1e-06,ARI,ARI,5.0,0.0,0.321,0.293
TBA201804010,2018-04-01,TBA,BOS,0,0,2.39,3.18,1e-06,1e-06,TBA,TBA,0.0,0.0,0.341,0.331
LAN201804010,2018-04-01,LAN,SFN,0,0,3.66,5.09,1e-06,1e-06,LAN,LAN,1.0,0.0,0.317,0.292
SEA201804010,2018-04-01,SEA,CLE,0,0,4.36,5.22,1e-06,1e-06,SEA,SEA,0.0,4.0,0.301,0.317
