game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP,away_OBP
HOU201704040,2017-04-04,HOU,SEA,0,0,4.25,4.35,1e-06,1e-06,HOU,HOU,0.0,0.0,0.342,0.317
TEX201704040,2017-04-04,TEX,CLE,0,1,4.82,3.29,1e-06,1e-06,TEX,TEX,0.0,1.0,0.347,0.333
TBA201704040,2017-04-04,TBA,NYA,0,0,4.14,3.69,1e-06,1e-06,TBA,TBA,0.0,0.0,0.322,0.327
LAN201704040,2017-04-04,LAN,SDN,0,2,4.22,4.79,1e-06,1e-06,LAN,LAN,0.0,2.0,0.334,0.293
OAK201704040,2017-04-04,OAK,ANA,1,0,5.14,0.0,1e-06,1e-06,OAK,OAK,1.0,0.0,0.327,0.312
MIL201704040,2017-04-04,MIL,COL,0,0,3.9,4.81,1e-06,1e-06,MIL,MIL,0.0,0.0,0.318,0.313
ARI201704040,2017-04-04,ARI,SFN,0,0,4.03,4.52,1e-06,1e-06,ARI,ARI,0.0,0.0,0.35,0.309
SLN201704040,2017-04-04,SLN,CHN,0,0,5.11,3.53,1e-06,1e-06,SLN,SLN,0.0,0.0,0.339,0.324
OAK201704050,2017-04-05,OAK,ANA,0,0,5.58,4.15,1e-06,1e-06,OAK,OAK,1.0,0.0,0.327,0.312
MIN201704050,2017-04-05,MIN,KCA,0,0,5.63,5.38,1e-06,1e-06,MIN,MIN,0.0,0.0,0.347,0.308
MIL201704050,2017-04-05,MIL,COL,0,0,7.85,4.69,1e-06,1e-06,MIL,MIL,0.0,0.0,0.318,0.313
LAN201704050,2017-04-05,LAN,SDN,2,0,3.32,4.93,1e-06,1e-06,LAN,LAN,0.0,2.0,0.334,0.293
TBA201704050,2017-04-05,TBA,NYA,1,0,3.66,4.39,1e-06,1e-06,TBA,TBA,0.0,0.0,0.322,0.327
CIN201704050,2017-04-05,CIN,PHI,0,0,4.15,4.71,1e-06,1e-06,CIN,CIN,0.0,0.0,0.335,0.307
NYN201704050,2017-04-05,NYN,ATL,0,0,5.52,5.56,1e-06,1e-06,NYN,NYN,0.0,0.0,0.31,0.327
