year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA,date,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP,away_OBP
2024,LAN202403210,LAN,SDN,1,5,yamay001,kingm002,3.0,2.95,2024-03-21,179.52869861196945,179.52869861196945,SDN,SDN,1.0,5.0,0.33,0.33
2024,SEA202403290,SEA,BOS,0,0,kirbg001,piven001,3.53,4.14,2024-03-29,1e-06,1e-06,SEA,SEA,0.0,0.0,0.307,0.317
2024,SDN202403290,SDN,SFN,0,3,musgj001,harrk001,3.88,4.56,2024-03-29,1e-06,1e-06,SDN,SDN,0.0,3.0,0.315,0.304
2024,MIA202403290,MIA,PIT,0,0,puk-a001,ryanr002,3.15,5.66,2024-03-29,1e-06,1e-06,MIA,MIA,0.0,0.0,0.308,0.297
2024,TBA202403290,TBA,TOR,0,0,civaa001,bassc001,4.36,4.16,2024-03-29,1e-06,1e-06,TBA,TBA,0.0,0.0,0.303,0.313
2024,LAN202403290,LAN,SLN,1,0,millb005,thomz002,8.52,9.53,2024-03-29,1e-06,1e-06,LAN,LAN,1.0,0.0,0.33,0.309
2024,OAK202403290,OAK,CLE,0,3,strir001,allel003,6.01,5.73,2024-03-29,1e-06,1e-06,OAK,OAK,0.0,3.0,0.3,0.299
2024,ARI202403290,ARI,COL,2,0,kellm002,quanc001,4.03,4.98,2024-03-29,1e-06,1e-06,ARI,ARI,2.0,0.0,0.347,0.276
2024,HOU202403290,HOU,NYA,1,0,scott004,weavl001,2.23,2.89,2024-03-29,1e-06,1e-06,HOU,HOU,1.0,0.0,0.326,0.33
2024,ARI202403300,ARI,COL,2,0,henrt001,lambp001,7.04,5.72,2024-03-30,1e-06,1e-06,ARI,ARI,2.0,0.0,0.347,0.276
2024,MIA202403300,MIA,PIT,0,0,weatr001,jonej008,3.63,4.14,2024-03-30,1e-06,1e-06,MIA,MIA,0.0,0.0,0.308,0.297
2024,BAL202403300,BAL,ANA,2,0,rodrg003,canng001,3.86,5.19,2024-03-30,1e-06,1e-06,BAL,BAL,2.0,0.0,0.313,0.301
2024,TEX202403300,TEX,CHN,0,0,bradc003,hendk001,3.54,5.92,2024-03-30,1e-06,1e-06,TEX,TEX,0.0,0.0,0.31,0.331
2024,CIN202403300,CIN,WAS,0,0,diaza004,harvh001,3.99,4.44,2024-03-30,1e-06,1e-06,CIN,CIN,0.0,0.0,0.311,0.308
2024,NYN202403300,NYN,MIL,0,3,sevel001,pegue001,3.91,2.98,2024-03-30,1e-06,1e-06,NYN,NYN,0.0,3.0,0.325,0.333
2024,TBA202403300,TBA,TOR,0,0,littz001,kikuy001,3.63,4.05,2024-03-30,1e-06,1e-06,TBA,TBA,0.0,0.0,0.303,0.313
2024,KCA202403300,KCA,MIN,0,0,smitw002,jax-g001,,2.03,2024-03-30,1e-06,1e-06,KCA,KCA,0.0,0.0,0.319,0.303
2024,SEA202403300,SEA,BOS,1,0,sauct001,rodrj004,3.49,5.93,2024-03-30,1e-06,1e-06,SEA,SEA,0.0,0.0,0.307,0.317
2024,SDN202403300,SDN,SFN,0,0,ceasd001,hickj002,3.47,4.1,2024-03-30,1e-06,1e-06,SDN,SDN,0.0,3.0,0.315,0.304
2024,LAN202403300,LAN,SLN,0,0,hurtk001,helsr001,1.35,2.04,2024-03-30,1e-06,1e-06,LAN,LAN,1.0,0.0,0.33,0.309
2024,PHI202403300,PHI,ATL,3,2,nolaa001,chavj001,3.57,3.13,2024-03-30,1e-06,1e-06,PHI,PHI,3.0,2.0,0.33,0.304
2024,OAK202403300,OAK,CLE,0,0,searj001,sandn001,4.38,3.75,2024-03-30,1e-06,1e-06,OAK,OAK,0.0,3.0,0.3,0.299
2024,HOU202403300,HOU,NYA,0,0,abreb002,strom001,3.1,4.31,2024-03-30,1e-06,1e-06,HOU,HOU,1.0,0.0,0.326,0.33
2024,CHA202403300,CHA,DET,2,3,garcd003,mills001,7.07,4.53,2024-03-30,1e-06,1e-06,CHA,CHA,2.0,3.0,0.283,0.299
2024,KCA202403310,KCA,MIN,3,0,singb001,oberb002,3.71,3.98,2024-03-31,1e-06,1e-06,KCA,KCA,0.0,0.0,0.319,0.303
2024,OAK202403310,OAK,CLE,2,0,jimed002,barls001,4.91,4.25,2024-03-31,1e-06,1e-06,OAK,OAK,0.0,1.5,0.3,0.299
2024,BAL202403310,BAL,ANA,0,2,wellt003,detmr001,5.87,6.7,2024-03-31,1e-06,1e-06,BAL,BAL,2.0,0.0,0.313,0.301
2024,HOU202403310,HOU,NYA,0,0,hadej001,burdn001,3.8,1.86,2024-03-31,1e-06,1e-06,HOU,HOU,0.5,0.0,0.326,0.33
2024,TBA202403310,TBA,TOR,1,2,armss001,whitm004,4.86,7.23,2024-03-31,1e-06,1e-06,TBA,TBA,0.0,0.0,0.303,0.313
2024,CHA202403310,CHA,DET,0,0,wilss002,holtt002,5.71,2.19,2024-03-31,1e-06,1e-06,CHA,CHA,2.0,3.0,0.283,0.299
2024,SEA202403310,SEA,BOS,0,0,millb004,whitg002,2.94,1.96,2024-03-31,1e-06,1e-06,SEA,SEA,0.5,0.0,0.307,0.317
2024,TEX202403310,TEX,CHN,0,3,leclj001,nerih001,4.32,4.1,2024-03-31,1e-06,1e-06,TEX,TEX,0.0,0.0,0.31,0.331
2024,LAN202403310,LAN,SLN,0,0,crisn001,kingj002,2.57,2.85,2024-03-31,1e-06,1e-06,LAN,LAN,0.6666666666666666,0.0,0.33,0.309
2024,PHI202403310,PHI,ATL,1,2,stram001,bumma001,1.87,3.58,2024-03-31,1e-06,1e-06,PHI,PHI,3.0,2.0,0.33,0.304
2024,ARI202403310,ARI,COL,3,0,pfaab001,feltr001,4.71,4.49,2024-03-31,1e-06,1e-06,ARI,ARI,2.0,0.0,0.347,0.276
2024,CIN202403310,CIN,WAS,0,0,simsl001,finnk001,4.38,3.68,2024-03-31,1e-06,1e-06,CIN,CIN,0.0,0.0,0.311,0.308
2024,NYN202403310,NYN,MIL,0,1,megit002,rea-c001,4.04,4.29,2024-03-31,1e-06,1e-06,NYN,NYN,0.0,3.0,0.325,0.333
2024,MIA202403310,MIA,PIT,5,0,scott003,bednd001,1.75,5.77,2024-03-31,1e-06,1e-06,MIA,MIA,0.0,0.0,0.308,0.297
2024,SDN202403310,SDN,SFN,6,0,avilp001,jeffd001,3.81,9.82,2024-03-31,1e-06,1e-06,SDN,SDN,0.0,1.5,0.315,0.304
2024,SEA202404010,SEA,CLE,0,0,hance001,mcket001,4.75,5.11,2024-04-01,1e-06,1089.6592005072614,SEA,OAK,0.3333333333333333,1.0,0.307,0.299
2024,SDN202404010,SDN,SLN,0,3,waldm003,gibsk002,4.91,4.24,2024-04-01,1e-06,179.52869861196945,SDN,LAN,2.0,0.0,0.315,0.309
2024,TBA202404010,TBA,TEX,0,3,pepir001,dunnd001,3.6,5.31,2024-04-01,1e-06,1496.616115420437,TBA,TEX,0.3333333333333333,3.0,0.303,0.301
2024,CHN202404010,CHN,COL,0,0,imans001,hudsd002,2.91,6.17,2024-04-01,1309.650557347085,2336.6124165783,TEX,ARI,0.0,0.0,0.302,0.276
2024,PHI202404010,PHI,CIN,2,0,brogc001,diaza004,24.0,3.99,2024-04-01,1e-06,807.0437316700402,PHI,CIN,2.0,0.0,0.33,0.298
2024,WAS202404010,WAS,PIT,0,0,garcr008,contr001,4.22,4.35,2024-04-01,647.9323379925676,1489.628640346009,CIN,MIA,0.0,0.0,0.309,0.297
2024,CHA202404010,CHA,ATL,0,0,flexc001,mortc002,4.95,4.19,2024-04-01,1e-06,1068.017023042746,CHA,PHI,1.0,2.0,0.283,0.304
2024,NYN202404010,NYN,DET,0,0,tonkm001,folej001,3.63,3.15,2024-04-01,1e-06,1144.1299346702406,NYN,CHA,0.0,1.5,0.325,0.299
2024,OAK202404010,OAK,BOS,0,1,boylj001,houct001,6.42,3.12,2024-04-01,1e-06,1089.6592005072614,OAK,SEA,0.6666666666666666,0.0,0.3,0.317
2024,MIA202404010,MIA,ANA,4,0,scott003,cimba001,1.75,7.03,2024-04-01,1e-06,1539.1317129517297,MIA,BAL,1.6666666666666667,1.0,0.308,0.301
2024,HOU202404010,HOU,TOR,3,0,blanr001,franb002,2.8,3.3,2024-04-01,1e-06,1270.2138315576017,HOU,TBA,0.3333333333333333,0.6666666666666666,0.326,0.313
2024,ARI202404010,ARI,NYA,0,0,nelsr003,weavl001,4.24,2.89,2024-04-01,1e-06,1630.8590113845935,ARI,HOU,2.3333333333333335,0.0,0.347,0.33
2024,LAN202404010,LAN,SFN,1,0,paxtj001,winnk001,4.4,7.16,2024-04-01,1e-06,179.52869861196945,LAN,SDN,0.5,1.0,0.33,0.304
2024,BAL202404010,BAL,KCA,0,0,kimbc001,anden001,5.33,4.04,2024-04-01,1e-06,1545.5901204265936,BAL,KCA,1.0,0.0,0.313,0.293
2024,ARI202404020,ARI,NYA,3,0,gallz001,cortn001,3.65,3.77,2024-04-02,1e-06,1e-06,ARI,ARI,1.75,0.0,0.347,0.33
2024,OAK202404020,OAK,BOS,0,1,spenm001,wincj001,4.58,4.14,2024-04-02,1e-06,1e-06,OAK,OAK,0.5,0.25,0.3,0.317
2024,CHN202404020,CHN,COL,2,0,assaj001,freek001,3.73,5.24,2024-04-02,1e-06,1e-06,CHN,CHN,0.0,0.0,0.302,0.276
2024,LAN202404020,LAN,SFN,1,0,yarbr001,webbl001,3.19,3.47,2024-04-02,1e-06,1e-06,LAN,LAN,0.6,0.75,0.33,0.304
