game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype
NYA193504160,"""version 7RS(19) of 07/07/92""",BOS,NYA,1935/04/16,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/06/17 9:26PM,dinnb101,kolll901,(none),donnc901,park,none,0,unknown,-1,unknown,unknown,unknown,95,29287,ferrw101,gomel102,,,
NYA193504170,"""version 7RS(19) of 07/07/92""",BOS,NYA,1935/04/17,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/06/17 9:49PM,kolll901,donnc901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,139,3000,welcj101,ruffr101,johnh101,,
NYA193504180,"""version 7RS(19) of 07/07/92""",BOS,NYA,1935/04/18,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/06/17 10:53PM,donnc901,dinnb101,(none),kolll901,park,none,0,unknown,-1,unknown,unknown,unknown,123,6000,broaj101,ostef101,,,
NYA193504190,"""version 7RS(19) of 07/07/92""",PHA,NYA,1935/04/19,NYC16,0,0:00PM,day,false,"""52,473""","""Comly,Wayne Townsend""","""Comly,Wayne Townsend""",2000/06/17 11:53PM,dinnb101,kolll901,(none),donnc901,park,none,0,unknown,-1,unknown,unknown,unknown,150,15995,mahar101,malop103,liebd101,,
NYA193504200,"""version 7RS(19) of 07/07/92""",PHA,NYA,1935/04/20,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/06/18 12:08AM,kolll901,donnc901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,103,24432,gomel102,cascj101,,,
NYA193504210,"""version 7RS(19) of 07/07/92""",PHA,NYA,1935/04/21,NYC16,0,0:00PM,day,false,"""473,107""","""Dick Cramer/RWood""","""Dick Cramer/RWood""",2014/08/04 5:00PM,donnc901,dinnb101,(none),kolll901,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,28000,murpj103,dietb101,,,
NYA193504290,"""version 7RS(19) of 07/07/92""",WS1,NYA,1935/04/29,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/06/18 2:14PM,geish901,ormsr901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,91,6000,gomel102,burkb102,,,
NYA193504300,"""version 7RS(19) of 07/07/92""",WS1,NYA,1935/04/30,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/06/18 3:05PM,ormsr901,geish901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,144,2000,deshj101,russj103,,,
NYA193505010,"""version 7RS(19) of 07/07/92""",WS1,NYA,1935/05/01,NYC16,0,0:00PM,day,false,"""52,589""","""Comly/RWood""","""Comly/RWood""",2000/06/29 9:48PM,geish901,ormsr901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,142,4000,weavm101,gomel102,,,
NYA193505160,"""version 7RS(19) of 07/07/92""",CLE,NYA,1935/05/16,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/07/09 11:27PM,quinj901,mcgob901,(none),summb901,park,none,0,unknown,-1,unknown,unknown,unknown,127,3000,tamuv101,hudlw101,,,
NYA193505170,"""version 7RS(19) of 07/07/92""",CLE,NYA,1935/05/17,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/07/10 11:19PM,mcgob901,summb901,(none),quinj901,park,none,0,unknown,-1,unknown,unknown,unknown,126,5000,allej102,pearm101,,,
NYA193505180,"""version 7RS(19) of 07/07/92""",CLE,NYA,1935/05/18,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/07/10 11:31PM,summb901,quinj901,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,102,18293,gomel102,hardm101,,,
NYA193505190,"""version 7RS(19) of 07/07/92""",CLE,NYA,1935/05/19,NYC16,0,0:00PM,day,false,"""39""","""Comly""","""Comly""",2002/01/28 5:19PM,quinj901,mcgob901,(none),summb901,park,none,0,unknown,-1,unknown,unknown,unknown,146,27537,stewl101,ruffr101,browl101,,
NYA193505200,"""version 7RS(19) of 07/07/92""",CHA,NYA,1935/05/20,NYC16,0,0:00PM,day,false,"""52,107""","""Comly/RWood""","""Comly/RWood""",2000/07/11 10:29PM,mcgob901,summb901,(none),quinj901,park,none,0,unknown,-1,unknown,unknown,unknown,126,6000,broaj101,fiscc101,,,
NYA193505210,"""version 7RS(19) of 07/07/92""",CHA,NYA,1935/05/21,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/07/11 11:07PM,summb901,quinj901,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,108,6000,lyont102,murpj103,,,
NYA193505220,"""version 7RS(19) of 07/07/92""",CHA,NYA,1935/05/22,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/07/12 10:28PM,quinj901,mcgob901,(none),summb901,park,none,0,unknown,-1,unknown,unknown,unknown,139,7000,allej102,vancj102,,,
NYA193505240,"""version 7RS(19) of 07/07/92""",SLA,NYA,1935/05/24,NYC16,0,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/07/12 10:46PM,ormsr901,geish901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,133,4065,thomf105,gomel102,knotj102,,
NYA193505251,"""version 7RS(19) of 07/07/92""",SLA,NYA,1935/05/25,NYC16,1,0:00PM,day,false,"""128""","""Dick Cramer""","""Dick Cramer""",2018/12/27 11:00AM,geish901,ormsr901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,105,0,ruffr101,cains101,,,
NYA193505252,"""version 7RS(19) of 07/07/92""",SLA,NYA,1935/05/25,NYC16,2,0:00PM,day,false,"""52""","""Comly""","""Comly""",2000/07/12 11:05PM,ormsr901,geish901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,137,27098,murpj103,thomf105,,,
NYA193505260,"""version 7RS(19) of 07/07/92""",DET,NYA,1935/05/26,NYC16,0,0:00PM,day,false,"""209""",,"""D Lamoureaux""",2008/05/17 1:32PM,geish901,ormsr901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,115,29392,tamuv101,sullj102,,,
